bos_taurus ENSBTAG00000003364
bos_mutus ENSBMUG00000015328
bison_bison_bison ENSBBBG00000009907
ovis_aries ENSOARG00000000526
sus_scrofa ENSSSCG00000007221
ursus_maritimus ENSUMAG00000000946
ursus_americanus ENSUAMG00000023517
ailuropoda_melanoleuca ENSAMEG00000018782
canis_lupus_dingo ENSCAFG00020004153
neovison_vison ENSNVIG00000019304
mustela_putorius_furo ENSMPUG00000017916
equus_asinus_asinus ENSEASG00005003646
microtus_ochrogaster ENSMOCG00000014228
peromyscus_maniculatus_bairdii ENSPEMG00000007838
cricetulus_griseus_crigri ENSCGRG00000017413
cricetulus_griseus_chok1gshd ENSCGRG00001024797
cricetulus_griseus_crigri-picr ENSCGRG00015003782
mesocricetus_auratus ENSMAUG00000003742
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025385
mus_spicilegus ENSMSIG00000001524
mus_musculus ENSMUSG00000050645
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024464
mus_pahari MGP_PahariEiJ_G0025907
rattus_norvegicus ENSRNOG00000036897
meriones_unguiculatus ENSMUGG00000023094
nannospalax_galili ENSNGAG00000001384
jaculus_jaculus ENSJJAG00000000177
castor_canadensis ENSCCNG00000018959
chinchilla_lanigera ENSCLAG00000017241
cavia_porcellus ENSCPOG00000008939
octodon_degus ENSODEG00000011255
heterocephalus_glaber_female ENSHGLG00000011115
heterocephalus_glaber_male ENSHGLG00100008350
fukomys_damarensis ENSFDAG00000001133
marmota_marmota_marmota ENSMMMG00000023820
urocitellus_parryii ENSUPAG00010018911
spermophilus_dauricus ENSSDAG00000009708
theropithecus_gelada ENSTGEG00000008772
chlorocebus_sabaeus ENSCSAG00000012811
macaca_mulatta ENSMMUG00000008796
piliocolobus_tephrosceles ENSPTEG00000001935
