serinus_canaria ENSSCAG00000007789
junco_hyemalis ENSJHYG00000016042
cyanistes_caeruleus ENSCCEG00000016764
lepidothrix_coronata ENSLCOG00000000950
manacus_vitellinus ENSMVIG00005017766
anas_platyrhynchos_platyrhynchos ENSAPLG00000021880
anser_brachyrhynchus ENSABRG00000008545
numida_meleagris ENSNMEG00000022067
melopsittacus_undulatus ENSMUNG00000003181
apteryx_rowi ENSARWG00000008379
apteryx_owenii ENSAOWG00000015433
apteryx_haastii ENSAHAG00000008727
dromaius_novaehollandiae ENSDNVG00000009450
pogona_vitticeps ENSPVIG00000013612
