homo_sapiens ENSG00000229415
gorilla_gorilla ENSGGOG00000025257
pan_paniscus ENSPPAG00000033395
pan_troglodytes ENSPTRG00000039290
nomascus_leucogenys ENSNLEG00000003924
rhinopithecus_roxellana ENSRROG00000031966
rhinopithecus_bieti ENSRBIG00000044400
piliocolobus_tephrosceles ENSPTEG00000008086
colobus_angolensis_palliatus ENSCANG00000029630
macaca_nemestrina ENSMNEG00000028421
macaca_mulatta ENSMMUG00000041260
macaca_fascicularis ENSMFAG00000042355
mandrillus_leucophaeus ENSMLEG00000031357
theropithecus_gelada ENSTGEG00000003389
papio_anubis ENSPANG00000016613
cercocebus_atys ENSCATG00000044870
chlorocebus_sabaeus ENSCSAG00000015474
cebus_capucinus ENSCCAG00000036898
saimiri_boliviensis_boliviensis ENSSBOG00000026399
callithrix_jacchus ENSCJAG00000047601
aotus_nancymaae ENSANAG00000023382
