caenorhabditis_elegans WBGene00015940
drosophila_melanogaster FBgn0033096
pteropus_vampyrus ENSPVAG00000002556
sorex_araneus ENSSARG00000006769
equus_asinus ENSEASG00005022025
equus_caballus ENSECAG00000010203
myotis_lucifugus ENSMLUG00000014303
ursus_maritimus ENSUMAG00000006848
ursus_americanus ENSUAMG00000013217
ailuropoda_melanoleuca ENSAMEG00000005632
canis_lupus ENSCAFG00000031660
canis_lupus ENSCAFG00020018206
vulpes_vulpes ENSVVUG00000002808
neovison_vison ENSNVIG00000005457
mustela_putorius ENSMPUG00000006633
panthera_pardus ENSPPRG00000004183
panthera_tigris ENSPTIG00000013803
felis_catus ENSFCAG00000033069
procavia_capensis ENSPCAG00000009975
echinops_telfairi ENSETEG00000003565
piliocolobus_tephrosceles ENSPTEG00000008631
theropithecus_gelada ENSTGEG00000029263
loxodonta_africana ENSLAFG00000029066
capra_hircus ENSCHIG00000019215
ovis_aries ENSOARG00000013629
bos_indicus ENSBIXG00000006918
bos_taurus ENSBTAG00000017706
bos_indicus ENSBIXG00005016121
bos_mutus ENSBMUG00000013351
bison_bison ENSBBBG00000000305
heterocephalus_glaber ENSHGLG00100012874
heterocephalus_glaber ENSHGLG00000018001
fukomys_damarensis ENSFDAG00000007106
chinchilla_lanigera ENSCLAG00000000077
octodon_degus ENSODEG00000014274
cavia_porcellus ENSCPOG00000034643
urocitellus_parryii ENSUPAG00010013491
ictidomys_tridecemlineatus ENSSTOG00000008404
marmota_marmota ENSMMMG00000016507
castor_canadensis ENSCCNG00000008785
dipodomys_ordii ENSDORG00000029412
mus_spicilegus ENSMSIG00000024644
mus_spretus MGP_SPRETEiJ_G0016433
mus_musculus ENSMUSG00000046822
mus_caroli MGP_CAROLIEiJ_G0015615
mus_pahari MGP_PahariEiJ_G0031028
rattus_norvegicus ENSRNOG00000045524
meriones_unguiculatus ENSMUGG00000013792
cricetulus_griseus ENSCGRG00015002489
cricetulus_griseus ENSCGRG00001010295
cricetulus_griseus ENSCGRG00000002434
mesocricetus_auratus ENSMAUG00000021542
peromyscus_maniculatus ENSPEMG00000020829
microtus_ochrogaster ENSMOCG00000013732
nannospalax_galili ENSNGAG00000021304
jaculus_jaculus ENSJJAG00000014409
ochotona_princeps ENSOPRG00000015292
pan_troglodytes ENSPTRG00000010242
pan_paniscus ENSPPAG00000043276
gorilla_gorilla ENSGGOG00000039245
homo_sapiens ENSG00000141873
pongo_abelii ENSPPYG00000009357
nomascus_leucogenys ENSNLEG00000029054
papio_anubis ENSPANG00000012108
cercocebus_atys ENSCATG00000031717
mandrillus_leucophaeus ENSMLEG00000028738
chlorocebus_sabaeus ENSCSAG00000011496
macaca_mulatta ENSMMUG00000040263
macaca_fascicularis ENSMFAG00000039618
macaca_nemestrina ENSMNEG00000028479
rhinopithecus_bieti ENSRBIG00000038664
rhinopithecus_roxellana ENSRROG00000028677
colobus_angolensis ENSCANG00000030841
theropithecus_gelada ENSTGEG00000009426
theropithecus_gelada ENSTGEG00000010744
piliocolobus_tephrosceles ENSPTEG00000010410
cebus_capucinus ENSCCAG00000022362
saimiri_boliviensis ENSSBOG00000019952
callithrix_jacchus ENSCJAG00000057869
aotus_nancymaae ENSANAG00000036219
microcebus_murinus ENSMICG00000031825
prolemur_simus ENSPSMG00000009070
propithecus_coquereli ENSPCOG00000019953
otolemur_garnettii ENSOGAG00000025858
dasypus_novemcinctus ENSDNOG00000023707
ornithorhynchus_anatinus ENSOANG00000015273
vombatus_ursinus ENSVURG00010016419
phascolarctos_cinereus ENSPCIG00000011078
notamacropus_eugenii ENSMEUG00000013898
sarcophilus_harrisii ENSSHAG00000011669
monodelphis_domestica ENSMODG00000004878
apteryx_haastii ENSAHAG00000007891
apteryx_owenii ENSAOWG00000014121
apteryx_rowi ENSARWG00000015816
dromaius_novaehollandiae ENSDNVG00000006361
nothoprocta_perdicaria ENSNPEG00000012623
calidris_pygmaea ENSCPGG00000017174
calidris_pugnax ENSCPUG00000016395
melopsittacus_undulatus ENSMUNG00000004020
meleagris_gallopavo ENSMGAG00000004341
gallus_gallus ENSGALG00000020582
numida_meleagris ENSNMEG00000003335
anser_brachyrhynchus ENSABRG00000004088
lonchura_striata ENSLSDG00000001499
taeniopygia_guttata ENSTGUG00000000828
serinus_canaria ENSSCAG00000007107
junco_hyemalis ENSJHYG00000001883
ficedula_albicollis ENSFALG00000009161
parus_major ENSPMJG00000011700
lepidothrix_coronata ENSLCOG00000013381
manacus_vitellinus ENSMVIG00005015371
crocodylus_porosus ENSCPRG00005015630
pogona_vitticeps ENSPVIG00000014087
notechis_scutatus ENSNSUG00000009097
salvator_merianae ENSSMRG00000006964
chelonoidis_abingdonii ENSCABG00000004044
gopherus_agassizii ENSGAGG00000008972
chrysemys_picta ENSCPBG00000012362
pelodiscus_sinensis ENSPSIG00000002614
sphenodon_punctatus ENSSPUG00000006917
xenopus_tropicalis ENSXETG00000004028
latimeria_chalumnae ENSLACG00000002205
hucho_hucho ENSHHUG00000028316
hucho_hucho ENSHHUG00000000546
esox_lucius ENSELUG00000003927
takifugu_rubripes ENSTRUG00000011464
tetraodon_nigroviridis ENSTNIG00000003002
xiphophorus_maculatus ENSXMAG00000025892
xiphophorus_maculatus ENSXMAG00000025759
poecilia_latipinna ENSPLAG00000020883
poecilia_formosa ENSPFOG00000003413
poecilia_mexicana ENSPMEG00000014038
poecilia_reticulata ENSPREG00000003326
xiphophorus_couchianus ENSXCOG00000007364
gambusia_affinis ENSGAFG00000021134
fundulus_heteroclitus ENSFHEG00000021743
cyprinodon_variegatus ENSCVAG00000008231
oryzias_latipes ENSORLG00000002333
oryzias_latipes ENSORLG00020007521
oryzias_latipes ENSORLG00015003742
oryzias_melastigma ENSOMEG00000008835
haplochromis_burtoni ENSHBUG00000013051
pundamilia_nyererei ENSPNYG00000000660
astatotilapia_calliptera ENSACLG00000002335
maylandia_zebra ENSMZEG00005002970
oreochromis_niloticus ENSONIG00000007317
neolamprologus_brichardi ENSNBRG00000017514
amphilophus_citrinellus ENSACIG00000001847
periophthalmus_magnuspinnatus ENSPMGG00000001565
cynoglossus_semilaevis ENSCSEG00000007322
betta_splendens ENSBSLG00000015655
lates_calcarifer ENSLCAG00010013315
lates_calcarifer ENSLCAG00010019092
lates_calcarifer ENSLCAG00010001741
lates_calcarifer ENSLCAG00010023378
scophthalmus_maximus ENSSMAG00000016983
seriola_dumerili ENSSDUG00000021015
seriola_lalandi ENSSLDG00000014074
mastacembelus_armatus ENSMAMG00000015606
monopterus_albus ENSMALG00000020374
amphiprion_ocellaris ENSAOCG00000020924
amphiprion_percula ENSAPEG00000001281
acanthochromis_polyacanthus ENSAPOG00000012426
stegastes_partitus ENSSPAG00000018064
parambassis_ranga ENSPRNG00000003509
gasterosteus_aculeatus ENSGACG00000003277
cottoperca_gobio ENSCGOG00000019366
mola_mola ENSMMOG00000007663
larimichthys_crocea ENSLCRG00005007558
labrus_bergylta ENSLBEG00000022437
clupea_harengus ENSCHAG00000007031
denticeps_clupeoides ENSDCDG00000034979
pygocentrus_nattereri ENSPNAG00000024257
astyanax_mexicanus ENSAMXG00000037114
electrophorus_electricus ENSEEEG00000024203
ictalurus_punctatus ENSIPUG00000007944
scleropages_formosus ENSSFOG00015021817
paramormyrops_kingsleyae ENSPKIG00000003862
lepisosteus_oculatus ENSLOCG00000000362
erpetoichthys_calabaricus ENSECRG00000013414
callorhinchus_milii ENSCMIG00000004466
petromyzon_marinus ENSPMAG00000004874
