kryptolebias_marmoratus ENSKMAG00000016494
xiphophorus_couchianus ENSXCOG00000004476
oryzias_latipes ENSORLG00000015661
oryzias_latipes_asm223469v1 ENSORLG00015022367
oryzias_latipes ENSORLG00020015959
acanthochromis_polyacanthus ENSAPOG00000005893
astatotilapia_calliptera ENSACLG00000002929
oreochromis_niloticus ENSONIG00000001514
monopterus_albus ENSMALG00000005670
mastacembelus_armatus ENSMAMG00000018666
anabas_testudineus ENSATEG00000020162
seriola_lalandi_dorsalis ENSSLDG00000002415
scophthalmus_maximus ENSSMAG00000017778
tetraodon_nigroviridis ENSTNIG00000012976
tetraodon_nigroviridis ENSTNIG00000001992
labrus_bergylta ENSLBEG00000026265
esox_lucius ENSELUG00000009752
pygocentrus_nattereri ENSPNAG00000022769
astyanax_mexicanus ENSAMXG00000015338
ictalurus_punctatus ENSIPUG00000020985
danio_rerio ENSDARG00000040118
paramormyrops_kingsleyae ENSPKIG00000013669
