stegastes_partitus ENSSPAG00000004920
amphilophus_citrinellus ENSACIG00000024278
mola_mola ENSMMOG00000013776
hippocampus_comes ENSHCOG00000012352
xiphophorus_maculatus ENSXMAG00000023864
xiphophorus_couchianus ENSXCOG00000017023
poecilia_reticulata ENSPREG00000020839
fundulus_heteroclitus ENSFHEG00000003344
oryzias_melastigma ENSOMEG00000023866
amphiprion_percula ENSAPEG00000018212
labrus_bergylta ENSLBEG00000022857
cynoglossus_semilaevis ENSCSEG00000020182
mastacembelus_armatus ENSMAMG00000012614
