chrysemys_picta_bellii ENSCPBG00000020120
chelonoidis_abingdonii ENSCABG00000007163
pelodiscus_sinensis ENSPSIG00000002990
lonchura_striata_domestica ENSLSDG00000002755
nothoprocta_perdicaria ENSNPEG00000002275
dromaius_novaehollandiae ENSDNVG00000010301
apteryx_owenii ENSAOWG00000019257
gopherus_agassizii ENSGAGG00000024565
apteryx_haastii ENSAHAG00000008457
apteryx_rowi ENSARWG00000015194
calidris_pygmaea ENSCPGG00000009076
lepidothrix_coronata ENSLCOG00000007821
gallus_gallus ENSGALG00000047704
sphenodon_punctatus ENSSPUG00000015909
sphenodon_punctatus ENSSPUG00000015917
pogona_vitticeps ENSPVIG00000017803
anolis_carolinensis ENSACAG00000010015
notechis_scutatus ENSNSUG00000001647
salvator_merianae ENSSMRG00000005648
carlito_syrichta ENSTSYG00000032144
carlito_syrichta ENSTSYG00000010494
carlito_syrichta ENSTSYG00000001976
prolemur_simus ENSPSMG00000013560
tupaia_belangeri ENSTBEG00000006886
canis_lupus_familiaris ENSCAFG00000000061
canis_lupus_dingo ENSCAFG00020026112
vulpes_vulpes ENSVVUG00000022791
vulpes_vulpes ENSVVUG00000026614
neovison_vison ENSNVIG00000021789
mus_spicilegus ENSMSIG00000015495
mus_spicilegus ENSMSIG00000031900
mus_musculus ENSMUSG00000090247
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016787
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015962
mus_pahari MGP_PahariEiJ_G0031122
rattus_norvegicus ENSRNOG00000007784
mesocricetus_auratus ENSMAUG00000019717
jaculus_jaculus ENSJJAG00000020435
oryctolagus_cuniculus ENSOCUG00000010114
ochotona_princeps ENSOPRG00000007692
equus_caballus ENSECAG00000019392
equus_asinus_asinus ENSEASG00005002188
echinops_telfairi ENSETEG00000009105
echinops_telfairi ENSETEG00000017332
tursiops_truncatus ENSTTRG00000009707
sus_scrofa ENSSSCG00000000359
sus_scrofa ENSSSCG00000034908
ovis_aries ENSOARG00000011326
capra_hircus ENSCHIG00000026980
bos_taurus ENSBTAG00000011918
bos_mutus ENSBMUG00000017875
bison_bison_bison ENSBBBG00000014345
capra_hircus ENSCHIG00000019390
ovis_aries ENSOARG00000019743
bison_bison_bison ENSBBBG00000002631
bos_taurus ENSBTAG00000047849
vicugna_pacos ENSVPAG00000009511
ursus_americanus ENSUAMG00000014670
ursus_maritimus ENSUMAG00000016151
ailuropoda_melanoleuca ENSAMEG00000011845
mustela_putorius_furo ENSMPUG00000000858
panthera_tigris_altaica ENSPTIG00000015083
panthera_pardus ENSPPRG00000024725
felis_catus ENSFCAG00000013959
homo_sapiens ENSG00000135441
homo_sapiens ENSG00000258311
pongo_abelii ENSPPYG00000004627
chlorocebus_sabaeus ENSCSAG00000019010
chlorocebus_sabaeus ENSCSAG00000005327
theropithecus_gelada ENSTGEG00000011959
piliocolobus_tephrosceles ENSPTEG00000034039
cebus_capucinus ENSCCAG00000030172
cebus_capucinus ENSCCAG00000028204
cebus_capucinus ENSCCAG00000019537
callithrix_jacchus ENSCJAG00000022603
microcebus_murinus ENSMICG00000010878
propithecus_coquereli ENSPCOG00000027451
prolemur_simus ENSPSMG00000023980
otolemur_garnettii ENSOGAG00000010506
ictidomys_tridecemlineatus ENSSTOG00000010338
octodon_degus ENSODEG00000004837
octodon_degus ENSODEG00000007506
octodon_degus ENSODEG00000016146
octodon_degus ENSODEG00000018682
octodon_degus ENSODEG00000003058
octodon_degus ENSODEG00000005940
cavia_aperea ENSCAPG00000017165
chinchilla_lanigera ENSCLAG00000017854
carlito_syrichta ENSTSYG00000030831
myotis_lucifugus ENSMLUG00000010406
pteropus_vampyrus ENSPVAG00000017748
choloepus_hoffmanni ENSCHOG00000000498
nannospalax_galili ENSNGAG00000003218
nannospalax_galili ENSNGAG00000004745
dipodomys_ordii ENSDORG00000014610
erinaceus_europaeus ENSEEUG00000009642
loxodonta_africana ENSLAFG00000011267
procavia_capensis ENSPCAG00000009145
dasypus_novemcinctus ENSDNOG00000044730
notamacropus_eugenii ENSMEUG00000001570
notamacropus_eugenii ENSMEUG00000001624
phascolarctos_cinereus ENSPCIG00000024667
sarcophilus_harrisii ENSSHAG00000009500
xenopus_tropicalis ENSXETG00000017483
latimeria_chalumnae ENSLACG00000016210
monopterus_albus ENSMALG00000011457
mastacembelus_armatus ENSMAMG00000008254
cyprinodon_variegatus ENSCVAG00000017816
fundulus_heteroclitus ENSFHEG00000015756
poecilia_formosa ENSPFOG00000016394
poecilia_latipinna ENSPLAG00000015507
poecilia_mexicana ENSPMEG00000018653
poecilia_reticulata ENSPREG00000015906
gambusia_affinis ENSGAFG00000014479
kryptolebias_marmoratus ENSKMAG00000014318
oryzias_latipes ENSORLG00020015358
oryzias_latipes ENSORLG00000006284
oryzias_latipes_asm223469v1 ENSORLG00015010886
oryzias_melastigma ENSOMEG00000016278
labrus_bergylta ENSLBEG00000004510
gasterosteus_aculeatus ENSGACG00000005870
amphiprion_ocellaris ENSAOCG00000004733
amphiprion_percula ENSAPEG00000010599
acanthochromis_polyacanthus ENSAPOG00000011068
stegastes_partitus ENSSPAG00000021570
haplochromis_burtoni ENSHBUG00000003105
pundamilia_nyererei ENSPNYG00000007092
maylandia_zebra ENSMZEG00005004851
maylandia_zebra ENSMZEG00005003438
astatotilapia_calliptera ENSACLG00000020823
neolamprologus_brichardi ENSNBRG00000006675
oreochromis_niloticus ENSONIG00000006840
amphilophus_citrinellus ENSACIG00000014831
anabas_testudineus ENSATEG00000025064
seriola_lalandi_dorsalis ENSSLDG00000011515
scophthalmus_maximus ENSSMAG00000010939
seriola_dumerili ENSSDUG00000016782
cynoglossus_semilaevis ENSCSEG00000019018
mola_mola ENSMMOG00000005717
takifugu_rubripes ENSTRUG00000021572
tetraodon_nigroviridis ENSTNIG00000018257
periophthalmus_magnuspinnatus ENSPMGG00000003711
hippocampus_comes ENSHCOG00000019301
gadus_morhua ENSGMOG00000013215
esox_lucius ENSELUG00000019196
pygocentrus_nattereri ENSPNAG00000029856
astyanax_mexicanus ENSAMXG00000039913
ictalurus_punctatus ENSIPUG00000009969
danio_rerio ENSDARG00000014171
paramormyrops_kingsleyae ENSPKIG00000024779
scleropages_formosus ENSSFOG00015013883
lepisosteus_oculatus ENSLOCG00000004941
petromyzon_marinus ENSPMAG00000001464
eptatretus_burgeri ENSEBUG00000011186
ciona_savignyi ENSCSAVG00000002883
ciona_intestinalis ENSCING00000023874
drosophila_melanogaster FBgn0050077
caenorhabditis_elegans_strain_n2 WBGene00011872
