caenorhabditis_elegans_strain_n2 WBGene00001740
piliocolobus_tephrosceles ENSPTEG00000008375
takifugu_rubripes ENSTRUG00000013936
tetraodon_nigroviridis ENSTNIG00000009240
gasterosteus_aculeatus ENSGACG00000008493
cynoglossus_semilaevis ENSCSEG00000009574
cyprinodon_variegatus ENSCVAG00000016675
cyprinodon_variegatus ENSCVAG00000000422
fundulus_heteroclitus ENSFHEG00000022274
poecilia_mexicana ENSPMEG00000023796
poecilia_mexicana ENSPMEG00000023788
poecilia_formosa ENSPFOG00000014626
labrus_bergylta ENSLBEG00000024262
mola_mola ENSMMOG00000021140
monopterus_albus ENSMALG00000017843
mastacembelus_armatus ENSMAMG00000005868
anabas_testudineus ENSATEG00000005426
seriola_dumerili ENSSDUG00000001683
seriola_lalandi_dorsalis ENSSLDG00000008379
amphiprion_ocellaris ENSAOCG00000009850
amphiprion_percula ENSAPEG00000001481
acanthochromis_polyacanthus ENSAPOG00000020918
stegastes_partitus ENSSPAG00000020745
kryptolebias_marmoratus ENSKMAG00000021788
oreochromis_niloticus ENSONIG00000015407
neolamprologus_brichardi ENSNBRG00000020509
haplochromis_burtoni ENSHBUG00000018999
maylandia_zebra ENSMZEG00005011506
pundamilia_nyererei ENSPNYG00000001003
astatotilapia_calliptera ENSACLG00000004920
amphilophus_citrinellus ENSACIG00000017409
poecilia_reticulata ENSPREG00000018182
xiphophorus_couchianus ENSXCOG00000001950
poecilia_latipinna ENSPLAG00000011669
xiphophorus_maculatus ENSXMAG00000016302
gambusia_affinis ENSGAFG00000018636
scophthalmus_maximus ENSSMAG00000020730
oryzias_latipes_asm223469v1 ENSORLG00015018715
oryzias_latipes ENSORLG00000005802
oryzias_latipes ENSORLG00020005519
oryzias_melastigma ENSOMEG00000006569
hippocampus_comes ENSHCOG00000006755
periophthalmus_magnuspinnatus ENSPMGG00000018445
gadus_morhua ENSGMOG00000006522
esox_lucius ENSELUG00000017278
pygocentrus_nattereri ENSPNAG00000009466
astyanax_mexicanus ENSAMXG00000010959
ictalurus_punctatus ENSIPUG00000021822
danio_rerio ENSDARG00000032876
scleropages_formosus ENSSFOG00015007284
paramormyrops_kingsleyae ENSPKIG00000024527
lepisosteus_oculatus ENSLOCG00000002057
loxodonta_africana ENSLAFG00000016876
procavia_capensis ENSPCAG00000014680
echinops_telfairi ENSETEG00000008733
dasypus_novemcinctus ENSDNOG00000001994
choloepus_hoffmanni ENSCHOG00000000435
castor_canadensis ENSCCNG00000007853
dipodomys_ordii ENSDORG00000012449
cricetulus_griseus_chok1gshd ENSCGRG00001001894
cricetulus_griseus_crigri-picr ENSCGRG00015004174
cricetulus_griseus_crigri ENSCGRG00000007059
mesocricetus_auratus ENSMAUG00000000399
microtus_ochrogaster ENSMOCG00000008173
peromyscus_maniculatus_bairdii ENSPEMG00000022418
mus_spicilegus ENSMSIG00000013008
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0027408
mus_musculus ENSMUSG00000028653
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0026428
mus_pahari MGP_PahariEiJ_G0028758
rattus_norvegicus ENSRNOG00000014274
meriones_unguiculatus ENSMUGG00000007484
jaculus_jaculus ENSJJAG00000000316
jaculus_jaculus ENSJJAG00000000300
heterocephalus_glaber_female ENSHGLG00000010308
heterocephalus_glaber_male ENSHGLG00100015382
heterocephalus_glaber_female ENSHGLG00000009564
heterocephalus_glaber_male ENSHGLG00100018159
fukomys_damarensis ENSFDAG00000003098
chinchilla_lanigera ENSCLAG00000009828
octodon_degus ENSODEG00000006117
cavia_porcellus ENSCPOG00000012820
cavia_aperea ENSCAPG00000017001
ictidomys_tridecemlineatus ENSSTOG00000006446
spermophilus_dauricus ENSSDAG00000003591
urocitellus_parryii ENSUPAG00010016523
marmota_marmota_marmota ENSMMMG00000002859
oryctolagus_cuniculus ENSOCUG00000002054
ochotona_princeps ENSOPRG00000003205
tupaia_belangeri ENSTBEG00000001317
pan_paniscus ENSPPAG00000023930
pan_troglodytes ENSPTRG00000000579
homo_sapiens ENSG00000043514
gorilla_gorilla ENSGGOG00000010070
pongo_abelii ENSPPYG00000001499
nomascus_leucogenys ENSNLEG00000012038
macaca_fascicularis ENSMFAG00000001316
macaca_mulatta ENSMMUG00000016220
macaca_nemestrina ENSMNEG00000023137
mandrillus_leucophaeus ENSMLEG00000035296
cercocebus_atys ENSCATG00000034344
papio_anubis ENSPANG00000018125
theropithecus_gelada ENSTGEG00000023431
chlorocebus_sabaeus ENSCSAG00000001137
piliocolobus_tephrosceles ENSPTEG00000029282
colobus_angolensis_palliatus ENSCANG00000043008
rhinopithecus_roxellana ENSRROG00000042670
rhinopithecus_bieti ENSRBIG00000043179
cebus_capucinus ENSCCAG00000031271
saimiri_boliviensis_boliviensis ENSSBOG00000024417
callithrix_jacchus ENSCJAG00000002620
aotus_nancymaae ENSANAG00000030732
carlito_syrichta ENSTSYG00000004363
prolemur_simus ENSPSMG00000011292
microcebus_murinus ENSMICG00000016294
propithecus_coquereli ENSPCOG00000014150
otolemur_garnettii ENSOGAG00000009571
pteropus_vampyrus ENSPVAG00000003344
myotis_lucifugus ENSMLUG00000000334
bos_mutus ENSBMUG00000023957
bos_taurus ENSBTAG00000013832
bison_bison_bison ENSBBBG00000009411
ovis_aries ENSOARG00000020140
capra_hircus ENSCHIG00000013259
tursiops_truncatus ENSTTRG00000005064
sus_scrofa ENSSSCG00000003667
vicugna_pacos ENSVPAG00000003008
ursus_americanus ENSUAMG00000000522
ursus_americanus ENSUAMG00000000509
ursus_maritimus ENSUMAG00000017299
ailuropoda_melanoleuca ENSAMEG00000004342
neovison_vison ENSNVIG00000014833
mustela_putorius_furo ENSMPUG00000014291
vulpes_vulpes ENSVVUG00000005200
vulpes_vulpes ENSVVUG00000005208
canis_lupus_dingo ENSCAFG00020003875
canis_lupus_familiaris ENSCAFG00000003048
panthera_pardus ENSPPRG00000009680
panthera_tigris_altaica ENSPTIG00000021134
felis_catus ENSFCAG00000006029
erinaceus_europaeus ENSEEUG00000009269
sorex_araneus ENSSARG00000004540
equus_asinus_asinus ENSEASG00005000884
equus_asinus_asinus ENSEASG00005000892
equus_caballus ENSECAG00000010597
notamacropus_eugenii ENSMEUG00000005217
phascolarctos_cinereus ENSPCIG00000020666
sarcophilus_harrisii ENSSHAG00000018363
monodelphis_domestica ENSMODG00000017650
ornithorhynchus_anatinus ENSOANG00000002779
anolis_carolinensis ENSACAG00000002280
notechis_scutatus ENSNSUG00000012240
pogona_vitticeps ENSPVIG00000016196
salvator_merianae ENSSMRG00000012067
sphenodon_punctatus ENSSPUG00000003472
melopsittacus_undulatus ENSMUNG00000002214
melopsittacus_undulatus ENSMUNG00000002213
meleagris_gallopavo ENSMGAG00000005516
coturnix_japonica ENSCJPG00005005054
gallus_gallus ENSGALG00000003851
numida_meleagris ENSNMEG00000011828
anser_brachyrhynchus ENSABRG00000012971
anas_platyrhynchos_platyrhynchos ENSAPLG00000011421
calidris_pygmaea ENSCPGG00000008230
calidris_pugnax ENSCPUG00000017752
apteryx_owenii ENSAOWG00000010466
apteryx_haastii ENSAHAG00000009857
apteryx_rowi ENSARWG00000011172
dromaius_novaehollandiae ENSDNVG00000008775
nothoprocta_perdicaria ENSNPEG00000009380
taeniopygia_guttata ENSTGUG00000001242
lonchura_striata_domestica ENSLSDG00000000560
serinus_canaria ENSSCAG00000006796
junco_hyemalis ENSJHYG00000014008
zonotrichia_albicollis ENSZALG00000015992
ficedula_albicollis ENSFALG00000000532
cyanistes_caeruleus ENSCCEG00000016850
parus_major ENSPMJG00000000792
lepidothrix_coronata ENSLCOG00000009672
manacus_vitellinus ENSMVIG00005008946
manacus_vitellinus ENSMVIG00005008950
zonotrichia_albicollis ENSZALG00000015993
lonchura_striata_domestica ENSLSDG00000000553
dromaius_novaehollandiae ENSDNVG00000008770
nothoprocta_perdicaria ENSNPEG00000009377
crocodylus_porosus ENSCPRG00005016250
gopherus_agassizii ENSGAGG00000000522
chelonoidis_abingdonii ENSCABG00000002035
chrysemys_picta_bellii ENSCPBG00000000908
pelodiscus_sinensis ENSPSIG00000017073
chrysemys_picta_bellii ENSCPBG00000000888
salvator_merianae ENSSMRG00000012068
xenopus_tropicalis ENSXETG00000010952
latimeria_chalumnae ENSLACG00000013861
petromyzon_marinus ENSPMAG00000008892
eptatretus_burgeri ENSEBUG00000012845
ciona_savignyi ENSCSAVG00000002050
drosophila_melanogaster FBgn0043799
saccharomyces_cerevisiae YOR274W
