nothoprocta_perdicaria ENSNPEG00000008853
phascolarctos_cinereus ENSPCIG00000032178
gallus_gallus ENSGALG00000028989
coturnix_japonica ENSCJPG00005013318
melopsittacus_undulatus ENSMUNG00000015278
cyanistes_caeruleus ENSCCEG00000007098
zonotrichia_albicollis ENSZALG00000006688
apteryx_haastii ENSAHAG00000011679
crocodylus_porosus ENSCPRG00005019035
notechis_scutatus ENSNSUG00000004887
marmota_marmota_marmota ENSMMMG00000004941
spermophilus_dauricus ENSSDAG00000024265
fukomys_damarensis ENSFDAG00000015139
cavia_aperea ENSCAPG00000006790
meriones_unguiculatus ENSMUGG00000019481
mus_musculus ENSMUSG00000115798
peromyscus_maniculatus_bairdii ENSPEMG00000025628
prolemur_simus ENSPSMG00000003819
bison_bison_bison ENSBBBG00000007743
ovis_aries ENSOARG00000020375
sus_scrofa ENSSSCG00000021699
ursus_maritimus ENSUMAG00000014395
canis_lupus_dingo ENSCAFG00020002487
panthera_pardus ENSPPRG00000021865
nomascus_leucogenys ENSNLEG00000034894
homo_sapiens ENSG00000285025
piliocolobus_tephrosceles ENSPTEG00000006436
callithrix_jacchus ENSCJAG00000047920
cebus_capucinus ENSCCAG00000019558
dasypus_novemcinctus ENSDNOG00000045882
neolamprologus_brichardi ENSNBRG00000005158
astatotilapia_calliptera ENSACLG00000011509
amphilophus_citrinellus ENSACIG00000008291
xiphophorus_couchianus ENSXCOG00000017728
poecilia_reticulata ENSPREG00000018679
mola_mola ENSMMOG00000001733
periophthalmus_magnuspinnatus ENSPMGG00000011926
cynoglossus_semilaevis ENSCSEG00000006258
paramormyrops_kingsleyae ENSPKIG00000007395
