poecilia_latipinna ENSPLAG00000015069
poecilia_reticulata ENSPREG00000017905
xiphophorus_couchianus ENSXCOG00000008340
oryzias_latipes ENSORLG00015001590
neolamprologus_brichardi ENSNBRG00000006001
pundamilia_nyererei ENSPNYG00000012977
amphiprion_ocellaris ENSAOCG00000014537
seriola_lalandi ENSSLDG00000012766
seriola_lalandi ENSSLDG00000010049
seriola_dumerili ENSSDUG00000019881
hippocampus_comes ENSHCOG00000012809
mastacembelus_armatus ENSMAMG00000012938
mola_mola ENSMMOG00000005966
periophthalmus_magnuspinnatus ENSPMGG00000022297
hucho_hucho ENSHHUG00000045551
electrophorus_electricus ENSEEEG00000003648
ictalurus_punctatus ENSIPUG00000021260
astyanax_mexicanus ENSAMXG00005015743
astyanax_mexicanus ENSAMXG00000012421
danio_rerio ENSDARG00000113009
electrophorus_electricus ENSEEEG00000005264
denticeps_clupeoides ENSDCDG00000020627
anabas_testudineus ENSATEG00000010333
canis_lupus ENSCAFG00020008023
canis_lupus ENSCAFG00000043949
cavia_aperea ENSCAPG00000015280
