otolemur_garnettii ENSOGAG00000009870
prolemur_simus ENSPSMG00000017386
pan_paniscus ENSPPAG00000016768
pan_troglodytes ENSPTRG00000009007
homo_sapiens ENSG00000198783
gorilla_gorilla ENSGGOG00000021990
pongo_abelii ENSPPYG00000008175
nomascus_leucogenys ENSNLEG00000018817
piliocolobus_tephrosceles ENSPTEG00000014445
colobus_angolensis_palliatus ENSCANG00000020958
rhinopithecus_roxellana ENSRROG00000025698
rhinopithecus_bieti ENSRBIG00000029713
macaca_fascicularis ENSMFAG00000025776
macaca_mulatta ENSMMUG00000006402
macaca_nemestrina ENSMNEG00000005226
cercocebus_atys ENSCATG00000002410
mandrillus_leucophaeus ENSMLEG00000028153
theropithecus_gelada ENSTGEG00000015155
papio_anubis ENSPANG00000023017
chlorocebus_sabaeus ENSCSAG00000000556
castor_canadensis ENSCCNG00000016193
dipodomys_ordii ENSDORG00000013421
cavia_porcellus ENSCPOG00000031218
octodon_degus ENSODEG00000012121
chinchilla_lanigera ENSCLAG00000017672
heterocephalus_glaber_female ENSHGLG00000019845
heterocephalus_glaber_male ENSHGLG00100020823
urocitellus_parryii ENSUPAG00010005818
ictidomys_tridecemlineatus ENSSTOG00000006057
spermophilus_dauricus ENSSDAG00000009796
marmota_marmota_marmota ENSMMMG00000013592
cricetulus_griseus_crigri-picr ENSCGRG00015012767
cricetulus_griseus_crigri ENSCGRG00000019342
cricetulus_griseus_chok1gshd ENSCGRG00001003631
mesocricetus_auratus ENSMAUG00000012194
peromyscus_maniculatus_bairdii ENSPEMG00000024107
microtus_ochrogaster ENSMOCG00000002661
mus_spicilegus ENSMSIG00000006544
mus_musculus ENSMUSG00000046010
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017699
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016855
mus_pahari MGP_PahariEiJ_G0017992
rattus_norvegicus ENSRNOG00000007578
meriones_unguiculatus ENSMUGG00000014351
nannospalax_galili ENSNGAG00000014849
jaculus_jaculus ENSJJAG00000010210
ursus_americanus ENSUAMG00000012368
ursus_maritimus ENSUMAG00000015731
ailuropoda_melanoleuca ENSAMEG00000019495
neovison_vison ENSNVIG00000019817
mustela_putorius_furo ENSMPUG00000019518
canis_lupus_familiaris ENSCAFG00000018337
canis_lupus_dingo ENSCAFG00020014057
vulpes_vulpes ENSVVUG00000020495
panthera_tigris_altaica ENSPTIG00000009775
panthera_pardus ENSPPRG00000017044
felis_catus ENSFCAG00000042541
equus_asinus_asinus ENSEASG00005011187
equus_caballus ENSECAG00000003872
pteropus_vampyrus ENSPVAG00000013426
myotis_lucifugus ENSMLUG00000012466
erinaceus_europaeus ENSEEUG00000004753
capra_hircus ENSCHIG00000012740
ovis_aries ENSOARG00000003942
bos_mutus ENSBMUG00000013328
bos_taurus ENSBTAG00000020340
bison_bison_bison ENSBBBG00000003814
tursiops_truncatus ENSTTRG00000015462
dasypus_novemcinctus ENSDNOG00000019735
loxodonta_africana ENSLAFG00000030751
procavia_capensis ENSPCAG00000000832
echinops_telfairi ENSETEG00000001709
monodelphis_domestica ENSMODG00000019150
phascolarctos_cinereus ENSPCIG00000003674
ornithorhynchus_anatinus ENSOANG00000030817
apteryx_owenii ENSAOWG00000006946
apteryx_haastii ENSAHAG00000003773
apteryx_rowi ENSARWG00000012933
dromaius_novaehollandiae ENSDNVG00000007216
nothoprocta_perdicaria ENSNPEG00000005702
calidris_pygmaea ENSCPGG00000001918
calidris_pugnax ENSCPUG00000005370
melopsittacus_undulatus ENSMUNG00000002268
manacus_vitellinus ENSMVIG00005003489
lepidothrix_coronata ENSLCOG00000000350
lonchura_striata_domestica ENSLSDG00000017154
taeniopygia_guttata ENSTGUG00000008174
ficedula_albicollis ENSFALG00000004399
serinus_canaria ENSSCAG00000005971
parus_major ENSPMJG00000013733
cyanistes_caeruleus ENSCCEG00000014010
zonotrichia_albicollis ENSZALG00000002247
junco_hyemalis ENSJHYG00000013389
coturnix_japonica ENSCJPG00005019599
gallus_gallus ENSGALG00000013156
meleagris_gallopavo ENSMGAG00000006843
coturnix_japonica ENSCJPG00005014823
numida_meleagris ENSNMEG00000008819
