numida_meleagris ENSNMEG00000016009
coturnix_japonica ENSCJPG00005003099
anas_platyrhynchos_platyrhynchos ENSAPLG00000003290
apteryx_owenii ENSAOWG00000000614
dromaius_novaehollandiae ENSDNVG00000014859
zonotrichia_albicollis ENSZALG00000010001
taeniopygia_guttata ENSTGUG00000015178
chrysemys_picta_bellii ENSCPBG00000027162
gopherus_agassizii ENSGAGG00000016219
anolis_carolinensis ENSACAG00000005213
salvator_merianae ENSSMRG00000012665
phascolarctos_cinereus ENSPCIG00000017187
notamacropus_eugenii ENSMEUG00000001612
monodelphis_domestica ENSMODG00000016823
erinaceus_europaeus ENSEEUG00000011227
sorex_araneus ENSSARG00000000768
canis_lupus_familiaris ENSCAFG00000012731
canis_lupus_dingo ENSCAFG00020001056
vulpes_vulpes ENSVVUG00000015387
ursus_maritimus ENSUMAG00000022356
ursus_americanus ENSUAMG00000012872
felis_catus ENSFCAG00000001332
equus_caballus ENSECAG00000023357
myotis_lucifugus ENSMLUG00000016336
castor_canadensis ENSCCNG00000021468
dipodomys_ordii ENSDORG00000004509
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025709
mus_musculus ENSMUSG00000027570
mus_spicilegus ENSMSIG00000017585
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024784
mus_pahari MGP_PahariEiJ_G0026231
rattus_norvegicus ENSRNOG00000009531
meriones_unguiculatus ENSMUGG00000022165
cricetulus_griseus_crigri ENSCGRG00000010697
cricetulus_griseus_chok1gshd ENSCGRG00001019417
cricetulus_griseus_crigri-picr ENSCGRG00015015920
mesocricetus_auratus ENSMAUG00000012721
peromyscus_maniculatus_bairdii ENSPEMG00000019951
microtus_ochrogaster ENSMOCG00000008409
nannospalax_galili ENSNGAG00000001500
jaculus_jaculus ENSJJAG00000020792
urocitellus_parryii ENSUPAG00010009608
ictidomys_tridecemlineatus ENSSTOG00000021578
marmota_marmota_marmota ENSMMMG00000003673
chinchilla_lanigera ENSCLAG00000007710
octodon_degus ENSODEG00000004588
cavia_porcellus ENSCPOG00000002720
cavia_aperea ENSCAPG00000010756
heterocephalus_glaber_female ENSHGLG00000005944
ochotona_princeps ENSOPRG00000007041
ochotona_princeps ENSOPRG00000006089
microcebus_murinus ENSMICG00000043180
propithecus_coquereli ENSPCOG00000024112
otolemur_garnettii ENSOGAG00000011190
nomascus_leucogenys ENSNLEG00000009920
meriones_unguiculatus ENSMUGG00000006594
spermophilus_dauricus ENSSDAG00000006466
rhinopithecus_roxellana ENSRROG00000029777
rhinopithecus_bieti ENSRBIG00000034671
colobus_angolensis_palliatus ENSCANG00000035124
macaca_fascicularis ENSMFAG00000002720
macaca_mulatta ENSMMUG00000016859
macaca_nemestrina ENSMNEG00000037036
chlorocebus_sabaeus ENSCSAG00000016170
pan_troglodytes ENSPTRG00000013721
saimiri_boliviensis_boliviensis ENSSBOG00000032867
carlito_syrichta ENSTSYG00000029883
oryctolagus_cuniculus ENSOCUG00000001968
tursiops_truncatus ENSTTRG00000001775
tupaia_belangeri ENSTBEG00000014434
capra_hircus ENSCHIG00000022644
ovis_aries ENSOARG00000012168
bos_taurus ENSBTAG00000015581
sus_scrofa ENSSSCG00000040554
equus_asinus_asinus ENSEASG00005023193
heterocephalus_glaber_male ENSHGLG00100005273
dasypus_novemcinctus ENSDNOG00000041006
procavia_capensis ENSPCAG00000009600
loxodonta_africana ENSLAFG00000010016
echinops_telfairi ENSETEG00000001862
xenopus_tropicalis ENSXETG00000006108
tetraodon_nigroviridis ENSTNIG00000012604
takifugu_rubripes ENSTRUG00000006672
cynoglossus_semilaevis ENSCSEG00000020861
gasterosteus_aculeatus ENSGACG00000015178
scophthalmus_maximus ENSSMAG00000000227
mastacembelus_armatus ENSMAMG00000024129
monopterus_albus ENSMALG00000022287
anabas_testudineus ENSATEG00000016084
gambusia_affinis ENSGAFG00000013633
xiphophorus_maculatus ENSXMAG00000009969
poecilia_formosa ENSPFOG00000010863
poecilia_mexicana ENSPMEG00000015995
poecilia_latipinna ENSPLAG00000005488
fundulus_heteroclitus ENSFHEG00000018023
cyprinodon_variegatus ENSCVAG00000016204
kryptolebias_marmoratus ENSKMAG00000012601
oryzias_latipes ENSORLG00000011918
oryzias_latipes ENSORLG00020018063
oryzias_latipes_asm223469v1 ENSORLG00015012875
oryzias_melastigma ENSOMEG00000000165
pundamilia_nyererei ENSPNYG00000021528
maylandia_zebra ENSMZEG00005026013
haplochromis_burtoni ENSHBUG00000012207
oreochromis_niloticus ENSONIG00000017095
neolamprologus_brichardi ENSNBRG00000022551
amphilophus_citrinellus ENSACIG00000000004
amphiprion_percula ENSAPEG00000013325
amphiprion_ocellaris ENSAOCG00000013278
acanthochromis_polyacanthus ENSAPOG00000003023
stegastes_partitus ENSSPAG00000012286
mola_mola ENSMMOG00000008771
seriola_dumerili ENSSDUG00000022709
seriola_lalandi_dorsalis ENSSLDG00000011159
hippocampus_comes ENSHCOG00000018872
periophthalmus_magnuspinnatus ENSPMGG00000004352
gadus_morhua ENSGMOG00000013901
esox_lucius ENSELUG00000016066
pygocentrus_nattereri ENSPNAG00000006819
astyanax_mexicanus ENSAMXG00000002074
ictalurus_punctatus ENSIPUG00000015548
danio_rerio ENSDARG00000037845
scleropages_formosus ENSSFOG00015020880
petromyzon_marinus ENSPMAG00000005231
