equus_caballus ENSECAG00000024904
equus_asinus_asinus ENSEASG00005007915
pteropus_vampyrus ENSPVAG00000007035
ursus_americanus ENSUAMG00000004387
ursus_maritimus ENSUMAG00000020461
ailuropoda_melanoleuca ENSAMEG00000018161
mustela_putorius_furo ENSMPUG00000017524
neovison_vison ENSNVIG00000008965
canis_lupus_familiaris ENSCAFG00000000364
canis_lupus_dingo ENSCAFG00020018652
vulpes_vulpes ENSVVUG00000011884
panthera_tigris_altaica ENSPTIG00000013411
panthera_pardus ENSPPRG00000001914
felis_catus ENSFCAG00000009978
sus_scrofa ENSSSCG00000030998
vicugna_pacos ENSVPAG00000004249
ovis_aries ENSOARG00000003121
capra_hircus ENSCHIG00000012173
bos_taurus ENSBTAG00000014758
bos_mutus ENSBMUG00000024654
bison_bison_bison ENSBBBG00000012556
tursiops_truncatus ENSTTRG00000011551
erinaceus_europaeus ENSEEUG00000000845
sorex_araneus ENSSARG00000014124
myotis_lucifugus ENSMLUG00000008951
loxodonta_africana ENSLAFG00000013238
pan_paniscus ENSPPAG00000030444
pan_troglodytes ENSPTRG00000005179
homo_sapiens ENSG00000156076
gorilla_gorilla ENSGGOG00000002585
pongo_abelii ENSPPYG00000004733
nomascus_leucogenys ENSNLEG00000003067
macaca_fascicularis ENSMFAG00000038475
macaca_mulatta ENSMMUG00000016887
macaca_nemestrina ENSMNEG00000029633
mandrillus_leucophaeus ENSMLEG00000033779
cercocebus_atys ENSCATG00000029641
theropithecus_gelada ENSTGEG00000020856
papio_anubis ENSPANG00000011642
chlorocebus_sabaeus ENSCSAG00000004412
piliocolobus_tephrosceles ENSPTEG00000024373
rhinopithecus_roxellana ENSRROG00000032528
colobus_angolensis_palliatus ENSCANG00000036824
cebus_capucinus ENSCCAG00000029128
saimiri_boliviensis_boliviensis ENSSBOG00000035414
callithrix_jacchus ENSCJAG00000014629
aotus_nancymaae ENSANAG00000029531
propithecus_coquereli ENSPCOG00000016842
prolemur_simus ENSPSMG00000001163
oryctolagus_cuniculus ENSOCUG00000014907
ochotona_princeps ENSOPRG00000002532
tupaia_belangeri ENSTBEG00000003048
