erinaceus_europaeus ENSEEUG00000009932
pteropus_vampyrus ENSPVAG00000008254
bos_mutus ENSBMUG00000015276
bos_taurus ENSBTAG00000020555
bison_bison_bison ENSBBBG00000009925
ovis_aries ENSOARG00000000658
capra_hircus ENSCHIG00000021148
tursiops_truncatus ENSTTRG00000005795
sus_scrofa ENSSSCG00000007226
vicugna_pacos ENSVPAG00000004069
neovison_vison ENSNVIG00000019294
mustela_putorius_furo ENSMPUG00000017915
canis_lupus_familiaris ENSCAFG00000030438
canis_lupus_dingo ENSCAFG00020004188
ursus_americanus ENSUAMG00000023513
ailuropoda_melanoleuca ENSAMEG00000013768
panthera_tigris_altaica ENSPTIG00000015460
panthera_pardus ENSPPRG00000024197
felis_catus ENSFCAG00000014655
propithecus_coquereli ENSPCOG00000016172
prolemur_simus ENSPSMG00000003307
microcebus_murinus ENSMICG00000028026
otolemur_garnettii ENSOGAG00000002339
carlito_syrichta ENSTSYG00000010933
castor_canadensis ENSCCNG00000018946
dipodomys_ordii ENSDORG00000027726
spermophilus_dauricus ENSSDAG00000009727
urocitellus_parryii ENSUPAG00010018926
ictidomys_tridecemlineatus ENSSTOG00000004598
marmota_marmota_marmota ENSMMMG00000023817
mus_spicilegus ENSMSIG00000001507
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025387
mus_musculus ENSMUSG00000044863
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024466
mus_pahari MGP_PahariEiJ_G0025909
rattus_norvegicus ENSRNOG00000007558
meriones_unguiculatus ENSMUGG00000021493
cricetulus_griseus_chok1gshd ENSCGRG00001012394
cricetulus_griseus_crigri ENSCGRG00000016759
cricetulus_griseus_crigri-picr ENSCGRG00015003763
mesocricetus_auratus ENSMAUG00000006783
peromyscus_maniculatus_bairdii ENSPEMG00000024169
microtus_ochrogaster ENSMOCG00000019050
nannospalax_galili ENSNGAG00000019392
jaculus_jaculus ENSJJAG00000015920
chinchilla_lanigera ENSCLAG00000017024
octodon_degus ENSODEG00000011781
cavia_porcellus ENSCPOG00000034794
cavia_aperea ENSCAPG00000013908
heterocephalus_glaber_female ENSHGLG00000009576
oryctolagus_cuniculus ENSOCUG00000026775
ochotona_princeps ENSOPRG00000008592
cebus_capucinus ENSCCAG00000031263
callithrix_jacchus ENSCJAG00000020810
aotus_nancymaae ENSANAG00000033838
pan_troglodytes ENSPTRG00000013352
pan_troglodytes ENSPTRG00000049041
pan_paniscus ENSPPAG00000030174
homo_sapiens ENSG00000180424
gorilla_gorilla ENSGGOG00000000884
pongo_abelii ENSPPYG00000010884
nomascus_leucogenys ENSNLEG00000009574
macaca_nemestrina ENSMNEG00000037431
macaca_mulatta ENSMMUG00000046141
macaca_fascicularis ENSMFAG00000031230
theropithecus_gelada ENSTGEG00000008706
papio_anubis ENSPANG00000023849
cercocebus_atys ENSCATG00000030618
mandrillus_leucophaeus ENSMLEG00000042327
chlorocebus_sabaeus ENSCSAG00000012792
piliocolobus_tephrosceles ENSPTEG00000002038
colobus_angolensis_palliatus ENSCANG00000014908
rhinopithecus_roxellana ENSRROG00000036940
rhinopithecus_bieti ENSRBIG00000041840
tupaia_belangeri ENSTBEG00000010594
equus_asinus_asinus ENSEASG00005003652
equus_caballus ENSECAG00000015886
vulpes_vulpes ENSVVUG00000008366
dasypus_novemcinctus ENSDNOG00000001353
loxodonta_africana ENSLAFG00000000115
echinops_telfairi ENSETEG00000003305
