oryzias_melastigma ENSOMEG00000002092
oryzias_latipes ENSORLG00020001531
cyprinodon_variegatus ENSCVAG00000019407
monopterus_albus ENSMALG00000000352
xiphophorus_maculatus ENSXMAG00000010331
xiphophorus_couchianus ENSXCOG00000011922
poecilia_formosa ENSPFOG00000008566
poecilia_mexicana ENSPMEG00000019816
poecilia_latipinna ENSPLAG00000012423
poecilia_reticulata ENSPREG00000022045
gambusia_affinis ENSGAFG00000007971
fundulus_heteroclitus ENSFHEG00000008430
cyprinodon_variegatus ENSCVAG00000019423
oryzias_latipes_asm223469v1 ENSORLG00015004894
oryzias_latipes ENSORLG00000009570
oryzias_latipes ENSORLG00020001522
pundamilia_nyererei ENSPNYG00000020931
neolamprologus_brichardi ENSNBRG00000011991
amphilophus_citrinellus ENSACIG00000017218
takifugu_rubripes ENSTRUG00000014818
tetraodon_nigroviridis ENSTNIG00000016554
mola_mola ENSMMOG00000011721
labrus_bergylta ENSLBEG00000001644
hippocampus_comes ENSHCOG00000000446
amphiprion_ocellaris ENSAOCG00000003201
acanthochromis_polyacanthus ENSAPOG00000000068
stegastes_partitus ENSSPAG00000006557
astatotilapia_calliptera ENSACLG00000006078
maylandia_zebra ENSMZEG00005004418
haplochromis_burtoni ENSHBUG00000023055
oreochromis_niloticus ENSONIG00000009665
gasterosteus_aculeatus ENSGACG00000006537
labrus_bergylta ENSLBEG00000018116
anabas_testudineus ENSATEG00000021639
mastacembelus_armatus ENSMAMG00000005407
seriola_dumerili ENSSDUG00000023206
seriola_lalandi_dorsalis ENSSLDG00000001522
scophthalmus_maximus ENSSMAG00000005371
monopterus_albus ENSMALG00000000326
kryptolebias_marmoratus ENSKMAG00000019083
cynoglossus_semilaevis ENSCSEG00000009244
periophthalmus_magnuspinnatus ENSPMGG00000023086
gadus_morhua ENSGMOG00000005787
esox_lucius ENSELUG00000019645
pygocentrus_nattereri ENSPNAG00000006478
astyanax_mexicanus ENSAMXG00000003815
ictalurus_punctatus ENSIPUG00000017026
danio_rerio ENSDARG00000058372
scleropages_formosus ENSSFOG00015013771
paramormyrops_kingsleyae ENSPKIG00000015473
lepisosteus_oculatus ENSLOCG00000016859
ornithorhynchus_anatinus ENSOANG00000005388
ornithorhynchus_anatinus ENSOANG00000021425
loxodonta_africana ENSLAFG00000003934
procavia_capensis ENSPCAG00000015531
echinops_telfairi ENSETEG00000001642
choloepus_hoffmanni ENSCHOG00000005158
choloepus_hoffmanni ENSCHOG00000004573
dasypus_novemcinctus ENSDNOG00000047664
dipodomys_ordii ENSDORG00000005061
castor_canadensis ENSCCNG00000005637
marmota_marmota_marmota ENSMMMG00000023526
spermophilus_dauricus ENSSDAG00000008344
ictidomys_tridecemlineatus ENSSTOG00000003089
heterocephalus_glaber_female ENSHGLG00000000355
heterocephalus_glaber_male ENSHGLG00100008048
chinchilla_lanigera ENSCLAG00000015633
cavia_porcellus ENSCPOG00000015508
octodon_degus ENSODEG00000002586
mus_spicilegus ENSMSIG00000029615
