mustela_putorius_furo ENSMPUG00000002851
neovison_vison ENSNVIG00000019133
ursus_maritimus ENSUMAG00000011315
canis_lupus_familiaris ENSCAFG00000008913
canis_lupus_dingo ENSCAFG00020005818
panthera_tigris_altaica ENSPTIG00000017358
panthera_pardus ENSPPRG00000012590
felis_catus ENSFCAG00000013290
equus_caballus ENSECAG00000032191
equus_asinus_asinus ENSEASG00005012349
bos_taurus ENSBTAG00000031561
bos_mutus ENSBMUG00000003649
bison_bison_bison ENSBBBG00000016710
capra_hircus ENSCHIG00000010528
tursiops_truncatus ENSTTRG00000001732
vicugna_pacos ENSVPAG00000010432
pteropus_vampyrus ENSPVAG00000015769
myotis_lucifugus ENSMLUG00000000442
octodon_degus ENSODEG00000003974
chinchilla_lanigera ENSCLAG00000003542
heterocephalus_glaber_male ENSHGLG00100014223
heterocephalus_glaber_male ENSHGLG00100013846
heterocephalus_glaber_female ENSHGLG00000018148
fukomys_damarensis ENSFDAG00000012442
cavia_porcellus ENSCPOG00000000876
cricetulus_griseus_chok1gshd ENSCGRG00001004798
cricetulus_griseus_crigri-picr ENSCGRG00015022973
cricetulus_griseus_chok1gshd ENSCGRG00001002516
mesocricetus_auratus ENSMAUG00000012551
microtus_ochrogaster ENSMOCG00000021372
peromyscus_maniculatus_bairdii ENSPEMG00000010988
peromyscus_maniculatus_bairdii ENSPEMG00000019460
mus_musculus ENSMUSG00000034544
mus_spicilegus ENSMSIG00000025037
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025992
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025050
mus_pahari MGP_PahariEiJ_G0026493
nannospalax_galili ENSNGAG00000009486
jaculus_jaculus ENSJJAG00000013815
ictidomys_tridecemlineatus ENSSTOG00000021591
spermophilus_dauricus ENSSDAG00000006687
marmota_marmota_marmota ENSMMMG00000016000
urocitellus_parryii ENSUPAG00010007492
ochotona_princeps ENSOPRG00000011878
tupaia_belangeri ENSTBEG00000001973
pan_troglodytes ENSPTRG00000043498
pan_paniscus ENSPPAG00000034990
homo_sapiens ENSG00000174891
gorilla_gorilla ENSGGOG00000042322
pongo_abelii ENSPPYG00000014242
nomascus_leucogenys ENSNLEG00000004137
theropithecus_gelada ENSTGEG00000002583
papio_anubis ENSPANG00000013402
cercocebus_atys ENSCATG00000036643
chlorocebus_sabaeus ENSCSAG00000012145
macaca_fascicularis ENSMFAG00000006023
macaca_mulatta ENSMMUG00000004956
mandrillus_leucophaeus ENSMLEG00000031735
rhinopithecus_bieti ENSRBIG00000032161
piliocolobus_tephrosceles ENSPTEG00000018733
colobus_angolensis_palliatus ENSCANG00000036402
macaca_nemestrina ENSMNEG00000037212
callithrix_jacchus ENSCJAG00000036696
aotus_nancymaae ENSANAG00000029278
cebus_capucinus ENSCCAG00000032077
saimiri_boliviensis_boliviensis ENSSBOG00000027990
aotus_nancymaae ENSANAG00000027952
pongo_abelii ENSPPYG00000019354
carlito_syrichta ENSTSYG00000004437
microcebus_murinus ENSMICG00000048785
microcebus_murinus ENSMICG00000038489
propithecus_coquereli ENSPCOG00000024048
choloepus_hoffmanni ENSCHOG00000004539
dipodomys_ordii ENSDORG00000014162
dipodomys_ordii ENSDORG00000030222
echinops_telfairi ENSETEG00000017217
sarcophilus_harrisii ENSSHAG00000017907
phascolarctos_cinereus ENSPCIG00000032999
ornithorhynchus_anatinus ENSOANG00000003579
apteryx_rowi ENSARWG00000016522
apteryx_owenii ENSAOWG00000015366
dromaius_novaehollandiae ENSDNVG00000004223
nothoprocta_perdicaria ENSNPEG00000001714
anas_platyrhynchos_platyrhynchos ENSAPLG00000004783
anser_brachyrhynchus ENSABRG00000001329
gallus_gallus ENSGALG00000009669
coturnix_japonica ENSCJPG00005018107
numida_meleagris ENSNMEG00000013976
taeniopygia_guttata ENSTGUG00000011212
ficedula_albicollis ENSFALG00000007596
crocodylus_porosus ENSCPRG00005007591
pelodiscus_sinensis ENSPSIG00000004221
anolis_carolinensis ENSACAG00000006806
pogona_vitticeps ENSPVIG00000020446
salvator_merianae ENSSMRG00000001470
latimeria_chalumnae ENSLACG00000008594
mola_mola ENSMMOG00000012169
takifugu_rubripes ENSTRUG00000014093
seriola_dumerili ENSSDUG00000021319
anabas_testudineus ENSATEG00000011673
monopterus_albus ENSMALG00000007288
periophthalmus_magnuspinnatus ENSPMGG00000009657
scophthalmus_maximus ENSSMAG00000015205
cyprinodon_variegatus ENSCVAG00000000736
fundulus_heteroclitus ENSFHEG00000006703
poecilia_formosa ENSPFOG00000004930
poecilia_mexicana ENSPMEG00000019650
poecilia_reticulata ENSPREG00000022529
xiphophorus_maculatus ENSXMAG00000029199
xiphophorus_couchianus ENSXCOG00000012732
gambusia_affinis ENSGAFG00000011679
oryzias_melastigma ENSOMEG00000014821
pundamilia_nyererei ENSPNYG00000018061
haplochromis_burtoni ENSHBUG00000018157
neolamprologus_brichardi ENSNBRG00000007063
astatotilapia_calliptera ENSACLG00000018792
maylandia_zebra ENSMZEG00005015979
amphilophus_citrinellus ENSACIG00000001497
amphiprion_percula ENSAPEG00000012312
acanthochromis_polyacanthus ENSAPOG00000021072
hippocampus_comes ENSHCOG00000006290
esox_lucius ENSELUG00000015854
pygocentrus_nattereri ENSPNAG00000001220
astyanax_mexicanus ENSAMXG00000029793
ictalurus_punctatus ENSIPUG00000005976
scleropages_formosus ENSSFOG00015003090
paramormyrops_kingsleyae ENSPKIG00000004966
lepisosteus_oculatus ENSLOCG00000003826
