anabas_testudineus ENSATEG00000018462
mastacembelus_armatus ENSMAMG00000019272
seriola_dumerili ENSSDUG00000022662
seriola_lalandi_dorsalis ENSSLDG00000002967
scophthalmus_maximus ENSSMAG00000009871
labrus_bergylta ENSLBEG00000007767
cyprinodon_variegatus ENSCVAG00000019991
fundulus_heteroclitus ENSFHEG00000008022
poecilia_mexicana ENSPMEG00000005060
poecilia_formosa ENSPFOG00000008367
poecilia_latipinna ENSPLAG00000023855
poecilia_reticulata ENSPREG00000008319
xiphophorus_maculatus ENSXMAG00000029731
xiphophorus_couchianus ENSXCOG00000008176
gambusia_affinis ENSGAFG00000020575
kryptolebias_marmoratus ENSKMAG00000000082
oryzias_latipes ENSORLG00020005305
oryzias_latipes ENSORLG00000005813
oryzias_latipes_asm223469v1 ENSORLG00015002786
oryzias_melastigma ENSOMEG00000010989
astatotilapia_calliptera ENSACLG00000016600
maylandia_zebra ENSMZEG00005023662
haplochromis_burtoni ENSHBUG00000003421
pundamilia_nyererei ENSPNYG00000022894
neolamprologus_brichardi ENSNBRG00000015168
amphilophus_citrinellus ENSACIG00000011458
amphiprion_ocellaris ENSAOCG00000001629
amphiprion_percula ENSAPEG00000018510
acanthochromis_polyacanthus ENSAPOG00000022820
stegastes_partitus ENSSPAG00000010806
cynoglossus_semilaevis ENSCSEG00000004596
mola_mola ENSMMOG00000007271
takifugu_rubripes ENSTRUG00000022344
gasterosteus_aculeatus ENSGACG00000016208
periophthalmus_magnuspinnatus ENSPMGG00000018532
hippocampus_comes ENSHCOG00000002121
gadus_morhua ENSGMOG00000016255
esox_lucius ENSELUG00000006361
astyanax_mexicanus ENSAMXG00000004100
pygocentrus_nattereri ENSPNAG00000000137
ictalurus_punctatus ENSIPUG00000005225
danio_rerio ENSDARG00000092290
paramormyrops_kingsleyae ENSPKIG00000022358
lepisosteus_oculatus ENSLOCG00000003251
chelonoidis_abingdonii ENSCABG00000022490
gopherus_agassizii ENSGAGG00000003533
chrysemys_picta_bellii ENSCPBG00000017192
apteryx_rowi ENSARWG00000013326
apteryx_owenii ENSAOWG00000009386
apteryx_haastii ENSAHAG00000011000
dromaius_novaehollandiae ENSDNVG00000002589
nothoprocta_perdicaria ENSNPEG00000001285
anas_platyrhynchos_platyrhynchos ENSAPLG00000021961
anser_brachyrhynchus ENSABRG00000013482
numida_meleagris ENSNMEG00000018283
coturnix_japonica ENSCJPG00005015820
lonchura_striata_domestica ENSLSDG00000009382
serinus_canaria ENSSCAG00000010327
junco_hyemalis ENSJHYG00000003320
parus_major ENSPMJG00000019688
cyanistes_caeruleus ENSCCEG00000013531
lepidothrix_coronata ENSLCOG00000008619
calidris_pygmaea ENSCPGG00000008202
calidris_pugnax ENSCPUG00000019886
melopsittacus_undulatus ENSMUNG00000015389
pogona_vitticeps ENSPVIG00000008668
notechis_scutatus ENSNSUG00000002730
salvator_merianae ENSSMRG00000013610
erinaceus_europaeus ENSEEUG00000008461
echinops_telfairi ENSETEG00000017377
prolemur_simus ENSPSMG00000018476
microcebus_murinus ENSMICG00000042396
otolemur_garnettii ENSOGAG00000031439
pan_paniscus ENSPPAG00000009490
pan_troglodytes ENSPTRG00000008577
homo_sapiens ENSG00000177602
gorilla_gorilla ENSGGOG00000007494
pongo_abelii ENSPPYG00000007822
nomascus_leucogenys ENSNLEG00000018847
chlorocebus_sabaeus ENSCSAG00000000571
piliocolobus_tephrosceles ENSPTEG00000038740
callithrix_jacchus ENSCJAG00000023439
saimiri_boliviensis_boliviensis ENSSBOG00000028630
tupaia_belangeri ENSTBEG00000006299
mus_spicilegus ENSMSIG00000012125
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017523
mus_musculus ENSMUSG00000050107
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016686
mus_pahari MGP_PahariEiJ_G0017819
rattus_norvegicus ENSRNOG00000048660
meriones_unguiculatus ENSMUGG00000020226
cricetulus_griseus_crigri-picr ENSCGRG00015021810
cricetulus_griseus_chok1gshd ENSCGRG00001010278
peromyscus_maniculatus_bairdii ENSPEMG00000027333
castor_canadensis ENSCCNG00000007582
ictidomys_tridecemlineatus ENSSTOG00000021498
urocitellus_parryii ENSUPAG00010021543
marmota_marmota_marmota ENSMMMG00000019341
spermophilus_dauricus ENSSDAG00000000759
heterocephalus_glaber_female ENSHGLG00000011283
heterocephalus_glaber_male ENSHGLG00100019888
fukomys_damarensis ENSFDAG00000002810
chinchilla_lanigera ENSCLAG00000009958
octodon_degus ENSODEG00000016330
cavia_porcellus ENSCPOG00000015528
ursus_americanus ENSUAMG00000014041
ursus_maritimus ENSUMAG00000007594
ailuropoda_melanoleuca ENSAMEG00000009369
neovison_vison ENSNVIG00000015743
mustela_putorius_furo ENSMPUG00000018557
canis_lupus_familiaris ENSCAFG00000019370
canis_lupus_dingo ENSCAFG00020008217
vulpes_vulpes ENSVVUG00000026077
panthera_tigris_altaica ENSPTIG00000006274
panthera_pardus ENSPPRG00000017492
felis_catus ENSFCAG00000023576
equus_caballus ENSECAG00000008432
equus_asinus_asinus ENSEASG00005013397
bos_taurus ENSBTAG00000032372
bos_mutus ENSBMUG00000011847
bison_bison_bison ENSBBBG00000024670
capra_hircus ENSCHIG00000010465
ovis_aries ENSOARG00000017746
tursiops_truncatus ENSTTRG00000005842
sus_scrofa ENSSSCG00000031821
myotis_lucifugus ENSMLUG00000017059
loxodonta_africana ENSLAFG00000000167
procavia_capensis ENSPCAG00000012583
dasypus_novemcinctus ENSDNOG00000016342
oryctolagus_cuniculus ENSOCUG00000008041
phascolarctos_cinereus ENSPCIG00000020022
ornithorhynchus_anatinus ENSOANG00000012691
petromyzon_marinus ENSPMAG00000000354
eptatretus_burgeri ENSEBUG00000012310
