denticeps_clupeoides ENSDCDG00000024150
clupea_harengus ENSCHAG00000027314
astyanax_mexicanus ENSAMXG00000006962
astyanax_mexicanus ENSAMXG00005010251
pygocentrus_nattereri ENSPNAG00000015921
electrophorus_electricus ENSEEEG00000020857
ictalurus_punctatus ENSIPUG00000006955
danio_rerio ENSDARG00000069105
fundulus_heteroclitus ENSFHEG00000020422
cyprinodon_variegatus ENSCVAG00000022645
xiphophorus_maculatus ENSXMAG00000018788
xiphophorus_couchianus ENSXCOG00000003991
gambusia_affinis ENSGAFG00000007383
poecilia_formosa ENSPFOG00000018271
poecilia_latipinna ENSPLAG00000020546
poecilia_mexicana ENSPMEG00000004980
poecilia_reticulata ENSPREG00000005849
kryptolebias_marmoratus ENSKMAG00000018622
oryzias_latipes ENSORLG00000013964
oryzias_latipes ENSORLG00015018433
oryzias_latipes ENSORLG00020000960
oryzias_melastigma ENSOMEG00000003036
amphiprion_ocellaris ENSAOCG00000021941
amphiprion_percula ENSAPEG00000022043
acanthochromis_polyacanthus ENSAPOG00000002040
stegastes_partitus ENSSPAG00000003774
haplochromis_burtoni ENSHBUG00000020002
pundamilia_nyererei ENSPNYG00000008189
maylandia_zebra ENSMZEG00005009478
astatotilapia_calliptera ENSACLG00000015658
neolamprologus_brichardi ENSNBRG00000009440
oreochromis_niloticus ENSONIG00000017319
amphilophus_citrinellus ENSACIG00000002426
gouania_willdenowi ENSGWIG00000024247
gouania_willdenowi ENSGWIG00000024482
seriola_lalandi ENSSLDG00000016377
seriola_dumerili ENSSDUG00000000486
scophthalmus_maximus ENSSMAG00000007550
lates_calcarifer ENSLCAG00010012180
mastacembelus_armatus ENSMAMG00000020112
monopterus_albus ENSMALG00000010412
anabas_testudineus ENSATEG00000022718
betta_splendens ENSBSLG00000019692
cynoglossus_semilaevis ENSCSEG00000016374
tetraodon_nigroviridis ENSTNIG00000007633
takifugu_rubripes ENSTRUG00000004233
mola_mola ENSMMOG00000014822
larimichthys_crocea ENSLCRG00005017458
labrus_bergylta ENSLBEG00000015960
cottoperca_gobio ENSCGOG00000017726
gasterosteus_aculeatus ENSGACG00000020799
hippocampus_comes ENSHCOG00000010690
parambassis_ranga ENSPRNG00000002267
periophthalmus_magnuspinnatus ENSPMGG00000011111
gadus_morhua ENSGMOG00000012942
hucho_hucho ENSHHUG00000033387
hucho_hucho ENSHHUG00000028187
esox_lucius ENSELUG00000011441
paramormyrops_kingsleyae ENSPKIG00000009221
scleropages_formosus ENSSFOG00015010244
paramormyrops_kingsleyae ENSPKIG00000016646
lepisosteus_oculatus ENSLOCG00000012293
erpetoichthys_calabaricus ENSECRG00000009520
latimeria_chalumnae ENSLACG00000009607
meleagris_gallopavo ENSMGAG00000004380
callorhinchus_milii ENSCMIG00000005965
