junco_hyemalis ENSJHYG00000009602
parus_major ENSPMJG00000007733
gallus_gallus ENSGALG00000035854
ursus_maritimus ENSUMAG00000017796
canis_lupus_dingo ENSCAFG00020027435
capra_hircus ENSCHIG00000027271
sorex_araneus ENSSARG00000002510
rhinopithecus_roxellana ENSRROG00000031096
piliocolobus_tephrosceles ENSPTEG00000036437
cercocebus_atys ENSCATG00000035859
mandrillus_leucophaeus ENSMLEG00000029398
pongo_abelii ENSPPYG00000014093
prolemur_simus ENSPSMG00000014484
ictidomys_tridecemlineatus ENSSTOG00000002075
loxodonta_africana ENSLAFG00000014767
phascolarctos_cinereus ENSPCIG00000027858
notamacropus_eugenii ENSMEUG00000003662
sarcophilus_harrisii ENSSHAG00000010148
monodelphis_domestica ENSMODG00000013209
dasypus_novemcinctus ENSDNOG00000016074
ornithorhynchus_anatinus ENSOANG00000019832
tursiops_truncatus ENSTTRG00000003029
vicugna_pacos ENSVPAG00000001385
pteropus_vampyrus ENSPVAG00000006826
erinaceus_europaeus ENSEEUG00000011771
ochotona_princeps ENSOPRG00000000688
choloepus_hoffmanni ENSCHOG00000009838
procavia_capensis ENSPCAG00000010812
ailuropoda_melanoleuca ENSAMEG00000004848
haplochromis_burtoni ENSHBUG00000007992
