astatotilapia_calliptera ENSACLG00000005370
pundamilia_nyererei ENSPNYG00000000243
maylandia_zebra ENSMZEG00005011332
neolamprologus_brichardi ENSNBRG00000013520
amphilophus_citrinellus ENSACIG00000007151
oryzias_latipes ENSORLG00000029374
oryzias_latipes ENSORLG00020009736
oryzias_melastigma ENSOMEG00000007858
poecilia_latipinna ENSPLAG00000009274
poecilia_mexicana ENSPMEG00000009729
xiphophorus_maculatus ENSXMAG00000025511
gambusia_affinis ENSGAFG00000003010
kryptolebias_marmoratus ENSKMAG00000007049
monopterus_albus ENSMALG00000008035
mastacembelus_armatus ENSMAMG00000009474
