pundamilia_nyererei ENSPNYG00000023425
haplochromis_burtoni ENSHBUG00000007371
poecilia_reticulata ENSPREG00000000850
periophthalmus_magnuspinnatus ENSPMGG00000023263
monopterus_albus ENSMALG00000002790
betta_splendens ENSBSLG00000005014
anabas_testudineus ENSATEG00000000470
neolamprologus_brichardi ENSNBRG00000023070
kryptolebias_marmoratus ENSKMAG00000004754
anabas_testudineus ENSATEG00000001633
periophthalmus_magnuspinnatus ENSPMGG00000004636
poecilia_latipinna ENSPLAG00000013573
maylandia_zebra ENSMZEG00005010128
astatotilapia_calliptera ENSACLG00000005155
astatotilapia_calliptera ENSACLG00000005009
maylandia_zebra ENSMZEG00005009774
ictalurus_punctatus ENSIPUG00000017104
scleropages_formosus ENSSFOG00015003006
