dasypus_novemcinctus ENSDNOG00000037202
loxodonta_africana ENSLAFG00000016016
mus_spicilegus ENSMSIG00000012416
mus_musculus ENSMUSG00000029736
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0029325
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0028321
mus_pahari MGP_PahariEiJ_G0022078
rattus_norvegicus ENSRNOG00000025720
meriones_unguiculatus ENSMUGG00000006058
cricetulus_griseus_chok1gshd ENSCGRG00001019598
cricetulus_griseus_crigri-picr ENSCGRG00015024189
cricetulus_griseus_crigri ENSCGRG00000009574
mesocricetus_auratus ENSMAUG00000018927
peromyscus_maniculatus_bairdii ENSPEMG00000008804
microtus_ochrogaster ENSMOCG00000004254
nannospalax_galili ENSNGAG00000005296
jaculus_jaculus ENSJJAG00000017542
castor_canadensis ENSCCNG00000031768
chinchilla_lanigera ENSCLAG00000001319
octodon_degus ENSODEG00000012694
cavia_porcellus ENSCPOG00000005512
fukomys_damarensis ENSFDAG00000020036
spermophilus_dauricus ENSSDAG00000011419
urocitellus_parryii ENSUPAG00010022819
ictidomys_tridecemlineatus ENSSTOG00000026570
oryctolagus_cuniculus ENSOCUG00000001027
ochotona_princeps ENSOPRG00000015250
prolemur_simus ENSPSMG00000000957
propithecus_coquereli ENSPCOG00000024895
microcebus_murinus ENSMICG00000002270
otolemur_garnettii ENSOGAG00000010413
pan_paniscus ENSPPAG00000043960
pan_troglodytes ENSPTRG00000019828
gorilla_gorilla ENSGGOG00000022185
homo_sapiens ENSG00000106410
pongo_abelii ENSPPYG00000018138
nomascus_leucogenys ENSNLEG00000003406
colobus_angolensis_palliatus ENSCANG00000023964
piliocolobus_tephrosceles ENSPTEG00000031478
rhinopithecus_bieti ENSRBIG00000001079
rhinopithecus_roxellana ENSRROG00000034468
macaca_fascicularis ENSMFAG00000045293
macaca_mulatta ENSMMUG00000020609
macaca_nemestrina ENSMNEG00000036074
theropithecus_gelada ENSTGEG00000001590
papio_anubis ENSPANG00000018829
cercocebus_atys ENSCATG00000039706
mandrillus_leucophaeus ENSMLEG00000037011
chlorocebus_sabaeus ENSCSAG00000007090
aotus_nancymaae ENSANAG00000036869
aotus_nancymaae ENSANAG00000027267
cebus_capucinus ENSCCAG00000036900
saimiri_boliviensis_boliviensis ENSSBOG00000023160
callithrix_jacchus ENSCJAG00000009917
tupaia_belangeri ENSTBEG00000014780
bos_taurus ENSBTAG00000009832
bos_mutus ENSBMUG00000015043
bison_bison_bison ENSBBBG00000014239
capra_hircus ENSCHIG00000010152
ovis_aries ENSOARG00000018472
tursiops_truncatus ENSTTRG00000006951
sus_scrofa ENSSSCG00000024977
equus_caballus ENSECAG00000003123
equus_asinus_asinus ENSEASG00005009137
ursus_maritimus ENSUMAG00000011584
ursus_americanus ENSUAMG00000022908
ailuropoda_melanoleuca ENSAMEG00000008629
neovison_vison ENSNVIG00000024779
mustela_putorius_furo ENSMPUG00000007079
vulpes_vulpes ENSVVUG00000016346
canis_lupus_familiaris ENSCAFG00000003500
panthera_pardus ENSPPRG00000022086
panthera_tigris_altaica ENSPTIG00000008443
felis_catus ENSFCAG00000004352
myotis_lucifugus ENSMLUG00000004209
erinaceus_europaeus ENSEEUG00000014105
notamacropus_eugenii ENSMEUG00000004071
sarcophilus_harrisii ENSSHAG00000013593
monodelphis_domestica ENSMODG00000001675
ornithorhynchus_anatinus ENSOANG00000007774
pelodiscus_sinensis ENSPSIG00000002905
gopherus_agassizii ENSGAGG00000001586
gallus_gallus ENSGALG00000043916
meleagris_gallopavo ENSMGAG00000013900
anser_brachyrhynchus ENSABRG00000012113
cyanistes_caeruleus ENSCCEG00000005203
parus_major ENSPMJG00000010052
taeniopygia_guttata ENSTGUG00000011896
ficedula_albicollis ENSFALG00000004573
apteryx_haastii ENSAHAG00000018926
apteryx_owenii ENSAOWG00000001758
pogona_vitticeps ENSPVIG00000018924
anolis_carolinensis ENSACAG00000002147
salvator_merianae ENSSMRG00000022945
xenopus_tropicalis ENSXETG00000017356
pteropus_vampyrus ENSPVAG00000015921
choloepus_hoffmanni ENSCHOG00000013112
echinops_telfairi ENSETEG00000006944
latimeria_chalumnae ENSLACG00000012815
hippocampus_comes ENSHCOG00000005175
scophthalmus_maximus ENSSMAG00000011082
labrus_bergylta ENSLBEG00000002497
takifugu_rubripes ENSTRUG00000025908
xiphophorus_maculatus ENSXMAG00000027994
gambusia_affinis ENSGAFG00000015643
poecilia_formosa ENSPFOG00000021771
poecilia_mexicana ENSPMEG00000015731
poecilia_latipinna ENSPLAG00000007273
poecilia_reticulata ENSPREG00000005136
fundulus_heteroclitus ENSFHEG00000007720
kryptolebias_marmoratus ENSKMAG00000003427
oryzias_latipes_asm223469v1 ENSORLG00015011307
oryzias_latipes ENSORLG00020019366
oryzias_latipes ENSORLG00000028896
oryzias_melastigma ENSOMEG00000009228
astatotilapia_calliptera ENSACLG00000019430
maylandia_zebra ENSMZEG00005005916
haplochromis_burtoni ENSHBUG00000018741
gadus_morhua ENSGMOG00000015531
esox_lucius ENSELUG00000002382
astyanax_mexicanus ENSAMXG00000037645
pygocentrus_nattereri ENSPNAG00000026558
ictalurus_punctatus ENSIPUG00000020371
paramormyrops_kingsleyae ENSPKIG00000010479
lepisosteus_oculatus ENSLOCG00000005164
eptatretus_burgeri ENSEBUG00000007575
