oryctolagus_cuniculus ENSOCUG00000026515
ochotona_princeps ENSOPRG00000000224
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0009415
mus_spicilegus ENSMSIG00000004030
mus_musculus ENSMUSG00000060183
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0008955
mus_pahari MGP_PahariEiJ_G0008414
rattus_norvegicus ENSRNOG00000022298
meriones_unguiculatus ENSMUGG00000021172
cricetulus_griseus_chok1gshd ENSCGRG00001005770
cricetulus_griseus_crigri-picr ENSCGRG00015011381
cricetulus_griseus_crigri ENSCGRG00000002640
mesocricetus_auratus ENSMAUG00000020524
peromyscus_maniculatus_bairdii ENSPEMG00000004556
microtus_ochrogaster ENSMOCG00000005650
nannospalax_galili ENSNGAG00000011811
dipodomys_ordii ENSDORG00000001468
chinchilla_lanigera ENSCLAG00000006119
octodon_degus ENSODEG00000001389
cavia_porcellus ENSCPOG00000034062
cavia_aperea ENSCAPG00000011957
heterocephalus_glaber_male ENSHGLG00100004381
heterocephalus_glaber_female ENSHGLG00000016538
fukomys_damarensis ENSFDAG00000006084
ictidomys_tridecemlineatus ENSSTOG00000009504
urocitellus_parryii ENSUPAG00010009356
spermophilus_dauricus ENSSDAG00000008047
marmota_marmota_marmota ENSMMMG00000006576
prolemur_simus ENSPSMG00000012301
microcebus_murinus ENSMICG00000029161
propithecus_coquereli ENSPCOG00000000044
nomascus_leucogenys ENSNLEG00000008037
pongo_abelii ENSPPYG00000014855
rhinopithecus_roxellana ENSRROG00000040073
rhinopithecus_bieti ENSRBIG00000034782
colobus_angolensis_palliatus ENSCANG00000040908
piliocolobus_tephrosceles ENSPTEG00000025520
macaca_nemestrina ENSMNEG00000043719
macaca_fascicularis ENSMFAG00000045313
papio_anubis ENSPANG00000026405
cercocebus_atys ENSCATG00000034207
theropithecus_gelada ENSTGEG00000013240
chlorocebus_sabaeus ENSCSAG00000004644
mandrillus_leucophaeus ENSMLEG00000043244
pan_troglodytes ENSPTRG00000016183
pan_paniscus ENSPPAG00000031392
gorilla_gorilla ENSGGOG00000038857
homo_sapiens ENSG00000169248
cebus_capucinus ENSCCAG00000024245
saimiri_boliviensis_boliviensis ENSSBOG00000022539
callithrix_jacchus ENSCJAG00000014481
aotus_nancymaae ENSANAG00000029442
tupaia_belangeri ENSTBEG00000007644
carlito_syrichta ENSTSYG00000027544
carlito_syrichta ENSTSYG00000008576
ovis_aries ENSOARG00000016668
capra_hircus ENSCHIG00000017407
bos_mutus ENSBMUG00000014696
bos_taurus ENSBTAG00000005603
bison_bison_bison ENSBBBG00000008603
tursiops_truncatus ENSTTRG00000008984
vicugna_pacos ENSVPAG00000012323
sus_scrofa ENSSSCG00000008978
equus_caballus ENSECAG00000012253
equus_asinus_asinus ENSEASG00005016480
pteropus_vampyrus ENSPVAG00000015384
myotis_lucifugus ENSMLUG00000005316
ursus_maritimus ENSUMAG00000007654
ursus_americanus ENSUAMG00000000489
ailuropoda_melanoleuca ENSAMEG00000011754
neovison_vison ENSNVIG00000014150
mustela_putorius_furo ENSMPUG00000008682
panthera_pardus ENSPPRG00000015828
panthera_tigris_altaica ENSPTIG00000010389
felis_catus ENSFCAG00000039100
dasypus_novemcinctus ENSDNOG00000048035
choloepus_hoffmanni ENSCHOG00000008263
erinaceus_europaeus ENSEEUG00000004285
loxodonta_africana ENSLAFG00000032739
echinops_telfairi ENSETEG00000003269
procavia_capensis ENSPCAG00000007933
phascolarctos_cinereus ENSPCIG00000007033
ornithorhynchus_anatinus ENSOANG00000030613
