equus_asinus_asinus ENSEASG00005001124
equus_caballus ENSECAG00000003015
sorex_araneus ENSSARG00000008421
ursus_maritimus ENSUMAG00000002234
ursus_americanus ENSUAMG00000011326
ailuropoda_melanoleuca ENSAMEG00000015166
neovison_vison ENSNVIG00000012381
mustela_putorius_furo ENSMPUG00000016588
canis_lupus_familiaris ENSCAFG00000000059
canis_lupus_dingo ENSCAFG00020015986
vulpes_vulpes ENSVVUG00000018358
panthera_tigris_altaica ENSPTIG00000020134
panthera_pardus ENSPPRG00000017229
felis_catus ENSFCAG00000031659
bos_taurus ENSBTAG00000023026
bos_mutus ENSBMUG00000004372
bison_bison_bison ENSBBBG00000016374
capra_hircus ENSCHIG00000021894
ovis_aries ENSOARG00000005159
bos_taurus ENSBTAG00000023198
bos_mutus ENSBMUG00000002717
bison_bison_bison ENSBBBG00000022088
capra_hircus ENSCHIG00000017433
ovis_aries ENSOARG00000006889
tursiops_truncatus ENSTTRG00000005220
sus_scrofa ENSSSCG00000004890
vicugna_pacos ENSVPAG00000003049
myotis_lucifugus ENSMLUG00000017541
pteropus_vampyrus ENSPVAG00000001627
gorilla_gorilla ENSGGOG00000025667
homo_sapiens ENSG00000197632
pan_troglodytes ENSPTRG00000043105
pan_troglodytes ENSPTRG00000023897
pan_paniscus ENSPPAG00000039479
pongo_abelii ENSPPYG00000009222
rhinopithecus_bieti ENSRBIG00000039048
rhinopithecus_roxellana ENSRROG00000037824
piliocolobus_tephrosceles ENSPTEG00000026477
macaca_fascicularis ENSMFAG00000035794
macaca_nemestrina ENSMNEG00000029594
macaca_mulatta ENSMMUG00000016617
papio_anubis ENSPANG00000015213
theropithecus_gelada ENSTGEG00000004432
cercocebus_atys ENSCATG00000040195
chlorocebus_sabaeus ENSCSAG00000018206
cebus_capucinus ENSCCAG00000031695
saimiri_boliviensis_boliviensis ENSSBOG00000028920
callithrix_jacchus ENSCJAG00000006860
aotus_nancymaae ENSANAG00000021447
carlito_syrichta ENSTSYG00000001272
prolemur_simus ENSPSMG00000002790
prolemur_simus ENSPSMG00000021448
propithecus_coquereli ENSPCOG00000020009
microcebus_murinus ENSMICG00000016506
otolemur_garnettii ENSOGAG00000016653
castor_canadensis ENSCCNG00000028510
dipodomys_ordii ENSDORG00000006585
mus_spicilegus ENSMSIG00000006051
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015305
mus_musculus ENSMUSG00000062345
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014499
mus_pahari MGP_PahariEiJ_G0027734
rattus_norvegicus ENSRNOG00000002460
meriones_unguiculatus ENSMUGG00000008260
cricetulus_griseus_chok1gshd ENSCGRG00001014826
cricetulus_griseus_crigri ENSCGRG00000010997
cricetulus_griseus_crigri-picr ENSCGRG00015020859
mesocricetus_auratus ENSMAUG00000000062
microtus_ochrogaster ENSMOCG00000000526
peromyscus_maniculatus_bairdii ENSPEMG00000021421
nannospalax_galili ENSNGAG00000023970
jaculus_jaculus ENSJJAG00000008877
chinchilla_lanigera ENSCLAG00000011771
octodon_degus ENSODEG00000005185
cavia_aperea ENSCAPG00000014455
cavia_porcellus ENSCPOG00000000088
heterocephalus_glaber_female ENSHGLG00000001127
heterocephalus_glaber_male ENSHGLG00100000073
fukomys_damarensis ENSFDAG00000008359
spermophilus_dauricus ENSSDAG00000016995
spermophilus_dauricus ENSSDAG00000016967
spermophilus_dauricus ENSSDAG00000016971
urocitellus_parryii ENSUPAG00010002958
ictidomys_tridecemlineatus ENSSTOG00000007501
marmota_marmota_marmota ENSMMMG00000002481
oryctolagus_cuniculus ENSOCUG00000014452
ochotona_princeps ENSOPRG00000003299
tupaia_belangeri ENSTBEG00000012557
erinaceus_europaeus ENSEEUG00000000275
loxodonta_africana ENSLAFG00000008537
procavia_capensis ENSPCAG00000016159
echinops_telfairi ENSETEG00000008744
choloepus_hoffmanni ENSCHOG00000001375
dasypus_novemcinctus ENSDNOG00000013198
notamacropus_eugenii ENSMEUG00000014833
phascolarctos_cinereus ENSPCIG00000000847
monodelphis_domestica ENSMODG00000005456
sarcophilus_harrisii ENSSHAG00000018425
ornithorhynchus_anatinus ENSOANG00000010176
sphenodon_punctatus ENSSPUG00000015437
