felis_catus ENSFCAG00000033513
panthera_pardus ENSPPRG00000008096
ailuropoda_melanoleuca ENSAMEG00000005478
sorex_araneus ENSSARG00000009646
myotis_lucifugus ENSMLUG00000004446
pteropus_vampyrus ENSPVAG00000013311
ovis_aries ENSOARG00000014083
capra_hircus ENSCHIG00000000810
bos_taurus ENSBTAG00000018522
bison_bison_bison ENSBBBG00000024367
tursiops_truncatus ENSTTRG00000003115
sus_scrofa ENSSSCG00000013460
microcebus_murinus ENSMICG00000015481
propithecus_coquereli ENSPCOG00000028145
prolemur_simus ENSPSMG00000008874
otolemur_garnettii ENSOGAG00000006371
callithrix_jacchus ENSCJAG00000013227
saimiri_boliviensis_boliviensis ENSSBOG00000027798
cebus_capucinus ENSCCAG00000030278
aotus_nancymaae ENSANAG00000023902
rhinopithecus_bieti ENSRBIG00000013554
colobus_angolensis_palliatus ENSCANG00000036138
chlorocebus_sabaeus ENSCSAG00000011660
cercocebus_atys ENSCATG00000035959
theropithecus_gelada ENSTGEG00000012898
nomascus_leucogenys ENSNLEG00000002179
pongo_abelii ENSPPYG00000009345
piliocolobus_tephrosceles ENSPTEG00000027717
pan_paniscus ENSPPAG00000034691
pan_troglodytes ENSPTRG00000010230
homo_sapiens ENSG00000104904
gorilla_gorilla ENSGGOG00000007571
macaca_fascicularis ENSMFAG00000006874
macaca_mulatta ENSMMUG00000017949
macaca_nemestrina ENSMNEG00000033256
mandrillus_leucophaeus ENSMLEG00000031485
chlorocebus_sabaeus ENSCSAG00000001142
papio_anubis ENSPANG00000024421
rhinopithecus_roxellana ENSRROG00000037447
cricetulus_griseus_crigri-picr ENSCGRG00015002805
cricetulus_griseus_chok1gshd ENSCGRG00001013579
mesocricetus_auratus ENSMAUG00000011178
microtus_ochrogaster ENSMOCG00000022351
microtus_ochrogaster ENSMOCG00000005386
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015605
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016423
mus_pahari MGP_PahariEiJ_G0031018
mus_spicilegus ENSMSIG00000027266
mus_musculus ENSMUSG00000035242
rattus_norvegicus ENSRNOG00000019459
meriones_unguiculatus ENSMUGG00000013997
nannospalax_galili ENSNGAG00000021735
nannospalax_galili ENSNGAG00000015026
jaculus_jaculus ENSJJAG00000005334
dipodomys_ordii ENSDORG00000016529
fukomys_damarensis ENSFDAG00000011472
fukomys_damarensis ENSFDAG00000006524
heterocephalus_glaber_female ENSHGLG00000013291
octodon_degus ENSODEG00000013554
cavia_porcellus ENSCPOG00000004697
cavia_aperea ENSCAPG00000008742
dasypus_novemcinctus ENSDNOG00000001344
dasypus_novemcinctus ENSDNOG00000030646
choloepus_hoffmanni ENSCHOG00000009326
loxodonta_africana ENSLAFG00000002779
echinops_telfairi ENSETEG00000017945
marmota_marmota_marmota ENSMMMG00000016480
urocitellus_parryii ENSUPAG00010013256
ictidomys_tridecemlineatus ENSSTOG00000026489
chinchilla_lanigera ENSCLAG00000013652
heterocephalus_glaber_male ENSHGLG00100000623
canis_lupus_familiaris ENSCAFG00000019411
vulpes_vulpes ENSVVUG00000002621
canis_lupus_dingo ENSCAFG00020018160
ursus_americanus ENSUAMG00000000933
equus_asinus_asinus ENSEASG00005021981
bos_mutus ENSBMUG00000013624
ornithorhynchus_anatinus ENSOANG00000000654
salvator_merianae ENSSMRG00000002617
gopherus_agassizii ENSGAGG00000008468
chelonoidis_abingdonii ENSCABG00000021514
chrysemys_picta_bellii ENSCPBG00000018579
pelodiscus_sinensis ENSPSIG00000009440
calidris_pygmaea ENSCPGG00000001197
calidris_pugnax ENSCPUG00000006915
zonotrichia_albicollis ENSZALG00000004220
serinus_canaria ENSSCAG00000002364
lepidothrix_coronata ENSLCOG00000004902
meleagris_gallopavo ENSMGAG00000001981
gallus_gallus ENSGALG00000000812
numida_meleagris ENSNMEG00000008333
coturnix_japonica ENSCJPG00005009851
anser_brachyrhynchus ENSABRG00000001543
taeniopygia_guttata ENSTGUG00000000312
lonchura_striata_domestica ENSLSDG00000004937
ficedula_albicollis ENSFALG00000013794
junco_hyemalis ENSJHYG00000010700
parus_major ENSPMJG00000010608
cyanistes_caeruleus ENSCCEG00000023279
manacus_vitellinus ENSMVIG00005006462
apteryx_rowi ENSARWG00000002841
apteryx_haastii ENSAHAG00000011369
apteryx_owenii ENSAOWG00000014429
dromaius_novaehollandiae ENSDNVG00000002373
melopsittacus_undulatus ENSMUNG00000012766
anas_platyrhynchos_platyrhynchos ENSAPLG00000021664
nothoprocta_perdicaria ENSNPEG00000013397
chrysemys_picta_bellii ENSCPBG00000025139
crocodylus_porosus ENSCPRG00005009394
sphenodon_punctatus ENSSPUG00000012103
spermophilus_dauricus ENSSDAG00000023937
spermophilus_dauricus ENSSDAG00000023935
castor_canadensis ENSCCNG00000026729
equus_caballus ENSECAG00000030745
macaca_fascicularis ENSMFAG00000024078
pogona_vitticeps ENSPVIG00000005951
pogona_vitticeps ENSPVIG00000019128
notechis_scutatus ENSNSUG00000008342
xenopus_tropicalis ENSXETG00000013655
monodelphis_domestica ENSMODG00000004703
monodelphis_domestica ENSMODG00000004487
phascolarctos_cinereus ENSPCIG00000030458
latimeria_chalumnae ENSLACG00000022583
sarcophilus_harrisii ENSSHAG00000003312
oryctolagus_cuniculus ENSOCUG00000008944
scleropages_formosus ENSSFOG00015010906
paramormyrops_kingsleyae ENSPKIG00000009506
paramormyrops_kingsleyae ENSPKIG00000018015
