tupaia_belangeri ENSTBEG00000006774
pongo_abelii ENSPPYG00000004511
castor_canadensis ENSCCNG00000001648
dipodomys_ordii ENSDORG00000028650
cricetulus_griseus_crigri ENSCGRG00000007405
cricetulus_griseus_crigri-picr ENSCGRG00015008362
cricetulus_griseus_chok1gshd ENSCGRG00001007279
mesocricetus_auratus ENSMAUG00000011781
microtus_ochrogaster ENSMOCG00000018505
peromyscus_maniculatus_bairdii ENSPEMG00000011861
mus_spicilegus ENSMSIG00000006718
mus_musculus ENSMUSG00000045350
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0020280
meriones_unguiculatus ENSMUGG00000026547
nannospalax_galili ENSNGAG00000003759
jaculus_jaculus ENSJJAG00000001889
octodon_degus ENSODEG00000010866
chinchilla_lanigera ENSCLAG00000001798
cavia_porcellus ENSCPOG00000039626
heterocephalus_glaber_male ENSHGLG00100017220
heterocephalus_glaber_female ENSHGLG00000007692
ictidomys_tridecemlineatus ENSSTOG00000032900
erinaceus_europaeus ENSEEUG00000013038
sorex_araneus ENSSARG00000013050
