fukomys_damarensis ENSFDAG00000014581
mus_spicilegus ENSMSIG00000001042
oryctolagus_cuniculus ENSOCUG00000026799
oryctolagus_cuniculus ENSOCUG00000010816
loxodonta_africana ENSLAFG00000021704
ictidomys_tridecemlineatus ENSSTOG00000025495
urocitellus_parryii ENSUPAG00010013590
cricetulus_griseus_crigri ENSCGRG00000001425
cricetulus_griseus_chok1gshd ENSCGRG00001016507
cricetulus_griseus_crigri-picr ENSCGRG00015009078
mesocricetus_auratus ENSMAUG00000010238
peromyscus_maniculatus_bairdii ENSPEMG00000000280
microtus_ochrogaster ENSMOCG00000006595
mus_musculus ENSMUSG00000055555
mus_spicilegus ENSMSIG00000005184
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0034235
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0033079
oryctolagus_cuniculus ENSOCUG00000029561
oryctolagus_cuniculus ENSOCUG00000029479
oryctolagus_cuniculus ENSOCUG00000029121
oryctolagus_cuniculus ENSOCUG00000021358
oryctolagus_cuniculus ENSOCUG00000029294
prolemur_simus ENSPSMG00000012169
bos_taurus ENSBTAG00000019546
ovis_aries ENSOARG00000011848
sus_scrofa ENSSSCG00000012693
equus_caballus ENSECAG00000023653
mustela_putorius_furo ENSMPUG00000012664
ailuropoda_melanoleuca ENSAMEG00000011275
canis_lupus_dingo ENSCAFG00020000332
panthera_tigris_altaica ENSPTIG00000013416
felis_catus ENSFCAG00000040592
loxodonta_africana ENSLAFG00000031787
