anas_platyrhynchos_platyrhynchos ENSAPLG00000012185
anser_brachyrhynchus ENSABRG00000020368
coturnix_japonica ENSCJPG00005014221
meleagris_gallopavo ENSMGAG00000000734
gallus_gallus ENSGALG00000029444
numida_meleagris ENSNMEG00000006257
calidris_pugnax ENSCPUG00000017879
calidris_pygmaea ENSCPGG00000011371
melopsittacus_undulatus ENSMUNG00000005439
apteryx_haastii ENSAHAG00000019720
apteryx_owenii ENSAOWG00000017984
apteryx_rowi ENSARWG00000004023
dromaius_novaehollandiae ENSDNVG00000007416
nothoprocta_perdicaria ENSNPEG00000002859
lonchura_striata_domestica ENSLSDG00000016206
taeniopygia_guttata ENSTGUG00000016576
junco_hyemalis ENSJHYG00000010518
ficedula_albicollis ENSFALG00000002878
cyanistes_caeruleus ENSCCEG00000009269
lepidothrix_coronata ENSLCOG00000006539
manacus_vitellinus ENSMVIG00005015615
serinus_canaria ENSSCAG00000012209
crocodylus_porosus ENSCPRG00005003335
chelonoidis_abingdonii ENSCABG00000017845
gopherus_agassizii ENSGAGG00000018593
chrysemys_picta_bellii ENSCPBG00000025698
pelodiscus_sinensis ENSPSIG00000010859
anolis_carolinensis ENSACAG00000002517
pogona_vitticeps ENSPVIG00000020744
salvator_merianae ENSSMRG00000011409
choloepus_hoffmanni ENSCHOG00000011734
dasypus_novemcinctus ENSDNOG00000045069
loxodonta_africana ENSLAFG00000022844
procavia_capensis ENSPCAG00000014270
capra_hircus ENSCHIG00000025142
ovis_aries ENSOARG00000004102
bos_mutus ENSBMUG00000012989
bos_taurus ENSBTAG00000014393
bison_bison_bison ENSBBBG00000000879
tursiops_truncatus ENSTTRG00000009464
sus_scrofa ENSSSCG00000006519
myotis_lucifugus ENSMLUG00000013410
ursus_americanus ENSUAMG00000020522
ursus_maritimus ENSUMAG00000019495
canis_lupus_dingo ENSCAFG00020007098
canis_lupus_familiaris ENSCAFG00000016969
neovison_vison ENSNVIG00000019445
panthera_pardus ENSPPRG00000023511
panthera_tigris_altaica ENSPTIG00000010873
felis_catus ENSFCAG00000045726
erinaceus_europaeus ENSEEUG00000001582
propithecus_coquereli ENSPCOG00000027461
prolemur_simus ENSPSMG00000023730
microcebus_murinus ENSMICG00000007436
otolemur_garnettii ENSOGAG00000009589
carlito_syrichta ENSTSYG00000009569
castor_canadensis ENSCCNG00000019235
dipodomys_ordii ENSDORG00000011628
cricetulus_griseus_chok1gshd ENSCGRG00001014237
cricetulus_griseus_crigri ENSCGRG00000004401
cricetulus_griseus_crigri-picr ENSCGRG00015001974
mesocricetus_auratus ENSMAUG00000016789
peromyscus_maniculatus_bairdii ENSPEMG00000012240
microtus_ochrogaster ENSMOCG00000014182
mus_spicilegus ENSMSIG00000025788
mus_musculus ENSMUSG00000068917
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0026132
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0025189
mus_pahari MGP_PahariEiJ_G0026633
meriones_unguiculatus ENSMUGG00000002582
nannospalax_galili ENSNGAG00000022518
chinchilla_lanigera ENSCLAG00000003873
octodon_degus ENSODEG00000009701
cavia_porcellus ENSCPOG00000003176
cavia_aperea ENSCAPG00000013888
heterocephalus_glaber_male ENSHGLG00100018017
heterocephalus_glaber_female ENSHGLG00000015486
fukomys_damarensis ENSFDAG00000008092
urocitellus_parryii ENSUPAG00010002672
ictidomys_tridecemlineatus ENSSTOG00000008974
marmota_marmota_marmota ENSMMMG00000014477
spermophilus_dauricus ENSSDAG00000023551
tupaia_belangeri ENSTBEG00000000216
pan_paniscus ENSPPAG00000043646
pan_troglodytes ENSPTRG00000001419
homo_sapiens ENSG00000176444
gorilla_gorilla ENSGGOG00000009438
pongo_abelii ENSPPYG00000000748
nomascus_leucogenys ENSNLEG00000012062
piliocolobus_tephrosceles ENSPTEG00000031545
colobus_angolensis_palliatus ENSCANG00000032369
rhinopithecus_bieti ENSRBIG00000035588
rhinopithecus_roxellana ENSRROG00000035036
cercocebus_atys ENSCATG00000032189
papio_anubis ENSPANG00000024992
macaca_nemestrina ENSMNEG00000031061
macaca_mulatta ENSMMUG00000023141
theropithecus_gelada ENSTGEG00000023808
