dromaius_novaehollandiae ENSDNVG00000006193
nothoprocta_perdicaria ENSNPEG00000007191
apteryx_haastii ENSAHAG00000000827
apteryx_rowi ENSARWG00000011422
apteryx_owenii ENSAOWG00000004004
meleagris_gallopavo ENSMGAG00000008463
coturnix_japonica ENSCJPG00005006325
numida_meleagris ENSNMEG00000016444
anas_platyrhynchos_platyrhynchos ENSAPLG00000024593
lepidothrix_coronata ENSLCOG00000009928
manacus_vitellinus ENSMVIG00005006115
cyanistes_caeruleus ENSCCEG00000004011
parus_major ENSPMJG00000005903
ficedula_albicollis ENSFALG00000004532
taeniopygia_guttata ENSTGUG00000016521
lonchura_striata_domestica ENSLSDG00000010174
serinus_canaria ENSSCAG00000013951
zonotrichia_albicollis ENSZALG00000004484
junco_hyemalis ENSJHYG00000000150
calidris_pugnax ENSCPUG00000005820
calidris_pygmaea ENSCPGG00000002745
melopsittacus_undulatus ENSMUNG00000007317
crocodylus_porosus ENSCPRG00005008211
gopherus_agassizii ENSGAGG00000009992
chelonoidis_abingdonii ENSCABG00000005144
sphenodon_punctatus ENSSPUG00000019038
pogona_vitticeps ENSPVIG00000017404
