amphiprion_ocellaris ENSAOCG00000012672
amphiprion_percula ENSAPEG00000014825
acanthochromis_polyacanthus ENSAPOG00000013596
stegastes_partitus ENSSPAG00000000668
poecilia_formosa ENSPFOG00000006550
poecilia_mexicana ENSPMEG00000005800
poecilia_latipinna ENSPLAG00000012317
poecilia_reticulata ENSPREG00000013446
gambusia_affinis ENSGAFG00000014988
xiphophorus_couchianus ENSXCOG00000008628
fundulus_heteroclitus ENSFHEG00000011819
astatotilapia_calliptera ENSACLG00000019082
seriola_lalandi_dorsalis ENSSLDG00000008854
scophthalmus_maximus ENSSMAG00000000531
anabas_testudineus ENSATEG00000009592
anabas_testudineus ENSATEG00000009615
gasterosteus_aculeatus ENSGACG00000003503
labrus_bergylta ENSLBEG00000028748
hippocampus_comes ENSHCOG00000001740
gadus_morhua ENSGMOG00000008819
gadus_morhua ENSGMOG00000016147
gadus_morhua ENSGMOG00000006379
danio_rerio ENSDARG00000109310
astyanax_mexicanus ENSAMXG00000040666
astyanax_mexicanus ENSAMXG00000041783
astyanax_mexicanus ENSAMXG00000037785
astyanax_mexicanus ENSAMXG00000030558
ictalurus_punctatus ENSIPUG00000007759
danio_rerio ENSDARG00000041724
astyanax_mexicanus ENSAMXG00000018864
esox_lucius ENSELUG00000002037
scleropages_formosus ENSSFOG00015016374
paramormyrops_kingsleyae ENSPKIG00000021277
cyprinodon_variegatus ENSCVAG00000000556
ciona_intestinalis ENSCING00000005958
ciona_intestinalis ENSCING00000007085
drosophila_melanogaster FBgn0031407
drosophila_melanogaster FBgn0054049
drosophila_melanogaster FBgn0031412
