marmota_marmota ENSMMMG00000018843
urocitellus_parryii ENSUPAG00010012996
castor_canadensis ENSCCNG00000021929
mus_spretus MGP_SPRETEiJ_G0023146
mus_spicilegus ENSMSIG00000023887
mus_caroli MGP_CAROLIEiJ_G0022236
mus_musculus ENSMUSG00000071858
mus_pahari MGP_PahariEiJ_G0018969
rattus_norvegicus ENSRNOG00000039260
meriones_unguiculatus ENSMUGG00000018311
peromyscus_maniculatus ENSPEMG00000013080
microtus_ochrogaster ENSMOCG00000021778
cricetulus_griseus ENSCGRG00001016304
cricetulus_griseus ENSCGRG00015004185
mesocricetus_auratus ENSMAUG00000010983
nannospalax_galili ENSNGAG00000014025
jaculus_jaculus ENSJJAG00000017623
fukomys_damarensis ENSFDAG00000013259
cavia_porcellus ENSCPOG00000010594
chinchilla_lanigera ENSCLAG00000013364
octodon_degus ENSODEG00000006859
dipodomys_ordii ENSDORG00000003474
oryctolagus_cuniculus ENSOCUG00000004369
propithecus_coquereli ENSPCOG00000005759
prolemur_simus ENSPSMG00000013941
microcebus_murinus ENSMICG00000034778
otolemur_garnettii ENSOGAG00000016090
erinaceus_europaeus ENSEEUG00000010427
sorex_araneus ENSSARG00000002544
aotus_nancymaae ENSANAG00000037273
cebus_capucinus ENSCCAG00000036396
colobus_angolensis ENSCANG00000043062
rhinopithecus_bieti ENSRBIG00000034913
piliocolobus_tephrosceles ENSPTEG00000022969
rhinopithecus_roxellana ENSRROG00000004082
macaca_mulatta ENSMMUG00000064447
macaca_fascicularis ENSMFAG00000001550
macaca_nemestrina ENSMNEG00000025136
cercocebus_atys ENSCATG00000031485
mandrillus_leucophaeus ENSMLEG00000032502
chlorocebus_sabaeus ENSCSAG00000012118
theropithecus_gelada ENSTGEG00000028236
papio_anubis ENSPANG00000019122
pan_troglodytes ENSPTRG00000017384
pan_paniscus ENSPPAG00000041880
gorilla_gorilla ENSGGOG00000010458
homo_sapiens ENSG00000178776
pongo_abelii ENSPPYG00000015920
nomascus_leucogenys ENSNLEG00000010005
saimiri_boliviensis ENSSBOG00000035041
callithrix_jacchus ENSCJAG00000021265
carlito_syrichta ENSTSYG00000003471
tupaia_belangeri ENSTBEG00000006392
bos_indicus ENSBIXG00005004299
bos_indicus ENSBIXG00005003019
bos_indicus ENSBIXG00000026687
bos_mutus ENSBMUG00000011779
bos_taurus ENSBTAG00000015465
bison_bison ENSBBBG00000010076
ovis_aries ENSOARG00000003797
tursiops_truncatus ENSTTRG00000005632
sus_scrofa ENSSSCG00000034399
neovison_vison ENSNVIG00000010083
mustela_putorius ENSMPUG00000007744
canis_lupus ENSCAFG00020024771
canis_lupus ENSCAFG00000006661
vulpes_vulpes ENSVVUG00000021274
ursus_maritimus ENSUMAG00000010023
ursus_americanus ENSUAMG00000000041
ailuropoda_melanoleuca ENSAMEG00000000435
panthera_pardus ENSPPRG00000006516
panthera_tigris ENSPTIG00000012037
felis_catus ENSFCAG00000044545
equus_caballus ENSECAG00000012468
dasypus_novemcinctus ENSDNOG00000013950
choloepus_hoffmanni ENSCHOG00000013618
procavia_capensis ENSPCAG00000001815
loxodonta_africana ENSLAFG00000031450
echinops_telfairi ENSETEG00000018196
