tupaia_belangeri ENSTBEG00000017309
prolemur_simus ENSPSMG00000011271
cricetulus_griseus_crigri-picr ENSCGRG00015020179
peromyscus_maniculatus_bairdii ENSPEMG00000024967
mus_spicilegus ENSMSIG00000003244
meriones_unguiculatus ENSMUGG00000003406
castor_canadensis ENSCCNG00000027395
urocitellus_parryii ENSUPAG00010023354
marmota_marmota_marmota ENSMMMG00000004647
rhinopithecus_bieti ENSRBIG00000033025
rhinopithecus_roxellana ENSRROG00000040772
piliocolobus_tephrosceles ENSPTEG00000031330
colobus_angolensis_palliatus ENSCANG00000007496
macaca_fascicularis ENSMFAG00000045454
macaca_mulatta ENSMMUG00000015465
macaca_nemestrina ENSMNEG00000019670
mandrillus_leucophaeus ENSMLEG00000033112
cercocebus_atys ENSCATG00000040870
theropithecus_gelada ENSTGEG00000000555
papio_anubis ENSPANG00000030413
pan_troglodytes ENSPTRG00000005655
pan_paniscus ENSPPAG00000033683
gorilla_gorilla ENSGGOG00000010040
pongo_abelii ENSPPYG00000005145
nomascus_leucogenys ENSNLEG00000027733
callithrix_jacchus ENSCJAG00000041980
saimiri_boliviensis_boliviensis ENSSBOG00000027044
cebus_capucinus ENSCCAG00000023635
carlito_syrichta ENSTSYG00000033513
equus_caballus ENSECAG00000024104
equus_asinus_asinus ENSEASG00005016718
bison_bison_bison ENSBBBG00000017788
bos_taurus ENSBTAG00000054055
bos_mutus ENSBMUG00000021926
capra_hircus ENSCHIG00000009970
sus_scrofa ENSSSCG00000032809
sorex_araneus ENSSARG00000009958
ursus_americanus ENSUAMG00000009549
ursus_maritimus ENSUMAG00000002447
neovison_vison ENSNVIG00000022509
canis_lupus_dingo ENSCAFG00020010184
vulpes_vulpes ENSVVUG00000006694
panthera_tigris_altaica ENSPTIG00000004681
panthera_pardus ENSPPRG00000006779
felis_catus ENSFCAG00000002500
echinops_telfairi ENSETEG00000011900
