poecilia_latipinna ENSPLAG00000005236
poecilia_formosa ENSPFOG00000022567
fundulus_heteroclitus ENSFHEG00000016259
periophthalmus_magnuspinnatus ENSPMGG00000015461
tetraodon_nigroviridis ENSTNIG00000018510
manacus_vitellinus ENSMVIG00005011393
manacus_vitellinus ENSMVIG00005011387
manacus_vitellinus ENSMVIG00005003808
manacus_vitellinus ENSMVIG00005004214
manacus_vitellinus ENSMVIG00005003074
manacus_vitellinus ENSMVIG00005006041
lepidothrix_coronata ENSLCOG00000001724
nothoprocta_perdicaria ENSNPEG00000016124
