sarcophilus_harrisii ENSSHAG00000010607
phascolarctos_cinereus ENSPCIG00000017528
ursus_americanus ENSUAMG00000015703
ursus_maritimus ENSUMAG00000020254
ailuropoda_melanoleuca ENSAMEG00000019719
neovison_vison ENSNVIG00000010650
mustela_putorius_furo ENSMPUG00000019893
canis_lupus_dingo ENSCAFG00020018052
canis_lupus_familiaris ENSCAFG00000020383
vulpes_vulpes ENSVVUG00000011177
felis_catus ENSFCAG00000046265
equus_asinus_asinus ENSEASG00005011000
equus_caballus ENSECAG00000006409
bos_mutus ENSBMUG00000004470
bos_taurus ENSBTAG00000049665
bison_bison_bison ENSBBBG00000003675
capra_hircus ENSCHIG00000014321
ovis_aries ENSOARG00000011116
sus_scrofa ENSSSCG00000040139
myotis_lucifugus ENSMLUG00000023514
prolemur_simus ENSPSMG00000009364
otolemur_garnettii ENSOGAG00000024513
macaca_fascicularis ENSMFAG00000012794
macaca_mulatta ENSMMUG00000007559
macaca_nemestrina ENSMNEG00000006041
theropithecus_gelada ENSTGEG00000004886
papio_anubis ENSPANG00000011657
mandrillus_leucophaeus ENSMLEG00000002033
cercocebus_atys ENSCATG00000000540
chlorocebus_sabaeus ENSCSAG00000018474
piliocolobus_tephrosceles ENSPTEG00000018540
rhinopithecus_bieti ENSRBIG00000041288
colobus_angolensis_palliatus ENSCANG00000038462
pan_troglodytes ENSPTRG00000047547
pan_paniscus ENSPPAG00000001847
homo_sapiens ENSG00000237172
gorilla_gorilla ENSGGOG00000040003
callithrix_jacchus ENSCJAG00000041278
octodon_degus ENSODEG00000015783
cavia_porcellus ENSCPOG00000026402
fukomys_damarensis ENSFDAG00000020504
urocitellus_parryii ENSUPAG00010002133
ictidomys_tridecemlineatus ENSSTOG00000028759
spermophilus_dauricus ENSSDAG00000016880
marmota_marmota_marmota ENSMMMG00000000534
castor_canadensis ENSCCNG00000012938
dipodomys_ordii ENSDORG00000030078
mus_spicilegus ENSMSIG00000013307
mus_musculus ENSMUSG00000069920
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032584
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031466
mus_pahari MGP_PahariEiJ_G0023066
rattus_norvegicus ENSRNOG00000053895
meriones_unguiculatus ENSMUGG00000016273
peromyscus_maniculatus_bairdii ENSPEMG00000025933
microtus_ochrogaster ENSMOCG00000008518
cricetulus_griseus_chok1gshd ENSCGRG00001019496
cricetulus_griseus_crigri ENSCGRG00000008640
cricetulus_griseus_crigri-picr ENSCGRG00015006383
mesocricetus_auratus ENSMAUG00000000090
nannospalax_galili ENSNGAG00000015451
jaculus_jaculus ENSJJAG00000023578
dasypus_novemcinctus ENSDNOG00000036814
loxodonta_africana ENSLAFG00000027277
ornithorhynchus_anatinus ENSOANG00000001683
pogona_vitticeps ENSPVIG00000011005
anolis_carolinensis ENSACAG00000001233
apteryx_rowi ENSARWG00000007169
apteryx_owenii ENSAOWG00000011350
apteryx_haastii ENSAHAG00000007610
dromaius_novaehollandiae ENSDNVG00000016310
nothoprocta_perdicaria ENSNPEG00000001527
parus_major ENSPMJG00000001115
cyanistes_caeruleus ENSCCEG00000015116
ficedula_albicollis ENSFALG00000014300
lonchura_striata_domestica ENSLSDG00000001006
taeniopygia_guttata ENSTGUG00000006713
junco_hyemalis ENSJHYG00000015464
zonotrichia_albicollis ENSZALG00000011925
serinus_canaria ENSSCAG00000005145
lepidothrix_coronata ENSLCOG00000015273
manacus_vitellinus ENSMVIG00005009231
anser_brachyrhynchus ENSABRG00000022801
anas_platyrhynchos_platyrhynchos ENSAPLG00000001248
gallus_gallus ENSGALG00000021345
meleagris_gallopavo ENSMGAG00000000917
coturnix_japonica ENSCJPG00005000742
numida_meleagris ENSNMEG00000016741
melopsittacus_undulatus ENSMUNG00000014892
calidris_pugnax ENSCPUG00000011429
calidris_pygmaea ENSCPGG00000018731
crocodylus_porosus ENSCPRG00005002630
chelonoidis_abingdonii ENSCABG00000009537
gopherus_agassizii ENSGAGG00000016501
chrysemys_picta_bellii ENSCPBG00000012000
pelodiscus_sinensis ENSPSIG00000001060
sphenodon_punctatus ENSSPUG00000019225
pogona_vitticeps ENSPVIG00000019260
anolis_carolinensis ENSACAG00000013122
notechis_scutatus ENSNSUG00000017997
salvator_merianae ENSSMRG00000000799
xenopus_tropicalis ENSXETG00000032064
latimeria_chalumnae ENSLACG00000014287
takifugu_rubripes ENSTRUG00000000737
tetraodon_nigroviridis ENSTNIG00000006014
periophthalmus_magnuspinnatus ENSPMGG00000002156
cynoglossus_semilaevis ENSCSEG00000021226
fundulus_heteroclitus ENSFHEG00000017931
cyprinodon_variegatus ENSCVAG00000019032
xiphophorus_maculatus ENSXMAG00000005991
xiphophorus_couchianus ENSXCOG00000012821
gambusia_affinis ENSGAFG00000014976
poecilia_latipinna ENSPLAG00000013827
poecilia_formosa ENSPFOG00000004284
poecilia_mexicana ENSPMEG00000005639
poecilia_reticulata ENSPREG00000018666
oryzias_latipes_asm223469v1 ENSORLG00015004070
oryzias_latipes ENSORLG00000014959
oryzias_latipes ENSORLG00020013956
oryzias_melastigma ENSOMEG00000018203
hippocampus_comes ENSHCOG00000015566
maylandia_zebra ENSMZEG00005016259
haplochromis_burtoni ENSHBUG00000001810
astatotilapia_calliptera ENSACLG00000013959
