cebus_capucinus ENSCCAG00000011598
saimiri_boliviensis_boliviensis ENSSBOG00000035924
aotus_nancymaae ENSANAG00000027772
rhinopithecus_bieti ENSRBIG00000021044
colobus_angolensis_palliatus ENSCANG00000005050
theropithecus_gelada ENSTGEG00000018134
macaca_nemestrina ENSMNEG00000025567
papio_anubis ENSPANG00000029588
cercocebus_atys ENSCATG00000017677
piliocolobus_tephrosceles ENSPTEG00000026855
pan_paniscus ENSPPAG00000000641
pan_troglodytes ENSPTRG00000050211
homo_sapiens ENSG00000197084
gorilla_gorilla ENSGGOG00000006164
gorilla_gorilla ENSGGOG00000025532
homo_sapiens ENSG00000196734
pan_troglodytes ENSPTRG00000043009
nomascus_leucogenys ENSNLEG00000028803
carlito_syrichta ENSTSYG00000003425
propithecus_coquereli ENSPCOG00000008709
propithecus_coquereli ENSPCOG00000015616
prolemur_simus ENSPSMG00000004296
panthera_pardus ENSPPRG00000012269
