lepisosteus_oculatus ENSLOCG00000009429
callorhinchus_milii ENSCMIG00000009086
ciona_intestinalis ENSCING00000008611
ciona_intestinalis ENSCING00000022370
ciona_intestinalis ENSCING00000011908
ciona_intestinalis ENSCING00000000415
amphiprion_percula ENSAPEG00000015907
amphiprion_ocellaris ENSAOCG00000007224
acanthochromis_polyacanthus ENSAPOG00000015028
astatotilapia_calliptera ENSACLG00000000052
neolamprologus_brichardi ENSNBRG00000016485
poecilia_reticulata ENSPREG00000016854
dasypus_novemcinctus ENSDNOG00000046327
vombatus_ursinus ENSVURG00010008113
