xiphophorus_maculatus ENSXMAG00000011199
xiphophorus_couchianus ENSXCOG00000013601
gambusia_affinis ENSGAFG00000008786
poecilia_formosa ENSPFOG00000005611
poecilia_mexicana ENSPMEG00000007149
poecilia_latipinna ENSPLAG00000003832
poecilia_reticulata ENSPREG00000002686
fundulus_heteroclitus ENSFHEG00000021511
cyprinodon_variegatus ENSCVAG00000009807
kryptolebias_marmoratus ENSKMAG00000016345
oryzias_latipes ENSORLG00000027963
oryzias_latipes_asm223469v1 ENSORLG00015013061
oryzias_latipes ENSORLG00020014686
oryzias_melastigma ENSOMEG00000007247
anabas_testudineus ENSATEG00000017992
monopterus_albus ENSMALG00000013053
cynoglossus_semilaevis ENSCSEG00000008298
astatotilapia_calliptera ENSACLG00000023759
pundamilia_nyererei ENSPNYG00000000586
maylandia_zebra ENSMZEG00005005994
haplochromis_burtoni ENSHBUG00000018713
oreochromis_niloticus ENSONIG00000011545
amphilophus_citrinellus ENSACIG00000004060
gasterosteus_aculeatus ENSGACG00000019765
labrus_bergylta ENSLBEG00000018654
takifugu_rubripes ENSTRUG00000015207
tetraodon_nigroviridis ENSTNIG00000011028
mola_mola ENSMMOG00000001931
mastacembelus_armatus ENSMAMG00000011380
seriola_dumerili ENSSDUG00000003120
seriola_lalandi_dorsalis ENSSLDG00000023499
scophthalmus_maximus ENSSMAG00000001292
amphiprion_ocellaris ENSAOCG00000001895
amphiprion_percula ENSAPEG00000006365
acanthochromis_polyacanthus ENSAPOG00000013793
stegastes_partitus ENSSPAG00000022368
periophthalmus_magnuspinnatus ENSPMGG00000009816
hippocampus_comes ENSHCOG00000004915
gadus_morhua ENSGMOG00000018721
esox_lucius ENSELUG00000001779
pygocentrus_nattereri ENSPNAG00000029087
astyanax_mexicanus ENSAMXG00000036253
ictalurus_punctatus ENSIPUG00000017904
danio_rerio ENSDARG00000045755
paramormyrops_kingsleyae ENSPKIG00000019649
scleropages_formosus ENSSFOG00015008683
lepisosteus_oculatus ENSLOCG00000016324
ursus_americanus ENSUAMG00000009205
ursus_maritimus ENSUMAG00000007794
ailuropoda_melanoleuca ENSAMEG00000016875
neovison_vison ENSNVIG00000000828
mustela_putorius_furo ENSMPUG00000011361
canis_lupus_familiaris ENSCAFG00000023758
canis_lupus_dingo ENSCAFG00020016153
vulpes_vulpes ENSVVUG00000010954
panthera_pardus ENSPPRG00000022500
panthera_tigris_altaica ENSPTIG00000020934
felis_catus ENSFCAG00000028462
equus_asinus_asinus ENSEASG00005021237
equus_caballus ENSECAG00000010450
vicugna_pacos ENSVPAG00000001931
sus_scrofa ENSSSCG00000038987
capra_hircus ENSCHIG00000004977
capra_hircus ENSCHIG00000025817
ovis_aries ENSOARG00000015247
bos_taurus ENSBTAG00000036282
bos_mutus ENSBMUG00000020984
bison_bison_bison ENSBBBG00000019197
tursiops_truncatus ENSTTRG00000000199
erinaceus_europaeus ENSEEUG00000004885
myotis_lucifugus ENSMLUG00000008071
pteropus_vampyrus ENSPVAG00000011261
mus_musculus ENSMUSG00000019897
mus_spicilegus ENSMSIG00000031800
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016603
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015781
mus_pahari MGP_PahariEiJ_G0031306
rattus_norvegicus ENSRNOG00000004183
meriones_unguiculatus ENSMUGG00000012155
cricetulus_griseus_chok1gshd ENSCGRG00001015959
cricetulus_griseus_crigri-picr ENSCGRG00015008702
cricetulus_griseus_crigri ENSCGRG00000014122
cricetulus_griseus_crigri-picr ENSCGRG00015011247
mesocricetus_auratus ENSMAUG00000017516
microtus_ochrogaster ENSMOCG00000006690
peromyscus_maniculatus_bairdii ENSPEMG00000031144
nannospalax_galili ENSNGAG00000023637
jaculus_jaculus ENSJJAG00000015263
castor_canadensis ENSCCNG00000018639
chinchilla_lanigera ENSCLAG00000015050
octodon_degus ENSODEG00000009427
cavia_porcellus ENSCPOG00000036718
heterocephalus_glaber_female ENSHGLG00000001711
heterocephalus_glaber_male ENSHGLG00100000248
fukomys_damarensis ENSFDAG00000018726
marmota_marmota_marmota ENSMMMG00000001213
urocitellus_parryii ENSUPAG00010013356
ictidomys_tridecemlineatus ENSSTOG00000009858
spermophilus_dauricus ENSSDAG00000011308
spermophilus_dauricus ENSSDAG00000011296
oryctolagus_cuniculus ENSOCUG00000017824
tupaia_belangeri ENSTBEG00000008887
pan_troglodytes ENSPTRG00000005266
pan_paniscus ENSPPAG00000030113
homo_sapiens ENSG00000133773
gorilla_gorilla ENSGGOG00000025296
pongo_abelii ENSPPYG00000004804
nomascus_leucogenys ENSNLEG00000033968
pan_paniscus ENSPPAG00000039810
pan_troglodytes ENSPTRG00000048467
papio_anubis ENSPANG00000023011
theropithecus_gelada ENSTGEG00000022271
cercocebus_atys ENSCATG00000044760
mandrillus_leucophaeus ENSMLEG00000039811
chlorocebus_sabaeus ENSCSAG00000003867
macaca_fascicularis ENSMFAG00000034303
macaca_nemestrina ENSMNEG00000037462
rhinopithecus_roxellana ENSRROG00000041324
rhinopithecus_bieti ENSRBIG00000037638
colobus_angolensis_palliatus ENSCANG00000032140
piliocolobus_tephrosceles ENSPTEG00000037243
cebus_capucinus ENSCCAG00000021997
saimiri_boliviensis_boliviensis ENSSBOG00000029711
callithrix_jacchus ENSCJAG00000019396
aotus_nancymaae ENSANAG00000033505
carlito_syrichta ENSTSYG00000007979
propithecus_coquereli ENSPCOG00000013658
microcebus_murinus ENSMICG00000041747
prolemur_simus ENSPSMG00000015532
otolemur_garnettii ENSOGAG00000004383
procavia_capensis ENSPCAG00000000679
echinops_telfairi ENSETEG00000000256
loxodonta_africana ENSLAFG00000015368
choloepus_hoffmanni ENSCHOG00000007788
dasypus_novemcinctus ENSDNOG00000049427
phascolarctos_cinereus ENSPCIG00000007808
notamacropus_eugenii ENSMEUG00000000635
sarcophilus_harrisii ENSSHAG00000007040
monodelphis_domestica ENSMODG00000020484
monodelphis_domestica ENSMODG00000028495
