mustela_putorius_furo ENSMPUG00000010716
neovison_vison ENSNVIG00000020239
canis_lupus_dingo ENSCAFG00020010688
sorex_araneus ENSSARG00000005164
ovis_aries ENSOARG00000008786
capra_hircus ENSCHIG00000018052
bos_mutus ENSBMUG00000004768
bos_taurus ENSBTAG00000031933
bison_bison_bison ENSBBBG00000003249
pan_troglodytes ENSPTRG00000044326
pan_paniscus ENSPPAG00000041324
gorilla_gorilla ENSGGOG00000015890
pongo_abelii ENSPPYG00000007887
nomascus_leucogenys ENSNLEG00000026862
macaca_fascicularis ENSMFAG00000003030
macaca_mulatta ENSMMUG00000007535
macaca_nemestrina ENSMNEG00000044671
chlorocebus_sabaeus ENSCSAG00000012313
papio_anubis ENSPANG00000024253
theropithecus_gelada ENSTGEG00000022002
mandrillus_leucophaeus ENSMLEG00000039165
cercocebus_atys ENSCATG00000042227
colobus_angolensis_palliatus ENSCANG00000036697
piliocolobus_tephrosceles ENSPTEG00000018079
rhinopithecus_bieti ENSRBIG00000034350
rhinopithecus_roxellana ENSRROG00000042073
carlito_syrichta ENSTSYG00000032448
peromyscus_maniculatus_bairdii ENSPEMG00000028174
peromyscus_maniculatus_bairdii ENSPEMG00000031390
microtus_ochrogaster ENSMOCG00000006397
cricetulus_griseus_chok1gshd ENSCGRG00001023570
cricetulus_griseus_crigri-picr ENSCGRG00015006626
cricetulus_griseus_crigri ENSCGRG00000006733
mesocricetus_auratus ENSMAUG00000020297
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017463
mus_spicilegus ENSMSIG00000020169
mus_musculus ENSMUSG00000018907
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016627
mus_pahari MGP_PahariEiJ_G0017758
rattus_norvegicus ENSRNOG00000019074
nannospalax_galili ENSNGAG00000022388
ictidomys_tridecemlineatus ENSSTOG00000010664
marmota_marmota_marmota ENSMMMG00000018739
chinchilla_lanigera ENSCLAG00000008230
octodon_degus ENSODEG00000017890
cavia_porcellus ENSCPOG00000025306
cavia_aperea ENSCAPG00000010284
fukomys_damarensis ENSFDAG00000021144
fukomys_damarensis ENSFDAG00000008894
heterocephalus_glaber_male ENSHGLG00100012777
heterocephalus_glaber_female ENSHGLG00000013848
tupaia_belangeri ENSTBEG00000008334
echinops_telfairi ENSETEG00000003139
