apteryx_rowi ENSARWG00000018081
dromaius_novaehollandiae ENSDNVG00000000623
nothoprocta_perdicaria ENSNPEG00000013351
coturnix_japonica ENSCJPG00005011519
gallus_gallus ENSGALG00000027620
numida_meleagris ENSNMEG00000006060
anas_platyrhynchos_platyrhynchos ENSAPLG00000002256
melopsittacus_undulatus ENSMUNG00000000943
calidris_pygmaea ENSCPGG00000013018
junco_hyemalis ENSJHYG00000000570
zonotrichia_albicollis ENSZALG00000010792
taeniopygia_guttata ENSTGUG00000001650
lonchura_striata_domestica ENSLSDG00000017531
manacus_vitellinus ENSMVIG00005003065
apteryx_owenii ENSAOWG00000003041
apteryx_haastii ENSAHAG00000003727
ficedula_albicollis ENSFALG00000010248
serinus_canaria ENSSCAG00000013121
cyanistes_caeruleus ENSCCEG00000019292
crocodylus_porosus ENSCPRG00005014395
gopherus_agassizii ENSGAGG00000020339
capra_hircus ENSCHIG00000008860
ovis_aries ENSOARG00000004581
bos_taurus ENSBTAG00000015925
sus_scrofa ENSSSCG00000023850
vicugna_pacos ENSVPAG00000011787
canis_lupus_dingo ENSCAFG00020015831
carlito_syrichta ENSTSYG00000029415
chlorocebus_sabaeus ENSCSAG00000013025
prolemur_simus ENSPSMG00000008537
microcebus_murinus ENSMICG00000036645
otolemur_garnettii ENSOGAG00000009141
macaca_fascicularis ENSMFAG00000030531
macaca_nemestrina ENSMNEG00000031425
cercocebus_atys ENSCATG00000032188
rhinopithecus_bieti ENSRBIG00000039526
rhinopithecus_roxellana ENSRROG00000030088
colobus_angolensis_palliatus ENSCANG00000038084
gorilla_gorilla ENSGGOG00000014829
marmota_marmota_marmota ENSMMMG00000012168
loxodonta_africana ENSLAFG00000031515
echinops_telfairi ENSETEG00000010811
choloepus_hoffmanni ENSCHOG00000010669
