ciona_savignyi ENSCSAVG00000003496
ciona_intestinalis ENSCING00000008321
caenorhabditis_elegans_strain_n2 WBGene00018769
scleropages_formosus ENSSFOG00015013061
paramormyrops_kingsleyae ENSPKIG00000018174
monopterus_albus ENSMALG00000009504
mastacembelus_armatus ENSMAMG00000001768
anabas_testudineus ENSATEG00000015597
seriola_dumerili ENSSDUG00000019550
seriola_lalandi_dorsalis ENSSLDG00000000163
scophthalmus_maximus ENSSMAG00000001599
cynoglossus_semilaevis ENSCSEG00000001526
hippocampus_comes ENSHCOG00000002831
takifugu_rubripes ENSTRUG00000010746
tetraodon_nigroviridis ENSTNIG00000017343
mola_mola ENSMMOG00000012161
labrus_bergylta ENSLBEG00000023140
gasterosteus_aculeatus ENSGACG00000008443
astatotilapia_calliptera ENSACLG00000020264
maylandia_zebra ENSMZEG00005007438
haplochromis_burtoni ENSHBUG00000023081
pundamilia_nyererei ENSPNYG00000022028
neolamprologus_brichardi ENSNBRG00000009499
oreochromis_niloticus ENSONIG00000020116
amphilophus_citrinellus ENSACIG00000024219
cyprinodon_variegatus ENSCVAG00000007604
fundulus_heteroclitus ENSFHEG00000008120
poecilia_mexicana ENSPMEG00000014901
poecilia_reticulata ENSPREG00000015484
poecilia_formosa ENSPFOG00000004095
poecilia_latipinna ENSPLAG00000012563
gambusia_affinis ENSGAFG00000004109
xiphophorus_couchianus ENSXCOG00000008553
xiphophorus_maculatus ENSXMAG00000013476
kryptolebias_marmoratus ENSKMAG00000005962
oryzias_latipes_asm223469v1 ENSORLG00015008687
oryzias_latipes ENSORLG00000015749
oryzias_latipes ENSORLG00020009841
oryzias_melastigma ENSOMEG00000006617
amphiprion_ocellaris ENSAOCG00000007722
amphiprion_percula ENSAPEG00000022745
acanthochromis_polyacanthus ENSAPOG00000015452
stegastes_partitus ENSSPAG00000012911
periophthalmus_magnuspinnatus ENSPMGG00000003876
gadus_morhua ENSGMOG00000010848
esox_lucius ENSELUG00000011286
pygocentrus_nattereri ENSPNAG00000022418
astyanax_mexicanus ENSAMXG00000029183
ictalurus_punctatus ENSIPUG00000002697
danio_rerio ENSDARG00000002077
lepisosteus_oculatus ENSLOCG00000010103
gopherus_agassizii ENSGAGG00000023504
chelonoidis_abingdonii ENSCABG00000016316
chrysemys_picta_bellii ENSCPBG00000022366
pelodiscus_sinensis ENSPSIG00000014282
crocodylus_porosus ENSCPRG00005018041
pogona_vitticeps ENSPVIG00000021144
anolis_carolinensis ENSACAG00000006546
notechis_scutatus ENSNSUG00000019105
salvator_merianae ENSSMRG00000012445
sphenodon_punctatus ENSSPUG00000010084
anser_brachyrhynchus ENSABRG00000013710
anas_platyrhynchos_platyrhynchos ENSAPLG00000008083
gallus_gallus ENSGALG00000011910
coturnix_japonica ENSCJPG00005005463
meleagris_gallopavo ENSMGAG00000013566
numida_meleagris ENSNMEG00000016977
manacus_vitellinus ENSMVIG00005009361
lepidothrix_coronata ENSLCOG00000005546
lonchura_striata_domestica ENSLSDG00000013030
taeniopygia_guttata ENSTGUG00000012990
serinus_canaria ENSSCAG00000005917
junco_hyemalis ENSJHYG00000014180
zonotrichia_albicollis ENSZALG00000005768
ficedula_albicollis ENSFALG00000003436
parus_major ENSPMJG00000002122
cyanistes_caeruleus ENSCCEG00000013236
calidris_pugnax ENSCPUG00000001069
calidris_pygmaea ENSCPGG00000018527
melopsittacus_undulatus ENSMUNG00000002532
apteryx_rowi ENSARWG00000011466
apteryx_owenii ENSAOWG00000013286
apteryx_haastii ENSAHAG00000005547
dromaius_novaehollandiae ENSDNVG00000015856
nothoprocta_perdicaria ENSNPEG00000012217
cavia_porcellus ENSCPOG00000014393
cavia_aperea ENSCAPG00000015548
chinchilla_lanigera ENSCLAG00000003132
octodon_degus ENSODEG00000000008
octodon_degus ENSODEG00000012514
octodon_degus ENSODEG00000014326
heterocephalus_glaber_female ENSHGLG00000011704
heterocephalus_glaber_male ENSHGLG00100006173
heterocephalus_glaber_female ENSHGLG00000011675
heterocephalus_glaber_male ENSHGLG00100003481
fukomys_damarensis ENSFDAG00000010598
marmota_marmota_marmota ENSMMMG00000020544
spermophilus_dauricus ENSSDAG00000021223
ictidomys_tridecemlineatus ENSSTOG00000023345
urocitellus_parryii ENSUPAG00010009017
cricetulus_griseus_crigri-picr ENSCGRG00015027042
cricetulus_griseus_crigri ENSCGRG00000018338
cricetulus_griseus_chok1gshd ENSCGRG00001013958
mesocricetus_auratus ENSMAUG00000018674
microtus_ochrogaster ENSMOCG00000021804
peromyscus_maniculatus_bairdii ENSPEMG00000010838
mus_spicilegus ENSMSIG00000024773
mus_musculus ENSMUSG00000021103
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017842
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018689
mus_pahari MGP_PahariEiJ_G0029600
rattus_norvegicus ENSRNOG00000007267
meriones_unguiculatus ENSMUGG00000019528
nannospalax_galili ENSNGAG00000013034
jaculus_jaculus ENSJJAG00000007692
oryctolagus_cuniculus ENSOCUG00000014274
prolemur_simus ENSPSMG00000025744
microcebus_murinus ENSMICG00000033557
propithecus_coquereli ENSPCOG00000019718
otolemur_garnettii ENSOGAG00000016085
macaca_fascicularis ENSMFAG00000000901
macaca_nemestrina ENSMNEG00000031605
cercocebus_atys ENSCATG00000030975
theropithecus_gelada ENSTGEG00000014924
papio_anubis ENSPANG00000020971
chlorocebus_sabaeus ENSCSAG00000014164
colobus_angolensis_palliatus ENSCANG00000033478
piliocolobus_tephrosceles ENSPTEG00000000758
rhinopithecus_roxellana ENSRROG00000035712
rhinopithecus_bieti ENSRBIG00000033271
macaca_mulatta ENSMMUG00000001642
pongo_abelii ENSPPYG00000005876
homo_sapiens ENSG00000020426
gorilla_gorilla ENSGGOG00000009127
pan_troglodytes ENSPTRG00000006412
pan_paniscus ENSPPAG00000033622
nomascus_leucogenys ENSNLEG00000013781
saimiri_boliviensis_boliviensis ENSSBOG00000020551
saimiri_boliviensis_boliviensis ENSSBOG00000035160
cebus_capucinus ENSCCAG00000034022
callithrix_jacchus ENSCJAG00000019143
aotus_nancymaae ENSANAG00000021213
tupaia_belangeri ENSTBEG00000005536
ursus_maritimus ENSUMAG00000013740
ailuropoda_melanoleuca ENSAMEG00000002974
neovison_vison ENSNVIG00000006449
mustela_putorius_furo ENSMPUG00000006428
canis_lupus_dingo ENSCAFG00020008032
canis_lupus_familiaris ENSCAFG00000015639
vulpes_vulpes ENSVVUG00000029465
panthera_pardus ENSPPRG00000012770
panthera_tigris_altaica ENSPTIG00000006766
felis_catus ENSFCAG00000025289
sorex_araneus ENSSARG00000008765
erinaceus_europaeus ENSEEUG00000001091
sus_scrofa ENSSSCG00000005090
vicugna_pacos ENSVPAG00000002390
ovis_aries ENSOARG00000021131
capra_hircus ENSCHIG00000021930
bos_mutus ENSBMUG00000025238
bos_taurus ENSBTAG00000030801
bison_bison_bison ENSBBBG00000020603
tursiops_truncatus ENSTTRG00000013838
equus_caballus ENSECAG00000023790
equus_asinus_asinus ENSEASG00005016125
pteropus_vampyrus ENSPVAG00000015308
loxodonta_africana ENSLAFG00000003614
procavia_capensis ENSPCAG00000006586
choloepus_hoffmanni ENSCHOG00000005964
dipodomys_ordii ENSDORG00000015553
castor_canadensis ENSCCNG00000028223
myotis_lucifugus ENSMLUG00000002350
ursus_americanus ENSUAMG00000017395
dasypus_novemcinctus ENSDNOG00000030615
mandrillus_leucophaeus ENSMLEG00000035293
sarcophilus_harrisii ENSSHAG00000016338
echinops_telfairi ENSETEG00000010757
monodelphis_domestica ENSMODG00000008657
phascolarctos_cinereus ENSPCIG00000020456
ochotona_princeps ENSOPRG00000011690
ornithorhynchus_anatinus ENSOANG00000009088
xenopus_tropicalis ENSXETG00000016938
latimeria_chalumnae ENSLACG00000018476
petromyzon_marinus ENSPMAG00000001950
eptatretus_burgeri ENSEBUG00000011632
drosophila_melanogaster FBgn0024956
saccharomyces_cerevisiae YDR460W
