tupaia_belangeri ENSTBEG00000000489
dipodomys_ordii ENSDORG00000000846
erinaceus_europaeus ENSEEUG00000010589
procavia_capensis ENSPCAG00000010406
loxodonta_africana ENSLAFG00000028782
dasypus_novemcinctus ENSDNOG00000000096
neovison_vison ENSNVIG00000001043
mustela_putorius_furo ENSMPUG00000015685
canis_lupus_dingo ENSCAFG00020013974
vulpes_vulpes ENSVVUG00000023441
ailuropoda_melanoleuca ENSAMEG00000014941
panthera_pardus ENSPPRG00000021572
panthera_tigris_altaica ENSPTIG00000014734
felis_catus ENSFCAG00000000219
myotis_lucifugus ENSMLUG00000009911
pteropus_vampyrus ENSPVAG00000012004
capra_hircus ENSCHIG00000019023
ovis_aries ENSOARG00000016738
bos_mutus ENSBMUG00000000446
equus_asinus_asinus ENSEASG00005017031
equus_caballus ENSECAG00000023227
tursiops_truncatus ENSTTRG00000008894
sus_scrofa ENSSSCG00000007667
bos_taurus ENSBTAG00000003160
sorex_araneus ENSSARG00000011471
castor_canadensis ENSCCNG00000014920
canis_lupus_familiaris ENSCAFG00000014336
ursus_americanus ENSUAMG00000028222
otolemur_garnettii ENSOGAG00000010670
echinops_telfairi ENSETEG00000011814
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028890
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0028889
mus_spicilegus ENSMSIG00000007869
mus_musculus ENSMUSG00000093445
mus_musculus ENSMUSG00000029720
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027884
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0027885
rattus_norvegicus ENSRNOG00000001402
meriones_unguiculatus ENSMUGG00000015137
cricetulus_griseus_chok1gshd ENSCGRG00001022329
cricetulus_griseus_crigri ENSCGRG00000011457
cricetulus_griseus_crigri-picr ENSCGRG00015010650
mesocricetus_auratus ENSMAUG00000011620
microtus_ochrogaster ENSMOCG00000005460
peromyscus_maniculatus_bairdii ENSPEMG00000014965
nannospalax_galili ENSNGAG00000002133
ictidomys_tridecemlineatus ENSSTOG00000007678
marmota_marmota_marmota ENSMMMG00000012293
spermophilus_dauricus ENSSDAG00000021859
urocitellus_parryii ENSUPAG00010017780
heterocephalus_glaber_female ENSHGLG00000008144
heterocephalus_glaber_male ENSHGLG00100007756
fukomys_damarensis ENSFDAG00000006722
chinchilla_lanigera ENSCLAG00000001389
octodon_degus ENSODEG00000017054
cavia_porcellus ENSCPOG00000006102
cavia_aperea ENSCAPG00000012913
oryctolagus_cuniculus ENSOCUG00000002528
ochotona_princeps ENSOPRG00000014973
pan_troglodytes ENSPTRG00000049956
pan_troglodytes ENSPTRG00000028467
pan_paniscus ENSPPAG00000025042
homo_sapiens ENSG00000077454
gorilla_gorilla ENSGGOG00000013712
pongo_abelii ENSPPYG00000017418
nomascus_leucogenys ENSNLEG00000011789
colobus_angolensis_palliatus ENSCANG00000029861
piliocolobus_tephrosceles ENSPTEG00000024502
rhinopithecus_bieti ENSRBIG00000041522
rhinopithecus_roxellana ENSRROG00000043300
mandrillus_leucophaeus ENSMLEG00000008121
cercocebus_atys ENSCATG00000044123
macaca_fascicularis ENSMFAG00000034297
macaca_mulatta ENSMMUG00000015311
macaca_nemestrina ENSMNEG00000029829
papio_anubis ENSPANG00000018144
theropithecus_gelada ENSTGEG00000010156
chlorocebus_sabaeus ENSCSAG00000017918
saimiri_boliviensis_boliviensis ENSSBOG00000012173
callithrix_jacchus ENSCJAG00000015238
cebus_capucinus ENSCCAG00000034659
aotus_nancymaae ENSANAG00000036001
carlito_syrichta ENSTSYG00000029845
prolemur_simus ENSPSMG00000001706
microcebus_murinus ENSMICG00000012568
propithecus_coquereli ENSPCOG00000001960
notamacropus_eugenii ENSMEUG00000016317
phascolarctos_cinereus ENSPCIG00000000332
sarcophilus_harrisii ENSSHAG00000009335
monodelphis_domestica ENSMODG00000004547
ornithorhynchus_anatinus ENSOANG00000021650
