zonotrichia_albicollis ENSZALG00000008444
serinus_canaria ENSSCAG00000015850
cyanistes_caeruleus ENSCCEG00000010681
ficedula_albicollis ENSFALG00000013408
lonchura_striata_domestica ENSLSDG00000007755
taeniopygia_guttata ENSTGUG00000011242
parus_major ENSPMJG00000013159
junco_hyemalis ENSJHYG00000010587
lepidothrix_coronata ENSLCOG00000010629
manacus_vitellinus ENSMVIG00005011767
calidris_pygmaea ENSCPGG00000013367
calidris_pugnax ENSCPUG00000016356
melopsittacus_undulatus ENSMUNG00000006444
anser_brachyrhynchus ENSABRG00000004485
anas_platyrhynchos_platyrhynchos ENSAPLG00000006873
coturnix_japonica ENSCJPG00005019441
meleagris_gallopavo ENSMGAG00000005074
numida_meleagris ENSNMEG00000020436
apteryx_haastii ENSAHAG00000017442
apteryx_rowi ENSARWG00000018587
apteryx_owenii ENSAOWG00000012524
dromaius_novaehollandiae ENSDNVG00000012516
nothoprocta_perdicaria ENSNPEG00000009111
crocodylus_porosus ENSCPRG00005018358
gopherus_agassizii ENSGAGG00000010646
chelonoidis_abingdonii ENSCABG00000014996
chrysemys_picta_bellii ENSCPBG00000010469
pelodiscus_sinensis ENSPSIG00000000055
anolis_carolinensis ENSACAG00000009886
pogona_vitticeps ENSPVIG00000014683
notechis_scutatus ENSNSUG00000010568
salvator_merianae ENSSMRG00000016254
vicugna_pacos ENSVPAG00000011085
erinaceus_europaeus ENSEEUG00000011796
cavia_porcellus ENSCPOG00000034789
oryctolagus_cuniculus ENSOCUG00000009898
carlito_syrichta ENSTSYG00000033058
dipodomys_ordii ENSDORG00000029483
jaculus_jaculus ENSJJAG00000011603
tursiops_truncatus ENSTTRG00000013411
bison_bison_bison ENSBBBG00000022422
pteropus_vampyrus ENSPVAG00000005735
sorex_araneus ENSSARG00000009643
loxodonta_africana ENSLAFG00000022727
procavia_capensis ENSPCAG00000016038
bos_taurus ENSBTAG00000010129
bos_mutus ENSBMUG00000004258
capra_hircus ENSCHIG00000001775
ovis_aries ENSOARG00000000522
sus_scrofa ENSSSCG00000009488
ursus_americanus ENSUAMG00000027097
ursus_maritimus ENSUMAG00000025295
ailuropoda_melanoleuca ENSAMEG00000009276
mustela_putorius_furo ENSMPUG00000018784
neovison_vison ENSNVIG00000002304
canis_lupus_dingo ENSCAFG00020024036
canis_lupus_familiaris ENSCAFG00000005293
vulpes_vulpes ENSVVUG00000006265
panthera_pardus ENSPPRG00000015111
felis_catus ENSFCAG00000039523
equus_caballus ENSECAG00000035050
equus_asinus_asinus ENSEASG00005013676
pan_troglodytes ENSPTRG00000005957
pan_paniscus ENSPPAG00000023250
homo_sapiens ENSG00000165300
gorilla_gorilla ENSGGOG00000009585
pongo_abelii ENSPPYG00000005437
nomascus_leucogenys ENSNLEG00000016482
piliocolobus_tephrosceles ENSPTEG00000009585
colobus_angolensis_palliatus ENSCANG00000038009
rhinopithecus_roxellana ENSRROG00000011393
rhinopithecus_bieti ENSRBIG00000030121
macaca_fascicularis ENSMFAG00000040496
macaca_mulatta ENSMMUG00000002854
macaca_nemestrina ENSMNEG00000037869
chlorocebus_sabaeus ENSCSAG00000000227
theropithecus_gelada ENSTGEG00000008963
papio_anubis ENSPANG00000012750
cercocebus_atys ENSCATG00000016689
mandrillus_leucophaeus ENSMLEG00000025512
cebus_capucinus ENSCCAG00000031938
callithrix_jacchus ENSCJAG00000003189
aotus_nancymaae ENSANAG00000031105
microcebus_murinus ENSMICG00000035892
prolemur_simus ENSPSMG00000010453
propithecus_coquereli ENSPCOG00000025384
otolemur_garnettii ENSOGAG00000031325
heterocephalus_glaber_female ENSHGLG00000001098
heterocephalus_glaber_male ENSHGLG00100003706
fukomys_damarensis ENSFDAG00000018583
chinchilla_lanigera ENSCLAG00000006000
octodon_degus ENSODEG00000019086
mus_musculus ENSMUSG00000033214
mus_spicilegus ENSMSIG00000000791
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020484
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019587
mus_pahari MGP_PahariEiJ_G0030604
rattus_norvegicus ENSRNOG00000009649
meriones_unguiculatus ENSMUGG00000000229
peromyscus_maniculatus_bairdii ENSPEMG00000025630
microtus_ochrogaster ENSMOCG00000019120
cricetulus_griseus_chok1gshd ENSCGRG00001006071
cricetulus_griseus_crigri-picr ENSCGRG00015000347
cricetulus_griseus_crigri ENSCGRG00000014878
mesocricetus_auratus ENSMAUG00000003037
nannospalax_galili ENSNGAG00000010331
ictidomys_tridecemlineatus ENSSTOG00000022257
urocitellus_parryii ENSUPAG00010018031
spermophilus_dauricus ENSSDAG00000003366
marmota_marmota_marmota ENSMMMG00000021362
castor_canadensis ENSCCNG00000022583
