poecilia_reticulata ENSPREG00000019544
poecilia_formosa ENSPFOG00000023223
xiphophorus_maculatus ENSXMAG00000026989
cyprinodon_variegatus ENSCVAG00000018642
fundulus_heteroclitus ENSFHEG00000016549
kryptolebias_marmoratus ENSKMAG00000008881
oryzias_latipes ENSORLG00000022644
oryzias_latipes_asm223469v1 ENSORLG00015014325
oryzias_melastigma ENSOMEG00000007697
monopterus_albus ENSMALG00000021906
periophthalmus_magnuspinnatus ENSPMGG00000023763
amphilophus_citrinellus ENSACIG00000021981
gambusia_affinis ENSGAFG00000007133
gasterosteus_aculeatus ENSGACG00000003094
gasterosteus_aculeatus ENSGACG00000003090
takifugu_rubripes ENSTRUG00000022468
tetraodon_nigroviridis ENSTNIG00000012706
amphiprion_ocellaris ENSAOCG00000017941
amphiprion_percula ENSAPEG00000020068
acanthochromis_polyacanthus ENSAPOG00000024259
stegastes_partitus ENSSPAG00000014844
haplochromis_burtoni ENSHBUG00000018369
anabas_testudineus ENSATEG00000010746
mastacembelus_armatus ENSMAMG00000000808
labrus_bergylta ENSLBEG00000017422
scophthalmus_maximus ENSSMAG00000014496
cynoglossus_semilaevis ENSCSEG00000016456
seriola_dumerili ENSSDUG00000014776
hippocampus_comes ENSHCOG00000017767
gadus_morhua ENSGMOG00000015203
esox_lucius ENSELUG00000014227
pygocentrus_nattereri ENSPNAG00000025336
astyanax_mexicanus ENSAMXG00000014377
ictalurus_punctatus ENSIPUG00000009837
danio_rerio ENSDARG00000058503
scleropages_formosus ENSSFOG00015015827
