marmota_marmota_marmota ENSMMMG00000014240
spermophilus_dauricus ENSSDAG00000018450
ictidomys_tridecemlineatus ENSSTOG00000009474
urocitellus_parryii ENSUPAG00010015314
dipodomys_ordii ENSDORG00000011826
microtus_ochrogaster ENSMOCG00000004594
peromyscus_maniculatus_bairdii ENSPEMG00000011290
cricetulus_griseus_chok1gshd ENSCGRG00001016834
cricetulus_griseus_crigri ENSCGRG00000000691
cricetulus_griseus_crigri-picr ENSCGRG00015006171
mus_spicilegus ENSMSIG00000002944
mus_musculus ENSMUSG00000096914
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032184
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031069
mus_pahari MGP_PahariEiJ_G0021535
nannospalax_galili ENSNGAG00000013905
jaculus_jaculus ENSJJAG00000020664
chinchilla_lanigera ENSCLAG00000014070
cavia_porcellus ENSCPOG00000015730
octodon_degus ENSODEG00000012085
heterocephalus_glaber_male ENSHGLG00100000571
heterocephalus_glaber_female ENSHGLG00000005258
fukomys_damarensis ENSFDAG00000021354
tupaia_belangeri ENSTBEG00000013062
castor_canadensis ENSCCNG00000015675
sorex_araneus ENSSARG00000003560
callithrix_jacchus ENSCJAG00000005073
saimiri_boliviensis_boliviensis ENSSBOG00000022037
cebus_capucinus ENSCCAG00000021508
aotus_nancymaae ENSANAG00000022167
mustela_putorius_furo ENSMPUG00000001928
meriones_unguiculatus ENSMUGG00000013088
rattus_norvegicus ENSRNOG00000038976
mesocricetus_auratus ENSMAUG00000012103
cavia_aperea ENSCAPG00000006338
rhinopithecus_bieti ENSRBIG00000041030
canis_lupus_familiaris ENSCAFG00000007803
canis_lupus_dingo ENSCAFG00020011754
vulpes_vulpes ENSVVUG00000016851
myotis_lucifugus ENSMLUG00000000752
equus_caballus ENSECAG00000011615
equus_asinus_asinus ENSEASG00005020980
sus_scrofa ENSSSCG00000021805
pan_troglodytes ENSPTRG00000016595
pan_paniscus ENSPPAG00000003147
gorilla_gorilla ENSGGOG00000002766
homo_sapiens ENSG00000174473
pongo_abelii ENSPPYG00000015201
nomascus_leucogenys ENSNLEG00000006652
macaca_fascicularis ENSMFAG00000003378
macaca_nemestrina ENSMNEG00000039184
macaca_mulatta ENSMMUG00000016767
cercocebus_atys ENSCATG00000034550
theropithecus_gelada ENSTGEG00000021936
papio_anubis ENSPANG00000006244
mandrillus_leucophaeus ENSMLEG00000042200
piliocolobus_tephrosceles ENSPTEG00000005451
colobus_angolensis_palliatus ENSCANG00000041710
rhinopithecus_roxellana ENSRROG00000043458
loxodonta_africana ENSLAFG00000012366
dasypus_novemcinctus ENSDNOG00000011566
pteropus_vampyrus ENSPVAG00000014653
erinaceus_europaeus ENSEEUG00000005111
panthera_pardus ENSPPRG00000012170
panthera_tigris_altaica ENSPTIG00000017382
felis_catus ENSFCAG00000008104
ursus_maritimus ENSUMAG00000021673
oryctolagus_cuniculus ENSOCUG00000000888
otolemur_garnettii ENSOGAG00000030679
otolemur_garnettii ENSOGAG00000002295
prolemur_simus ENSPSMG00000019785
microcebus_murinus ENSMICG00000016455
propithecus_coquereli ENSPCOG00000024025
carlito_syrichta ENSTSYG00000033426
ochotona_princeps ENSOPRG00000014457
bison_bison_bison ENSBBBG00000010110
bos_mutus ENSBMUG00000004327
ovis_aries ENSOARG00000015433
ovis_aries ENSOARG00000015420
capra_hircus ENSCHIG00000010541
tursiops_truncatus ENSTTRG00000015620
vicugna_pacos ENSVPAG00000001092
choloepus_hoffmanni ENSCHOG00000007018
procavia_capensis ENSPCAG00000002993
echinops_telfairi ENSETEG00000015779
notamacropus_eugenii ENSMEUG00000006241
phascolarctos_cinereus ENSPCIG00000031718
monodelphis_domestica ENSMODG00000003514
sphenodon_punctatus ENSSPUG00000013021
xenopus_tropicalis ENSXETG00000016922
gallus_gallus ENSGALG00000030588
coturnix_japonica ENSCJPG00005009911
melopsittacus_undulatus ENSMUNG00000015180
anser_brachyrhynchus ENSABRG00000008224
anas_platyrhynchos_platyrhynchos ENSAPLG00000003678
calidris_pugnax ENSCPUG00000008909
lonchura_striata_domestica ENSLSDG00000009870
serinus_canaria ENSSCAG00000010253
zonotrichia_albicollis ENSZALG00000011117
junco_hyemalis ENSJHYG00000010374
lepidothrix_coronata ENSLCOG00000014682
apteryx_haastii ENSAHAG00000001302
apteryx_owenii ENSAOWG00000009109
calidris_pygmaea ENSCPGG00000015120
apteryx_rowi ENSARWG00000016167
nothoprocta_perdicaria ENSNPEG00000003062
dromaius_novaehollandiae ENSDNVG00000006332
parus_major ENSPMJG00000001432
cyanistes_caeruleus ENSCCEG00000013395
numida_meleagris ENSNMEG00000014545
pelodiscus_sinensis ENSPSIG00000011202
pelodiscus_sinensis ENSPSIG00000011200
gopherus_agassizii ENSGAGG00000018087
gopherus_agassizii ENSGAGG00000018086
chelonoidis_abingdonii ENSCABG00000011884
chrysemys_picta_bellii ENSCPBG00000002476
phascolarctos_cinereus ENSPCIG00000007117
monodelphis_domestica ENSMODG00000028087
sarcophilus_harrisii ENSSHAG00000003012
ornithorhynchus_anatinus ENSOANG00000012484
meleagris_gallopavo ENSMGAG00000006745
ficedula_albicollis ENSFALG00000011435
sphenodon_punctatus ENSSPUG00000013036
nannospalax_galili ENSNGAG00000013131
cavia_aperea ENSCAPG00000017665
chlorocebus_sabaeus ENSCSAG00000003103
chlorocebus_sabaeus ENSCSAG00000003102
rhinopithecus_bieti ENSRBIG00000034985
aotus_nancymaae ENSANAG00000000563
cebus_capucinus ENSCCAG00000031726
carlito_syrichta ENSTSYG00000026339
mustela_putorius_furo ENSMPUG00000001932
ursus_americanus ENSUAMG00000015996
bos_taurus ENSBTAG00000035007
ailuropoda_melanoleuca ENSAMEG00000007588
ursus_maritimus ENSUMAG00000021670
neovison_vison ENSNVIG00000017719
canis_lupus_dingo ENSCAFG00020011750
canis_lupus_familiaris ENSCAFG00000007798
vulpes_vulpes ENSVVUG00000016858
sus_scrofa ENSSSCG00000029700
mesocricetus_auratus ENSMAUG00000015802
mesocricetus_auratus ENSMAUG00000012405
rattus_norvegicus ENSRNOG00000047809
castor_canadensis ENSCCNG00000011565
loxodonta_africana ENSLAFG00000031767
crocodylus_porosus ENSCPRG00005011276
crocodylus_porosus ENSCPRG00005011282
apteryx_haastii ENSAHAG00000018359
apteryx_owenii ENSAOWG00000001406
pogona_vitticeps ENSPVIG00000001464
sphenodon_punctatus ENSSPUG00000009663
oryctolagus_cuniculus ENSOCUG00000029289
meriones_unguiculatus ENSMUGG00000024074
equus_asinus_asinus ENSEASG00005020983
equus_caballus ENSECAG00000029468
capra_hircus ENSCHIG00000026171
dasypus_novemcinctus ENSDNOG00000047776
salvator_merianae ENSSMRG00000009344
salvator_merianae ENSSMRG00000009343
anolis_carolinensis ENSACAG00000005377
manacus_vitellinus ENSMVIG00005013217
manacus_vitellinus ENSMVIG00005013219
ficedula_albicollis ENSFALG00000011441
taeniopygia_guttata ENSTGUG00000006232
meleagris_gallopavo ENSMGAG00000006747
gopherus_agassizii ENSGAGG00000019364
chrysemys_picta_bellii ENSCPBG00000002502
anolis_carolinensis ENSACAG00000005382
pogona_vitticeps ENSPVIG00000001178
salvator_merianae ENSSMRG00000009353
sarcophilus_harrisii ENSSHAG00000014428
ornithorhynchus_anatinus ENSOANG00000003214
chelonoidis_abingdonii ENSCABG00000002371
notechis_scutatus ENSNSUG00000011310
latimeria_chalumnae ENSLACG00000000913
paramormyrops_kingsleyae ENSPKIG00000010410
scleropages_formosus ENSSFOG00015019733
scleropages_formosus ENSSFOG00015016704
paramormyrops_kingsleyae ENSPKIG00000006370
astyanax_mexicanus ENSAMXG00000017087
pygocentrus_nattereri ENSPNAG00000018292
ictalurus_punctatus ENSIPUG00000003196
danio_rerio ENSDARG00000040048
esox_lucius ENSELUG00000013413
lepisosteus_oculatus ENSLOCG00000013556
