nomascus_leucogenys ENSNLEG00000011228
macaca_mulatta ENSMMUG00000037787
cricetulus_griseus_crigri-picr ENSCGRG00015015540
cricetulus_griseus_crigri ENSCGRG00000013706
meriones_unguiculatus ENSMUGG00000027211
marmota_marmota_marmota ENSMMMG00000024705
heterocephalus_glaber_male ENSHGLG00100009035
fukomys_damarensis ENSFDAG00000006579
ochotona_princeps ENSOPRG00000017065
tursiops_truncatus ENSTTRG00000002001
ovis_aries ENSOARG00000004012
ursus_maritimus ENSUMAG00000003682
ursus_americanus ENSUAMG00000003660
ailuropoda_melanoleuca ENSAMEG00000007567
panthera_pardus ENSPPRG00000001739
myotis_lucifugus ENSMLUG00000014323
loxodonta_africana ENSLAFG00000029838
procavia_capensis ENSPCAG00000007106
notamacropus_eugenii ENSMEUG00000013526
sarcophilus_harrisii ENSSHAG00000004970
pelodiscus_sinensis ENSPSIG00000015441
sphenodon_punctatus ENSSPUG00000005558
calidris_pygmaea ENSCPGG00000007219
calidris_pugnax ENSCPUG00000018570
numida_meleagris ENSNMEG00000012490
meleagris_gallopavo ENSMGAG00000007030
nothoprocta_perdicaria ENSNPEG00000015342
ficedula_albicollis ENSFALG00000012846
apteryx_haastii ENSAHAG00000010057
mastacembelus_armatus ENSMAMG00000010995
anabas_testudineus ENSATEG00000015051
seriola_dumerili ENSSDUG00000016145
seriola_lalandi_dorsalis ENSSLDG00000021494
monopterus_albus ENSMALG00000001079
amphiprion_ocellaris ENSAOCG00000000371
amphiprion_percula ENSAPEG00000008206
acanthochromis_polyacanthus ENSAPOG00000020664
stegastes_partitus ENSSPAG00000019187
poecilia_latipinna ENSPLAG00000010968
poecilia_formosa ENSPFOG00000008891
poecilia_reticulata ENSPREG00000012338
cyprinodon_variegatus ENSCVAG00000012494
astatotilapia_calliptera ENSACLG00000015218
maylandia_zebra ENSMZEG00005004429
pundamilia_nyererei ENSPNYG00000017654
haplochromis_burtoni ENSHBUG00000016685
neolamprologus_brichardi ENSNBRG00000019482
oreochromis_niloticus ENSONIG00000009277
hippocampus_comes ENSHCOG00000002116
tetraodon_nigroviridis ENSTNIG00000006491
oryzias_latipes ENSORLG00000025453
oryzias_latipes_asm223469v1 ENSORLG00015012049
gadus_morhua ENSGMOG00000011573
notechis_scutatus ENSNSUG00000010113
sphenodon_punctatus ENSSPUG00000017593
latimeria_chalumnae ENSLACG00000005577
paramormyrops_kingsleyae ENSPKIG00000008202
ciona_intestinalis ENSCING00000007561
ciona_savignyi ENSCSAVG00000010445
drosophila_melanogaster FBgn0035853
piliocolobus_tephrosceles ENSPTEG00000023118
piliocolobus_tephrosceles ENSPTEG00000023138
piliocolobus_tephrosceles ENSPTEG00000023026
piliocolobus_tephrosceles ENSPTEG00000010258
piliocolobus_tephrosceles ENSPTEG00000023080
saccharomyces_cerevisiae YLR306W
