otolemur_garnettii ENSOGAG00000024743
piliocolobus_tephrosceles ENSPTEG00000024742
mus_musculus ENSMUSG00000070298
mus_spretus MGP_SPRETEiJ_G0033405
mus_spicilegus ENSMSIG00000008739
mus_caroli MGP_CAROLIEiJ_G0032265
rattus_norvegicus ENSRNOG00000038477
meriones_unguiculatus ENSMUGG00000017486
cricetulus_griseus ENSCGRG00000005698
cricetulus_griseus ENSCGRG00015025076
cricetulus_griseus ENSCGRG00001018817
mesocricetus_auratus ENSMAUG00000019363
peromyscus_maniculatus ENSPEMG00000016255
microtus_ochrogaster ENSMOCG00000003064
castor_canadensis ENSCCNG00000015059
urocitellus_parryii ENSUPAG00010005585
marmota_marmota ENSMMMG00000002628
spermophilus_dauricus ENSSDAG00000016204
capra_hircus ENSCHIG00000009280
ovis_aries ENSOARG00000017499
ovis_aries ENSOARG00000002566
dasypus_novemcinctus ENSDNOG00000032268
loxodonta_africana ENSLAFG00000026243
sarcophilus_harrisii ENSSHAG00000004220
