poecilia_reticulata ENSPREG00000022092
poecilia_latipinna ENSPLAG00000008944
gambusia_affinis ENSGAFG00000017670
xiphophorus_couchianus ENSXCOG00000011006
xiphophorus_maculatus ENSXMAG00000007466
poecilia_latipinna ENSPLAG00000011726
poecilia_formosa ENSPFOG00000023384
poecilia_mexicana ENSPMEG00000006456
cyprinodon_variegatus ENSCVAG00000004725
fundulus_heteroclitus ENSFHEG00000017869
oryzias_latipes ENSORLG00020002824
oryzias_latipes ENSORLG00000017221
oryzias_latipes ENSORLG00000024202
oryzias_latipes ENSORLG00020002819
oryzias_latipes_asm223469v1 ENSORLG00015016793
oryzias_melastigma ENSOMEG00000016809
gasterosteus_aculeatus ENSGACG00000006713
gasterosteus_aculeatus ENSGACG00000006710
scophthalmus_maximus ENSSMAG00000007538
kryptolebias_marmoratus ENSKMAG00000014646
pundamilia_nyererei ENSPNYG00000018953
astatotilapia_calliptera ENSACLG00000014859
astatotilapia_calliptera ENSACLG00000006774
neolamprologus_brichardi ENSNBRG00000024217
oreochromis_niloticus ENSONIG00000012250
amphilophus_citrinellus ENSACIG00000021667
neolamprologus_brichardi ENSNBRG00000024213
haplochromis_burtoni ENSHBUG00000011146
amphilophus_citrinellus ENSACIG00000021544
amphilophus_citrinellus ENSACIG00000021593
amphilophus_citrinellus ENSACIG00000021698
amphilophus_citrinellus ENSACIG00000021748
astatotilapia_calliptera ENSACLG00000006830
pundamilia_nyererei ENSPNYG00000018890
maylandia_zebra ENSMZEG00005010776
maylandia_zebra ENSMZEG00005013550
astatotilapia_calliptera ENSACLG00000014829
haplochromis_burtoni ENSHBUG00000010954
neolamprologus_brichardi ENSNBRG00000024209
acanthochromis_polyacanthus ENSAPOG00000008577
acanthochromis_polyacanthus ENSAPOG00000022071
amphiprion_ocellaris ENSAOCG00000018865
acanthochromis_polyacanthus ENSAPOG00000003208
stegastes_partitus ENSSPAG00000000281
acanthochromis_polyacanthus ENSAPOG00000010732
amphiprion_ocellaris ENSAOCG00000005011
amphiprion_percula ENSAPEG00000021079
amphiprion_ocellaris ENSAOCG00000005045
amphiprion_percula ENSAPEG00000021037
acanthochromis_polyacanthus ENSAPOG00000022118
fundulus_heteroclitus ENSFHEG00000017883
kryptolebias_marmoratus ENSKMAG00000014660
anabas_testudineus ENSATEG00000006112
seriola_lalandi_dorsalis ENSSLDG00000002473
seriola_dumerili ENSSDUG00000011055
seriola_dumerili ENSSDUG00000010991
labrus_bergylta ENSLBEG00000024282
labrus_bergylta ENSLBEG00000007318
mola_mola ENSMMOG00000002175
anabas_testudineus ENSATEG00000006135
seriola_lalandi_dorsalis ENSSLDG00000002514
hippocampus_comes ENSHCOG00000017347
gadus_morhua ENSGMOG00000011777
gadus_morhua ENSGMOG00000011786
gadus_morhua ENSGMOG00000011792
danio_rerio ENSDARG00000092895
danio_rerio ENSDARG00000075151
scleropages_formosus ENSSFOG00015023534
paramormyrops_kingsleyae ENSPKIG00000018135
gopherus_agassizii ENSGAGG00000010695
chelonoidis_abingdonii ENSCABG00000007228
chrysemys_picta_bellii ENSCPBG00000018647
pelodiscus_sinensis ENSPSIG00000011420
crocodylus_porosus ENSCPRG00005000055
crocodylus_porosus ENSCPRG00005000056
pogona_vitticeps ENSPVIG00000020273
cyanistes_caeruleus ENSCCEG00000018806
serinus_canaria ENSSCAG00000015439
ficedula_albicollis ENSFALG00000000737
manacus_vitellinus ENSMVIG00005012648
coturnix_japonica ENSCJPG00005017090
gallus_gallus ENSGALG00000021627
numida_meleagris ENSNMEG00000006411
calidris_pygmaea ENSCPGG00000000953
