chrysemys_picta_bellii ENSCPBG00000022637
chelonoidis_abingdonii ENSCABG00000018319
crocodylus_porosus ENSCPRG00005013562
junco_hyemalis ENSJHYG00000002866
zonotrichia_albicollis ENSZALG00000010541
serinus_canaria ENSSCAG00000013322
taeniopygia_guttata ENSTGUG00000000517
cyanistes_caeruleus ENSCCEG00000007342
parus_major ENSPMJG00000007556
ficedula_albicollis ENSFALG00000008581
lepidothrix_coronata ENSLCOG00000007969
melopsittacus_undulatus ENSMUNG00000005739
gallus_gallus ENSGALG00000003285
meleagris_gallopavo ENSMGAG00000004631
coturnix_japonica ENSCJPG00005011195
numida_meleagris ENSNMEG00000018005
anser_brachyrhynchus ENSABRG00000016712
anas_platyrhynchos_platyrhynchos ENSAPLG00000009589
dromaius_novaehollandiae ENSDNVG00000015084
nothoprocta_perdicaria ENSNPEG00000004649
pogona_vitticeps ENSPVIG00000025013
anolis_carolinensis ENSACAG00000006085
salvator_merianae ENSSMRG00000006553
pan_troglodytes ENSPTRG00000017565
pan_paniscus ENSPPAG00000037192
homo_sapiens ENSG00000074276
gorilla_gorilla ENSGGOG00000016038
pongo_abelii ENSPPYG00000016152
nomascus_leucogenys ENSNLEG00000012521
theropithecus_gelada ENSTGEG00000014400
papio_anubis ENSPANG00000009510
chlorocebus_sabaeus ENSCSAG00000009290
macaca_fascicularis ENSMFAG00000044762
macaca_mulatta ENSMMUG00000013283
macaca_nemestrina ENSMNEG00000038084
mandrillus_leucophaeus ENSMLEG00000027084
cercocebus_atys ENSCATG00000014184
piliocolobus_tephrosceles ENSPTEG00000030366
colobus_angolensis_palliatus ENSCANG00000024860
rhinopithecus_roxellana ENSRROG00000033344
rhinopithecus_bieti ENSRBIG00000043564
cebus_capucinus ENSCCAG00000033098
saimiri_boliviensis_boliviensis ENSSBOG00000028213
callithrix_jacchus ENSCJAG00000007310
aotus_nancymaae ENSANAG00000036564
carlito_syrichta ENSTSYG00000033237
prolemur_simus ENSPSMG00000015788
propithecus_coquereli ENSPCOG00000015227
microcebus_murinus ENSMICG00000027886
otolemur_garnettii ENSOGAG00000004808
tupaia_belangeri ENSTBEG00000007726
castor_canadensis ENSCCNG00000024908
dipodomys_ordii ENSDORG00000024062
mus_spicilegus ENSMSIG00000008108
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0019423
mus_musculus ENSMUSG00000034918
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0018543
mus_pahari MGP_PahariEiJ_G0019608
rattus_norvegicus ENSRNOG00000017917
meriones_unguiculatus ENSMUGG00000006626
cricetulus_griseus_crigri ENSCGRG00000017117
cricetulus_griseus_crigri-picr ENSCGRG00015018606
cricetulus_griseus_chok1gshd ENSCGRG00001017189
mesocricetus_auratus ENSMAUG00000015172
microtus_ochrogaster ENSMOCG00000002152
peromyscus_maniculatus_bairdii ENSPEMG00000020109
nannospalax_galili ENSNGAG00000017573
jaculus_jaculus ENSJJAG00000011753
chinchilla_lanigera ENSCLAG00000016212
octodon_degus ENSODEG00000008691
cavia_porcellus ENSCPOG00000026608
cavia_aperea ENSCAPG00000004451
heterocephalus_glaber_female ENSHGLG00000015170
heterocephalus_glaber_male ENSHGLG00100008812
fukomys_damarensis ENSFDAG00000000286
spermophilus_dauricus ENSSDAG00000003527
marmota_marmota_marmota ENSMMMG00000001778
ictidomys_tridecemlineatus ENSSTOG00000001953
urocitellus_parryii ENSUPAG00010013095
oryctolagus_cuniculus ENSOCUG00000011956
ochotona_princeps ENSOPRG00000004036
ursus_maritimus ENSUMAG00000024500
ursus_americanus ENSUAMG00000022140
ailuropoda_melanoleuca ENSAMEG00000007091
neovison_vison ENSNVIG00000021447
mustela_putorius_furo ENSMPUG00000012527
canis_lupus_familiaris ENSCAFG00000016657
canis_lupus_dingo ENSCAFG00020011543
vulpes_vulpes ENSVVUG00000001536
panthera_pardus ENSPPRG00000012869
panthera_tigris_altaica ENSPTIG00000012103
felis_catus ENSFCAG00000003068
equus_asinus_asinus ENSEASG00005012044
equus_caballus ENSECAG00000005816
pteropus_vampyrus ENSPVAG00000017027
myotis_lucifugus ENSMLUG00000016593
capra_hircus ENSCHIG00000009832
ovis_aries ENSOARG00000002570
bos_mutus ENSBMUG00000019403
bos_taurus ENSBTAG00000025340
bison_bison_bison ENSBBBG00000001807
tursiops_truncatus ENSTTRG00000014035
sus_scrofa ENSSSCG00000014055
dasypus_novemcinctus ENSDNOG00000009899
loxodonta_africana ENSLAFG00000009635
procavia_capensis ENSPCAG00000004645
echinops_telfairi ENSETEG00000016617
erinaceus_europaeus ENSEEUG00000004492
sorex_araneus ENSSARG00000006997
phascolarctos_cinereus ENSPCIG00000018439
notamacropus_eugenii ENSMEUG00000008437
monodelphis_domestica ENSMODG00000005125
sarcophilus_harrisii ENSSHAG00000006389
ornithorhynchus_anatinus ENSOANG00000003015
latimeria_chalumnae ENSLACG00000015451
