oryzias_latipes_asm223469v1 ENSORLG00015022922
oryzias_latipes ENSORLG00020021763
oryzias_latipes ENSORLG00000020166
oryzias_melastigma ENSOMEG00000008929
hippocampus_comes ENSHCOG00000011640
cynoglossus_semilaevis ENSCSEG00000020968
monopterus_albus ENSMALG00000006822
mola_mola ENSMMOG00000018357
periophthalmus_magnuspinnatus ENSPMGG00000019081
stegastes_partitus ENSSPAG00000001807
amphilophus_citrinellus ENSACIG00000018634
haplochromis_burtoni ENSHBUG00000023300
pundamilia_nyererei ENSPNYG00000016005
maylandia_zebra ENSMZEG00005015279
astatotilapia_calliptera ENSACLG00000003452
oreochromis_niloticus ENSONIG00000006845
amphiprion_percula ENSAPEG00000014984
amphiprion_ocellaris ENSAOCG00000015767
acanthochromis_polyacanthus ENSAPOG00000008560
cyprinodon_variegatus ENSCVAG00000008526
anabas_testudineus ENSATEG00000015735
takifugu_rubripes ENSTRUG00000011982
mastacembelus_armatus ENSMAMG00000018176
labrus_bergylta ENSLBEG00000023430
seriola_dumerili ENSSDUG00000022485
seriola_lalandi_dorsalis ENSSLDG00000012505
poecilia_reticulata ENSPREG00000005039
poecilia_formosa ENSPFOG00000018184
gambusia_affinis ENSGAFG00000018959
xiphophorus_maculatus ENSXMAG00000022052
xiphophorus_couchianus ENSXCOG00000010801
poecilia_latipinna ENSPLAG00000019072
fundulus_heteroclitus ENSFHEG00000006584
kryptolebias_marmoratus ENSKMAG00000011665
gasterosteus_aculeatus ENSGACG00000019898
scophthalmus_maximus ENSSMAG00000021071
gadus_morhua ENSGMOG00000011824
pygocentrus_nattereri ENSPNAG00000014561
astyanax_mexicanus ENSAMXG00000002700
ictalurus_punctatus ENSIPUG00000006857
danio_rerio ENSDARG00000004427
esox_lucius ENSELUG00000016048
scleropages_formosus ENSSFOG00015000542
scleropages_formosus ENSSFOG00015010068
paramormyrops_kingsleyae ENSPKIG00000019486
paramormyrops_kingsleyae ENSPKIG00000024233
scleropages_formosus ENSSFOG00015009488
esox_lucius ENSELUG00000017615
lepisosteus_oculatus ENSLOCG00000015945
anolis_carolinensis ENSACAG00000000767
pogona_vitticeps ENSPVIG00000023277
notechis_scutatus ENSNSUG00000016666
salvator_merianae ENSSMRG00000010051
sphenodon_punctatus ENSSPUG00000017293
gopherus_agassizii ENSGAGG00000014478
chelonoidis_abingdonii ENSCABG00000007658
pelodiscus_sinensis ENSPSIG00000005730
gallus_gallus ENSGALG00000010621
meleagris_gallopavo ENSMGAG00000011362
numida_meleagris ENSNMEG00000000486
anser_brachyrhynchus ENSABRG00000019342
calidris_pugnax ENSCPUG00000002753
calidris_pygmaea ENSCPGG00000013770
lonchura_striata_domestica ENSLSDG00000001216
taeniopygia_guttata ENSTGUG00000008482
serinus_canaria ENSSCAG00000012263
ficedula_albicollis ENSFALG00000011658
junco_hyemalis ENSJHYG00000001232
cyanistes_caeruleus ENSCCEG00000009145
parus_major ENSPMJG00000015105
manacus_vitellinus ENSMVIG00005008086
lepidothrix_coronata ENSLCOG00000009285
apteryx_haastii ENSAHAG00000016557
apteryx_owenii ENSAOWG00000004227
dromaius_novaehollandiae ENSDNVG00000006671
apteryx_rowi ENSARWG00000000758
melopsittacus_undulatus ENSMUNG00000016835
crocodylus_porosus ENSCPRG00005013712
coturnix_japonica ENSCJPG00005013796
anas_platyrhynchos_platyrhynchos ENSAPLG00000006041
zonotrichia_albicollis ENSZALG00000003393
nothoprocta_perdicaria ENSNPEG00000001544
chrysemys_picta_bellii ENSCPBG00000023611
