seriola_lalandi_dorsalis ENSSLDG00000002609
seriola_dumerili ENSSDUG00000002337
amphiprion_percula ENSAPEG00000016649
amphiprion_ocellaris ENSAOCG00000003936
acanthochromis_polyacanthus ENSAPOG00000013617
stegastes_partitus ENSSPAG00000020716
neolamprologus_brichardi ENSNBRG00000016494
periophthalmus_magnuspinnatus ENSPMGG00000010177
stegastes_partitus ENSSPAG00000001221
oryzias_melastigma ENSOMEG00000015743
scophthalmus_maximus ENSSMAG00000006696
monopterus_albus ENSMALG00000005807
mola_mola ENSMMOG00000005155
