mustela_putorius_furo ENSMPUG00000004929
neovison_vison ENSNVIG00000007558
ailuropoda_melanoleuca ENSAMEG00000002072
canis_lupus_dingo ENSCAFG00020018523
canis_lupus_familiaris ENSCAFG00000019098
vulpes_vulpes ENSVVUG00000008262
panthera_pardus ENSPPRG00000007977
felis_catus ENSFCAG00000014156
equus_caballus ENSECAG00000011869
equus_asinus_asinus ENSEASG00005022397
bos_mutus ENSBMUG00000018781
bison_bison_bison ENSBBBG00000022701
bos_taurus ENSBTAG00000005999
ovis_aries ENSOARG00000010222
capra_hircus ENSCHIG00000020728
sus_scrofa ENSSSCG00000013505
tursiops_truncatus ENSTTRG00000001701
vicugna_pacos ENSVPAG00000010552
pteropus_vampyrus ENSPVAG00000016929
myotis_lucifugus ENSMLUG00000015041
callithrix_jacchus ENSCJAG00000014650
nomascus_leucogenys ENSNLEG00000003118
carlito_syrichta ENSTSYG00000028623
oryctolagus_cuniculus ENSOCUG00000027576
tupaia_belangeri ENSTBEG00000005573
aotus_nancymaae ENSANAG00000027398
mus_musculus ENSMUSG00000011589
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0022669
mus_spicilegus ENSMSIG00000012536
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0021757
mus_pahari MGP_PahariEiJ_G0020746
rattus_norvegicus ENSRNOG00000050318
meriones_unguiculatus ENSMUGG00000004488
cricetulus_griseus_chok1gshd ENSCGRG00001024213
cricetulus_griseus_crigri ENSCGRG00000009618
cricetulus_griseus_crigri-picr ENSCGRG00015003984
mesocricetus_auratus ENSMAUG00000014625
microtus_ochrogaster ENSMOCG00000014990
peromyscus_maniculatus_bairdii ENSPEMG00000020510
nannospalax_galili ENSNGAG00000021877
jaculus_jaculus ENSJJAG00000012326
marmota_marmota_marmota ENSMMMG00000018181
ictidomys_tridecemlineatus ENSSTOG00000008010
urocitellus_parryii ENSUPAG00010009576
spermophilus_dauricus ENSSDAG00000008415
heterocephalus_glaber_female ENSHGLG00000006238
heterocephalus_glaber_male ENSHGLG00100012766
fukomys_damarensis ENSFDAG00000011640
octodon_degus ENSODEG00000014478
chinchilla_lanigera ENSCLAG00000013151
cavia_porcellus ENSCPOG00000019419
cavia_aperea ENSCAPG00000013485
castor_canadensis ENSCCNG00000030206
dipodomys_ordii ENSDORG00000012386
ochotona_princeps ENSOPRG00000007002
propithecus_coquereli ENSPCOG00000023842
prolemur_simus ENSPSMG00000019636
microcebus_murinus ENSMICG00000000316
otolemur_garnettii ENSOGAG00000001666
pan_paniscus ENSPPAG00000039445
pan_troglodytes ENSPTRG00000010302
homo_sapiens ENSG00000105255
gorilla_gorilla ENSGGOG00000012955
pongo_abelii ENSPPYG00000009402
theropithecus_gelada ENSTGEG00000016186
cercocebus_atys ENSCATG00000016062
macaca_fascicularis ENSMFAG00000041951
macaca_mulatta ENSMMUG00000000268
macaca_nemestrina ENSMNEG00000026815
mandrillus_leucophaeus ENSMLEG00000039314
papio_anubis ENSPANG00000019255
chlorocebus_sabaeus ENSCSAG00000010620
piliocolobus_tephrosceles ENSPTEG00000023530
colobus_angolensis_palliatus ENSCANG00000031403
rhinopithecus_bieti ENSRBIG00000037917
rhinopithecus_roxellana ENSRROG00000042651
saimiri_boliviensis_boliviensis ENSSBOG00000023601
cebus_capucinus ENSCCAG00000037682
ursus_maritimus ENSUMAG00000007632
erinaceus_europaeus ENSEEUG00000000872
sorex_araneus ENSSARG00000011356
ursus_americanus ENSUAMG00000019200
dasypus_novemcinctus ENSDNOG00000036984
procavia_capensis ENSPCAG00000015139
loxodonta_africana ENSLAFG00000030096
xenopus_tropicalis ENSXETG00000032736
notamacropus_eugenii ENSMEUG00000001877
phascolarctos_cinereus ENSPCIG00000006329
monodelphis_domestica ENSMODG00000000881
ornithorhynchus_anatinus ENSOANG00000006431
apteryx_owenii ENSAOWG00000003625
dromaius_novaehollandiae ENSDNVG00000004972
nothoprocta_perdicaria ENSNPEG00000010675
calidris_pugnax ENSCPUG00000006230
calidris_pygmaea ENSCPGG00000011925
parus_major ENSPMJG00000012867
junco_hyemalis ENSJHYG00000007378
ficedula_albicollis ENSFALG00000001075
lepidothrix_coronata ENSLCOG00000001746
anser_brachyrhynchus ENSABRG00000013237
anas_platyrhynchos_platyrhynchos ENSAPLG00000014861
meleagris_gallopavo ENSMGAG00000008264
coturnix_japonica ENSCJPG00005009773
numida_meleagris ENSNMEG00000008070
gallus_gallus ENSGALG00000053152
melopsittacus_undulatus ENSMUNG00000008093
apteryx_rowi ENSARWG00000003135
apteryx_haastii ENSAHAG00000012607
melopsittacus_undulatus ENSMUNG00000008036
gopherus_agassizii ENSGAGG00000012879
chelonoidis_abingdonii ENSCABG00000001768
chrysemys_picta_bellii ENSCPBG00000011083
pelodiscus_sinensis ENSPSIG00000013953
crocodylus_porosus ENSCPRG00005008856
pogona_vitticeps ENSPVIG00000023374
notechis_scutatus ENSNSUG00000002663
salvator_merianae ENSSMRG00000017693
