gopherus_agassizii ENSGAGG00000007141
chelonoidis_abingdonii ENSCABG00000019425
chrysemys_picta_bellii ENSCPBG00000009890
pelodiscus_sinensis ENSPSIG00000004788
apteryx_haastii ENSAHAG00000009268
pogona_vitticeps ENSPVIG00000004876
anolis_carolinensis ENSACAG00000007085
notechis_scutatus ENSNSUG00000011101
salvator_merianae ENSSMRG00000006992
phascolarctos_cinereus ENSPCIG00000016709
notamacropus_eugenii ENSMEUG00000007533
sarcophilus_harrisii ENSSHAG00000011528
monodelphis_domestica ENSMODG00000001810
ursus_maritimus ENSUMAG00000014052
ursus_americanus ENSUAMG00000008730
mustela_putorius_furo ENSMPUG00000011621
neovison_vison ENSNVIG00000024940
canis_lupus_familiaris ENSCAFG00000032204
canis_lupus_dingo ENSCAFG00020018149
vulpes_vulpes ENSVVUG00000027719
panthera_pardus ENSPPRG00000008665
panthera_tigris_altaica ENSPTIG00000011306
felis_catus ENSFCAG00000002602
capra_hircus ENSCHIG00000009345
ovis_aries ENSOARG00000008535
bos_mutus ENSBMUG00000025408
bos_taurus ENSBTAG00000031551
bison_bison_bison ENSBBBG00000003914
sus_scrofa ENSSSCG00000007765
tursiops_truncatus ENSTTRG00000015541
pteropus_vampyrus ENSPVAG00000003086
myotis_lucifugus ENSMLUG00000004762
equus_asinus_asinus ENSEASG00005011168
equus_caballus ENSECAG00000024871
saimiri_boliviensis_boliviensis ENSSBOG00000035117
callithrix_jacchus ENSCJAG00000036127
cebus_capucinus ENSCCAG00000008941
aotus_nancymaae ENSANAG00000030572
gorilla_gorilla ENSGGOG00000010294
homo_sapiens ENSG00000151006
pan_paniscus ENSPPAG00000042266
pan_troglodytes ENSPTRG00000031216
pongo_abelii ENSPPYG00000007305
nomascus_leucogenys ENSNLEG00000016113
piliocolobus_tephrosceles ENSPTEG00000027338
colobus_angolensis_palliatus ENSCANG00000043036
rhinopithecus_bieti ENSRBIG00000034854
papio_anubis ENSPANG00000000985
cercocebus_atys ENSCATG00000044195
mandrillus_leucophaeus ENSMLEG00000034756
macaca_nemestrina ENSMNEG00000002243
macaca_fascicularis ENSMFAG00000002496
chlorocebus_sabaeus ENSCSAG00000005738
rhinopithecus_roxellana ENSRROG00000043569
theropithecus_gelada ENSTGEG00000010615
carlito_syrichta ENSTSYG00000009313
propithecus_coquereli ENSPCOG00000022444
prolemur_simus ENSPSMG00000007974
microcebus_murinus ENSMICG00000035439
otolemur_garnettii ENSOGAG00000014448
castor_canadensis ENSCCNG00000028122
dipodomys_ordii ENSDORG00000002989
peromyscus_maniculatus_bairdii ENSPEMG00000023623
microtus_ochrogaster ENSMOCG00000015456
cricetulus_griseus_crigri-picr ENSCGRG00015023910
cricetulus_griseus_chok1gshd ENSCGRG00001010121
cricetulus_griseus_crigri ENSCGRG00000011254
mesocricetus_auratus ENSMAUG00000008782
mus_musculus ENSMUSG00000044139
mus_spicilegus ENSMSIG00000024903
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031640
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030526
mus_pahari MGP_PahariEiJ_G0013733
rattus_norvegicus ENSRNOG00000026040
meriones_unguiculatus ENSMUGG00000000473
nannospalax_galili ENSNGAG00000022712
jaculus_jaculus ENSJJAG00000010443
urocitellus_parryii ENSUPAG00010019669
ictidomys_tridecemlineatus ENSSTOG00000023439
spermophilus_dauricus ENSSDAG00000012398
marmota_marmota_marmota ENSMMMG00000000518
octodon_degus ENSODEG00000014688
chinchilla_lanigera ENSCLAG00000016249
cavia_porcellus ENSCPOG00000034443
cavia_aperea ENSCAPG00000017593
heterocephalus_glaber_female ENSHGLG00000016806
heterocephalus_glaber_male ENSHGLG00100017664
fukomys_damarensis ENSFDAG00000006627
oryctolagus_cuniculus ENSOCUG00000014389
ochotona_princeps ENSOPRG00000016135
dasypus_novemcinctus ENSDNOG00000036603
procavia_capensis ENSPCAG00000007408
echinops_telfairi ENSETEG00000012100
ornithorhynchus_anatinus ENSOANG00000010372
xenopus_tropicalis ENSXETG00000001929
