vulpes_vulpes ENSVVUG00000008545
canis_lupus_dingo ENSCAFG00020004906
ursus_maritimus ENSUMAG00000003902
neovison_vison ENSNVIG00000015750
panthera_tigris_altaica ENSPTIG00000019591
bison_bison_bison ENSBBBG00000012273
bos_mutus ENSBMUG00000023693
capra_hircus ENSCHIG00000017673
pan_paniscus ENSPPAG00000036968
gorilla_gorilla ENSGGOG00000004066
colobus_angolensis_palliatus ENSCANG00000040748
carlito_syrichta ENSTSYG00000035234
mus_spicilegus ENSMSIG00000025668
castor_canadensis ENSCCNG00000001666
spermophilus_dauricus ENSSDAG00000021661
apteryx_haastii ENSAHAG00000010624
apteryx_owenii ENSAOWG00000009866
apteryx_rowi ENSARWG00000018773
dromaius_novaehollandiae ENSDNVG00000012197
calidris_pygmaea ENSCPGG00000002532
melopsittacus_undulatus ENSMUNG00000014129
cyanistes_caeruleus ENSCCEG00000008346
junco_hyemalis ENSJHYG00000011117
lepidothrix_coronata ENSLCOG00000013960
serinus_canaria ENSSCAG00000012187
anas_platyrhynchos_platyrhynchos ENSAPLG00000022011
sphenodon_punctatus ENSSPUG00000010803
