tursiops_truncatus ENSTTRG00000001349
ovis_aries ENSOARG00000020026
sus_scrofa ENSSSCG00000026476
pteropus_vampyrus ENSPVAG00000006237
sorex_araneus ENSSARG00000002039
oryctolagus_cuniculus ENSOCUG00000008795
ochotona_princeps ENSOPRG00000012148
tupaia_belangeri ENSTBEG00000015401
pan_troglodytes ENSPTRG00000050077
pan_paniscus ENSPPAG00000012149
gorilla_gorilla ENSGGOG00000037185
pongo_abelii ENSPPYG00000008158
nomascus_leucogenys ENSNLEG00000030868
rhinopithecus_bieti ENSRBIG00000037919
pan_paniscus ENSPPAG00000029265
pan_troglodytes ENSPTRG00000049444
gorilla_gorilla ENSGGOG00000037533
nomascus_leucogenys ENSNLEG00000029668
rhinopithecus_roxellana ENSRROG00000037885
rhinopithecus_bieti ENSRBIG00000017677
colobus_angolensis_palliatus ENSCANG00000042961
mandrillus_leucophaeus ENSMLEG00000031035
pan_paniscus ENSPPAG00000029106
pan_troglodytes ENSPTRG00000015277
gorilla_gorilla ENSGGOG00000005362
homo_sapiens ENSG00000186103
pongo_abelii ENSPPYG00000013497
nomascus_leucogenys ENSNLEG00000013255
rhinopithecus_bieti ENSRBIG00000043114
colobus_angolensis_palliatus ENSCANG00000027833
rhinopithecus_roxellana ENSRROG00000034121
rhinopithecus_bieti ENSRBIG00000038038
piliocolobus_tephrosceles ENSPTEG00000019110
colobus_angolensis_palliatus ENSCANG00000007657
cercocebus_atys ENSCATG00000026923
theropithecus_gelada ENSTGEG00000006229
papio_anubis ENSPANG00000009686
mandrillus_leucophaeus ENSMLEG00000033782
macaca_mulatta ENSMMUG00000016395
macaca_fascicularis ENSMFAG00000002211
macaca_nemestrina ENSMNEG00000031585
saimiri_boliviensis_boliviensis ENSSBOG00000033338
cebus_capucinus ENSCCAG00000037179
aotus_nancymaae ENSANAG00000021156
otolemur_garnettii ENSOGAG00000002406
loxodonta_africana ENSLAFG00000027648
dasypus_novemcinctus ENSDNOG00000031231
