hucho_hucho ENSHHUG00000027574
esox_lucius ENSELUG00000020315
denticeps_clupeoides ENSDCDG00000030910
ictalurus_punctatus ENSIPUG00000019235
pygocentrus_nattereri ENSPNAG00000021478
electrophorus_electricus ENSEEEG00000014488
astyanax_mexicanus ENSAMXG00005002810
astyanax_mexicanus ENSAMXG00000033571
clupea_harengus ENSCHAG00000020916
amphiprion_ocellaris ENSAOCG00000011102
amphiprion_percula ENSAPEG00000005631
acanthochromis_polyacanthus ENSAPOG00000012742
stegastes_partitus ENSSPAG00000009968
mastacembelus_armatus ENSMAMG00000020091
scophthalmus_maximus ENSSMAG00000012941
larimichthys_crocea ENSLCRG00005017857
gasterosteus_aculeatus ENSGACG00000017434
cottoperca_gobio ENSCGOG00000016436
labrus_bergylta ENSLBEG00000028692
mola_mola ENSMMOG00000004185
anabas_testudineus ENSATEG00000018725
monopterus_albus ENSMALG00000008077
seriola_dumerili ENSSDUG00000005707
seriola_lalandi ENSSLDG00000003112
poecilia_formosa ENSPFOG00000006415
poecilia_formosa ENSPFOG00000017427
poecilia_latipinna ENSPLAG00000005069
poecilia_latipinna ENSPLAG00000019941
poecilia_reticulata ENSPREG00000012201
xiphophorus_couchianus ENSXCOG00000016577
fundulus_heteroclitus ENSFHEG00000017880
cyprinodon_variegatus ENSCVAG00000005045
kryptolebias_marmoratus ENSKMAG00000000143
gouania_willdenowi ENSGWIG00000021438
lates_calcarifer ENSLCAG00010014753
lates_calcarifer ENSLCAG00010025089
betta_splendens ENSBSLG00000024297
tetraodon_nigroviridis ENSTNIG00000015764
takifugu_rubripes ENSTRUG00000010642
astatotilapia_calliptera ENSACLG00000001562
haplochromis_burtoni ENSHBUG00000017376
maylandia_zebra ENSMZEG00005007866
pundamilia_nyererei ENSPNYG00000009863
neolamprologus_brichardi ENSNBRG00000011527
oreochromis_niloticus ENSONIG00000002542
amphilophus_citrinellus ENSACIG00000013569
oryzias_latipes ENSORLG00015012933
oryzias_latipes ENSORLG00020003725
oryzias_latipes ENSORLG00000030294
oryzias_melastigma ENSOMEG00000014746
parambassis_ranga ENSPRNG00000004807
hippocampus_comes ENSHCOG00000016990
periophthalmus_magnuspinnatus ENSPMGG00000016073
gadus_morhua ENSGMOG00000001616
danio_rerio ENSDARG00000036329
paramormyrops_kingsleyae ENSPKIG00000019416
scleropages_formosus ENSSFOG00015005633
lepisosteus_oculatus ENSLOCG00000015240
erpetoichthys_calabaricus ENSECRG00000014554
anolis_carolinensis ENSACAG00000003685
salvator_merianae ENSSMRG00000017772
sphenodon_punctatus ENSSPUG00000013071
cyanistes_caeruleus ENSCCEG00000020811
parus_major ENSPMJG00000011377
ficedula_albicollis ENSFALG00000001564
lonchura_striata ENSLSDG00000005069
taeniopygia_guttata ENSTGUG00000003432
serinus_canaria ENSSCAG00000016959
junco_hyemalis ENSJHYG00000014660
zonotrichia_albicollis ENSZALG00000018234
lepidothrix_coronata ENSLCOG00000000154
manacus_vitellinus ENSMVIG00005005953
melopsittacus_undulatus ENSMUNG00000013838
nothoprocta_perdicaria ENSNPEG00000003865
