neovison_vison ENSNVIG00000014072
canis_lupus_familiaris ENSCAFG00000029009
bos_mutus ENSBMUG00000014898
callithrix_jacchus ENSCJAG00000047318
piliocolobus_tephrosceles ENSPTEG00000030060
pongo_abelii ENSPPYG00000015850
bos_taurus ENSBTAG00000016595
bison_bison_bison ENSBBBG00000012408
vicugna_pacos ENSVPAG00000005967
tursiops_truncatus ENSTTRG00000005066
sus_scrofa ENSSSCG00000014361
equus_asinus_asinus ENSEASG00005020927
equus_caballus ENSECAG00000012655
pteropus_vampyrus ENSPVAG00000009691
myotis_lucifugus ENSMLUG00000003105
panthera_pardus ENSPPRG00000007834
panthera_tigris_altaica ENSPTIG00000018858
felis_catus ENSFCAG00000001271
ursus_maritimus ENSUMAG00000015383
ursus_americanus ENSUAMG00000012336
ailuropoda_melanoleuca ENSAMEG00000011191
vulpes_vulpes ENSVVUG00000010100
canis_lupus_dingo ENSCAFG00020003029
erinaceus_europaeus ENSEEUG00000005345
nannospalax_galili ENSNGAG00000013324
cricetulus_griseus_crigri-picr ENSCGRG00015003119
jaculus_jaculus ENSJJAG00000003269
octodon_degus ENSODEG00000003409
heterocephalus_glaber_male ENSHGLG00100014784
chinchilla_lanigera ENSCLAG00000003846
urocitellus_parryii ENSUPAG00010022132
spermophilus_dauricus ENSSDAG00000016069
marmota_marmota_marmota ENSMMMG00000010221
oryctolagus_cuniculus ENSOCUG00000021088
carlito_syrichta ENSTSYG00000037025
carlito_syrichta ENSTSYG00000014485
cebus_capucinus ENSCCAG00000026489
saimiri_boliviensis_boliviensis ENSSBOG00000002957
aotus_nancymaae ENSANAG00000036421
pan_paniscus ENSPPAG00000031723
pan_troglodytes ENSPTRG00000017309
homo_sapiens ENSG00000120306
nomascus_leucogenys ENSNLEG00000009213
theropithecus_gelada ENSTGEG00000024773
papio_anubis ENSPANG00000003994
macaca_fascicularis ENSMFAG00000030823
macaca_nemestrina ENSMNEG00000045095
chlorocebus_sabaeus ENSCSAG00000012920
cercocebus_atys ENSCATG00000044800
rhinopithecus_bieti ENSRBIG00000028347
rhinopithecus_roxellana ENSRROG00000036603
colobus_angolensis_palliatus ENSCANG00000040083
piliocolobus_tephrosceles ENSPTEG00000030793
prolemur_simus ENSPSMG00000019259
prolemur_simus ENSPSMG00000021366
propithecus_coquereli ENSPCOG00000024063
propithecus_coquereli ENSPCOG00000027945
microcebus_murinus ENSMICG00000047794
otolemur_garnettii ENSOGAG00000003374
tupaia_belangeri ENSTBEG00000001488
mesocricetus_auratus ENSMAUG00000020526
cricetulus_griseus_chok1gshd ENSCGRG00001020601
microtus_ochrogaster ENSMOCG00000003921
peromyscus_maniculatus_bairdii ENSPEMG00000025062
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022123
mus_spicilegus ENSMSIG00000029924
mus_musculus ENSMUSG00000046727
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023035
mus_pahari MGP_PahariEiJ_G0018857
rattus_norvegicus ENSRNOG00000018775
dipodomys_ordii ENSDORG00000025347
castor_canadensis ENSCCNG00000017505
fukomys_damarensis ENSFDAG00000014153
heterocephalus_glaber_female ENSHGLG00000012358
cavia_porcellus ENSCPOG00000030907
cavia_aperea ENSCAPG00000017557
ictidomys_tridecemlineatus ENSSTOG00000001912
loxodonta_africana ENSLAFG00000003119
