amphilophus_citrinellus ENSACIG00000008701
xiphophorus_couchianus ENSXCOG00000012846
hippocampus_comes ENSHCOG00000013986
takifugu_rubripes ENSTRUG00000025402
hucho_hucho ENSHHUG00000051946
hucho_hucho ENSHHUG00000004242
pygocentrus_nattereri ENSPNAG00000001106
astyanax_mexicanus ENSAMXG00000039890
ictalurus_punctatus ENSIPUG00000019803
electrophorus_electricus ENSEEEG00000004551
paramormyrops_kingsleyae ENSPKIG00000022651
numida_meleagris ENSNMEG00000004200
coturnix_japonica ENSCJPG00005002385
gopherus_agassizii ENSGAGG00000013158
canis_lupus ENSCAFG00020002418
capra_hircus ENSCHIG00000003542
