pan_paniscus ENSPPAG00000043353
pan_troglodytes ENSPTRG00000017948
homo_sapiens ENSG00000204540
gorilla_gorilla ENSGGOG00000011176
pongo_abelii ENSPPYG00000017206
nomascus_leucogenys ENSNLEG00000005704
cercocebus_atys ENSCATG00000039417
theropithecus_gelada ENSTGEG00000008578
mandrillus_leucophaeus ENSMLEG00000035607
macaca_mulatta ENSMMUG00000043267
rhinopithecus_bieti ENSRBIG00000044292
aotus_nancymaae ENSANAG00000022698
cebus_capucinus ENSCCAG00000036449
pteropus_vampyrus ENSPVAG00000007323
tursiops_truncatus ENSTTRG00000006519
