heterocephalus_glaber ENSHGLG00000016318
octodon_degus ENSODEG00000005914
bos_indicus ENSBIXG00005004383
bos_indicus ENSBIXG00005025707
bos_indicus ENSBIXG00000028815
oryctolagus_cuniculus ENSOCUG00000008008
carlito_syrichta ENSTSYG00000033968
propithecus_coquereli ENSPCOG00000014661
mus_spicilegus ENSMSIG00000000997
rattus_norvegicus ENSRNOG00000057449
cricetulus_griseus ENSCGRG00015001191
spermophilus_dauricus ENSSDAG00000007705
canis_lupus ENSCAFG00020001865
vulpes_vulpes ENSVVUG00000021424
neovison_vison ENSNVIG00000020645
panthera_pardus ENSPPRG00000002909
choloepus_hoffmanni ENSCHOG00000012129
monodelphis_domestica ENSMODG00000024488
monodelphis_domestica ENSMODG00000012714
chelonoidis_abingdonii ENSCABG00000017717
apteryx_rowi ENSARWG00000008259
