macaca_fascicularis ENSMFAG00000020678
macaca_nemestrina ENSMNEG00000016913
macaca_mulatta ENSMMUG00000044879
mandrillus_leucophaeus ENSMLEG00000001600
cercocebus_atys ENSCATG00000032142
pan_paniscus ENSPPAG00000006329
pan_troglodytes ENSPTRG00000051369
gorilla_gorilla ENSGGOG00000037204
nomascus_leucogenys ENSNLEG00000027799
theropithecus_gelada ENSTGEG00000010424
theropithecus_gelada ENSTGEG00000003380
piliocolobus_tephrosceles ENSPTEG00000037852
piliocolobus_tephrosceles ENSPTEG00000013722
calidris_pygmaea ENSCPGG00000003506
