danio_rerio ENSDARG00000035873
pygocentrus_nattereri ENSPNAG00000008022
scleropages_formosus ENSSFOG00015011062
takifugu_rubripes ENSTRUG00000003190
tetraodon_nigroviridis ENSTNIG00000011377
mola_mola ENSMMOG00000017788
gasterosteus_aculeatus ENSGACG00000011388
scophthalmus_maximus ENSSMAG00000008490
cynoglossus_semilaevis ENSCSEG00000013599
seriola_dumerili ENSSDUG00000017094
seriola_lalandi_dorsalis ENSSLDG00000025150
labrus_bergylta ENSLBEG00000001614
monopterus_albus ENSMALG00000021427
mastacembelus_armatus ENSMAMG00000004613
anabas_testudineus ENSATEG00000020164
fundulus_heteroclitus ENSFHEG00000009907
cyprinodon_variegatus ENSCVAG00000008596
xiphophorus_maculatus ENSXMAG00000020250
xiphophorus_couchianus ENSXCOG00000020592
gambusia_affinis ENSGAFG00000021806
poecilia_mexicana ENSPMEG00000017259
poecilia_latipinna ENSPLAG00000021146
poecilia_formosa ENSPFOG00000020585
poecilia_reticulata ENSPREG00000019196
kryptolebias_marmoratus ENSKMAG00000002155
oryzias_latipes ENSORLG00000012093
oryzias_latipes_asm223469v1 ENSORLG00015010521
oryzias_latipes ENSORLG00020019493
oryzias_melastigma ENSOMEG00000012186
maylandia_zebra ENSMZEG00005017634
pundamilia_nyererei ENSPNYG00000014989
astatotilapia_calliptera ENSACLG00000000811
haplochromis_burtoni ENSHBUG00000017463
neolamprologus_brichardi ENSNBRG00000005962
oreochromis_niloticus ENSONIG00000014577
amphilophus_citrinellus ENSACIG00000001263
amphiprion_percula ENSAPEG00000009359
amphiprion_ocellaris ENSAOCG00000001595
acanthochromis_polyacanthus ENSAPOG00000023450
stegastes_partitus ENSSPAG00000007587
hippocampus_comes ENSHCOG00000000793
periophthalmus_magnuspinnatus ENSPMGG00000020912
gadus_morhua ENSGMOG00000005128
pygocentrus_nattereri ENSPNAG00000029843
astyanax_mexicanus ENSAMXG00000025114
ictalurus_punctatus ENSIPUG00000024086
paramormyrops_kingsleyae ENSPKIG00000000110
lepisosteus_oculatus ENSLOCG00000017317
notechis_scutatus ENSNSUG00000008980
anolis_carolinensis ENSACAG00000004590
salvator_merianae ENSSMRG00000004580
zonotrichia_albicollis ENSZALG00000013603
junco_hyemalis ENSJHYG00000011169
parus_major ENSPMJG00000009999
lonchura_striata_domestica ENSLSDG00000015718
lepidothrix_coronata ENSLCOG00000013058
melopsittacus_undulatus ENSMUNG00000004670
gallus_gallus ENSGALG00000039032
coturnix_japonica ENSCJPG00005015411
numida_meleagris ENSNMEG00000009289
anser_brachyrhynchus ENSABRG00000017771
anas_platyrhynchos_platyrhynchos ENSAPLG00000019807
calidris_pygmaea ENSCPGG00000003811
apteryx_rowi ENSARWG00000002597
apteryx_haastii ENSAHAG00000011653
chelonoidis_abingdonii ENSCABG00000014656
gopherus_agassizii ENSGAGG00000016155
chrysemys_picta_bellii ENSCPBG00000012539
pelodiscus_sinensis ENSPSIG00000001807
sphenodon_punctatus ENSSPUG00000019016
chinchilla_lanigera ENSCLAG00000014978
dipodomys_ordii ENSDORG00000028183
pan_paniscus ENSPPAG00000041553
myotis_lucifugus ENSMLUG00000026191
capra_hircus ENSCHIG00000001972
ovis_aries ENSOARG00000010154
bos_taurus ENSBTAG00000047083
sus_scrofa ENSSSCG00000025588
canis_lupus_dingo ENSCAFG00020006380
canis_lupus_familiaris ENSCAFG00000024167
neovison_vison ENSNVIG00000010696
ailuropoda_melanoleuca ENSAMEG00000007799
panthera_pardus ENSPPRG00000014592
felis_catus ENSFCAG00000046575
equus_caballus ENSECAG00000006501
equus_asinus_asinus ENSEASG00005020266
cercocebus_atys ENSCATG00000019714
theropithecus_gelada ENSTGEG00000002314
macaca_fascicularis ENSMFAG00000018395
macaca_mulatta ENSMMUG00000004331
macaca_nemestrina ENSMNEG00000021210
chlorocebus_sabaeus ENSCSAG00000019315
piliocolobus_tephrosceles ENSPTEG00000028159
gorilla_gorilla ENSGGOG00000026577
pan_troglodytes ENSPTRG00000041394
homo_sapiens ENSG00000179431
nomascus_leucogenys ENSNLEG00000018184
callithrix_jacchus ENSCJAG00000010998
aotus_nancymaae ENSANAG00000032157
prolemur_simus ENSPSMG00000025697
propithecus_coquereli ENSPCOG00000012141
microcebus_murinus ENSMICG00000033879
otolemur_garnettii ENSOGAG00000027707
mus_spicilegus ENSMSIG00000005059
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024918
mus_musculus ENSMUSG00000075012
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024008
mus_pahari MGP_PahariEiJ_G0025444
rattus_norvegicus ENSRNOG00000005347
meriones_unguiculatus ENSMUGG00000015701
cricetulus_griseus_crigri-picr ENSCGRG00015011853
cricetulus_griseus_chok1gshd ENSCGRG00001010732
mesocricetus_auratus ENSMAUG00000002426
microtus_ochrogaster ENSMOCG00000004525
peromyscus_maniculatus_bairdii ENSPEMG00000005586
castor_canadensis ENSCCNG00000001019
octodon_degus ENSODEG00000016768
cavia_porcellus ENSCPOG00000022249
heterocephalus_glaber_female ENSHGLG00000007061
dasypus_novemcinctus ENSDNOG00000042436
loxodonta_africana ENSLAFG00000026391
phascolarctos_cinereus ENSPCIG00000013864
monodelphis_domestica ENSMODG00000024473
xenopus_tropicalis ENSXETG00000024642
latimeria_chalumnae ENSLACG00000012965
ciona_intestinalis ENSCING00000011323
drosophila_melanogaster FBgn0000658
