cynoglossus_semilaevis ENSCSEG00000008223
oryzias_latipes ENSORLG00000023605
astyanax_mexicanus ENSAMXG00000035819
gorilla_gorilla ENSGGOG00000042657
pan_paniscus ENSPPAG00000035206
macaca_mulatta ENSMMUG00000039939
pan_troglodytes ENSPTRG00000050748
pan_troglodytes ENSPTRG00000050742
pan_troglodytes ENSPTRG00000048471
pan_troglodytes ENSPTRG00000042861
gorilla_gorilla ENSGGOG00000038488
gorilla_gorilla ENSGGOG00000036491
pan_troglodytes ENSPTRG00000052335
pan_troglodytes ENSPTRG00000050178
nomascus_leucogenys ENSNLEG00000033215
nomascus_leucogenys ENSNLEG00000029200
nomascus_leucogenys ENSNLEG00000027782
nomascus_leucogenys ENSNLEG00000032657
gorilla_gorilla ENSGGOG00000040727
colobus_angolensis_palliatus ENSCANG00000037038
cricetulus_griseus_crigri-picr ENSCGRG00015018961
mus_spicilegus ENSMSIG00000003870
microtus_ochrogaster ENSMOCG00000000040
gopherus_agassizii ENSGAGG00000008865
