sorex_araneus ENSSARG00000012100
erinaceus_europaeus ENSEEUG00000011316
ovis_aries ENSOARG00000017978
bison_bison_bison ENSBBBG00000024283
equus_caballus ENSECAG00000017402
equus_asinus_asinus ENSEASG00005004329
pteropus_vampyrus ENSPVAG00000016953
ursus_americanus ENSUAMG00000020790
ursus_maritimus ENSUMAG00000010799
ailuropoda_melanoleuca ENSAMEG00000017338
neovison_vison ENSNVIG00000015520
mustela_putorius_furo ENSMPUG00000011514
canis_lupus_dingo ENSCAFG00020015089
canis_lupus_familiaris ENSCAFG00000013251
vulpes_vulpes ENSVVUG00000027071
panthera_pardus ENSPPRG00000022883
felis_catus ENSFCAG00000013271
tursiops_truncatus ENSTTRG00000016930
sus_scrofa ENSSSCG00000012975
vicugna_pacos ENSVPAG00000004517
pan_paniscus ENSPPAG00000042019
gorilla_gorilla ENSGGOG00000010801
pan_troglodytes ENSPTRG00000003894
homo_sapiens ENSG00000172803
pongo_abelii ENSPPYG00000003048
nomascus_leucogenys ENSNLEG00000005845
macaca_nemestrina ENSMNEG00000041390
macaca_fascicularis ENSMFAG00000003675
macaca_mulatta ENSMMUG00000019017
theropithecus_gelada ENSTGEG00000007990
mandrillus_leucophaeus ENSMLEG00000039564
cercocebus_atys ENSCATG00000038436
papio_anubis ENSPANG00000025890
chlorocebus_sabaeus ENSCSAG00000008022
rhinopithecus_bieti ENSRBIG00000025085
rhinopithecus_roxellana ENSRROG00000033072
piliocolobus_tephrosceles ENSPTEG00000032010
colobus_angolensis_palliatus ENSCANG00000040234
cebus_capucinus ENSCCAG00000025403
callithrix_jacchus ENSCJAG00000001930
aotus_nancymaae ENSANAG00000026038
saimiri_boliviensis_boliviensis ENSSBOG00000034591
carlito_syrichta ENSTSYG00000031735
propithecus_coquereli ENSPCOG00000020633
microcebus_murinus ENSMICG00000012748
prolemur_simus ENSPSMG00000022947
otolemur_garnettii ENSOGAG00000016499
microtus_ochrogaster ENSMOCG00000007593
peromyscus_maniculatus_bairdii ENSPEMG00000012232
mesocricetus_auratus ENSMAUG00000015400
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023470
mus_spicilegus ENSMSIG00000001556
mus_musculus ENSMUSG00000056185
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022556
mus_pahari MGP_PahariEiJ_G0014053
rattus_norvegicus ENSRNOG00000026527
nannospalax_galili ENSNGAG00000001302
dasypus_novemcinctus ENSDNOG00000004484
procavia_capensis ENSPCAG00000010468
echinops_telfairi ENSETEG00000014406
notamacropus_eugenii ENSMEUG00000007973
phascolarctos_cinereus ENSPCIG00000008211
monodelphis_domestica ENSMODG00000009189
sarcophilus_harrisii ENSSHAG00000002375
ornithorhynchus_anatinus ENSOANG00000013882
gopherus_agassizii ENSGAGG00000008177
chelonoidis_abingdonii ENSCABG00000017632
chrysemys_picta_bellii ENSCPBG00000023395
pelodiscus_sinensis ENSPSIG00000002960
latimeria_chalumnae ENSLACG00000011797
