pygocentrus_nattereri ENSPNAG00000007818
astyanax_mexicanus ENSAMXG00000032717
danio_rerio ENSDARG00000094037
esox_lucius ENSELUG00000022901
paramormyrops_kingsleyae ENSPKIG00000017055
lepisosteus_oculatus ENSLOCG00000006594
gopherus_agassizii ENSGAGG00000001454
chelonoidis_abingdonii ENSCABG00000016885
chrysemys_picta_bellii ENSCPBG00000027576
pelodiscus_sinensis ENSPSIG00000006678
apteryx_owenii ENSAOWG00000002368
apteryx_haastii ENSAHAG00000019384
nothoprocta_perdicaria ENSNPEG00000007747
calidris_pugnax ENSCPUG00000006292
calidris_pygmaea ENSCPGG00000018589
gallus_gallus ENSGALG00000006203
meleagris_gallopavo ENSMGAG00000007068
numida_meleagris ENSNMEG00000016307
pogona_vitticeps ENSPVIG00000011115
anolis_carolinensis ENSACAG00000008149
salvator_merianae ENSSMRG00000019513
ciona_savignyi ENSCSAVG00000011414
ciona_intestinalis ENSCING00000020772
